cik,entity_id,fetchedAt,fetchedBy,bytes,sha256,status,http_code
0000001750,0000001750,2026-09-03T01:22:25+00:00,KARST-172,3130410,7746f487be3283f5c5a6e23b2cfb3a0f042bcd02848783f72d2420921e7cccba,ok,200
0000001800,0000001800,2026-09-03T01:22:25+00:00,KARST-172,3386107,5d751f73769f5c0a1f9bee0de16cb39d8961cf3f1ebb5558d555bb2678afb4ff,ok,200
0000002098,0000002098,2026-09-03T01:22:26+00:00,KARST-172,2513049,06951158c151bcf8f37297593ceee4916d4d357dcfc6e8b24f66d74ba2a6b0e3,ok,200
0000002186,0000002186,2026-09-03T01:22:26+00:00,KARST-172,2408693,985de7a83c63a6da305e780264a3f421492278fb110eac00a11e058ae262b1a4,ok,200
0000002488,0000002488,2026-09-03T01:22:27+00:00,KARST-172,3672449,21a29c75076d90fced568785d855fc427a15c7458bc0bb153a9dedd88ad3349e,ok,200
0000002809,0000002809,2026-09-03T01:22:27+00:00,KARST-172,1333393,c6288c84e678448745ad053b98e8db7f0859efa2a0062b415208afb187690c8c,ok,200
0000002969,0000002969,2026-09-03T01:22:28+00:00,KARST-172,5215395,b950a51ccd6520b9874e8452b9be9d2a43736bf24b7ea2413c44d34cf72a623a,ok,200
0000003197,0000003197,2026-09-03T01:22:28+00:00,KARST-172,3554235,824632b2cee37c7e01d018d69301c7d3858a6c04b3f6d247269dfd16183adbd6,ok,200
0000003453,0000003453,2026-09-03T01:22:30+00:00,KARST-172,3027375,3e6a697ff210d1af84cae8d732d19785be30ee010b3bf72be79ee84f29a1ffcc,ok,200
0000003499,0000003499,2026-09-03T01:22:30+00:00,KARST-172,2131658,d6a17335bc2923657aeed802162404e4e0746fe690b1714e532614a444eabc7e,ok,200
0000003545,0000003545,2026-09-03T01:22:31+00:00,KARST-172,2778384,950aef3ada1ebf5e02379b42085b99622b62664f678de311989a4ab86326ea90,ok,200
0000003570,0000003570,2026-09-03T01:22:31+00:00,KARST-172,3490860,684f04fe4f6954f73f43187b2ffc28ce84963e21731c2acd83d59c86282f0fb3,ok,200
0000004127,0000004127,2026-09-03T01:22:32+00:00,KARST-172,3243173,fe97017d523d23be63ebcc6d002d596ff7e1e00e89944976731ca27b8303c1b8,ok,200
