lookback_months,mode,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
8,winner,monthly,mode=winner、cadence=monthly,0.0331664145880585,孤峰,孤峰,,11,0.0038672278506148,0.0292991867374437,2,0.024497915615167166,0.008668498972891337,-0.006301021287372533,0.030798936902539698,98
9,winner,monthly,mode=winner、cadence=monthly,0.0277550563664126,普通,山脊,是,11,0.0060764099201758995,0.0216786464462367,2,0.024637587903262568,0.0031174684631500305,-0.003630401112074633,0.0282679890153372,96
3,winner,monthly,mode=winner、cadence=monthly,0.0273406430644287,孤峰,孤峰,,11,0.002552977371183667,0.02478766569324503,2,0.014136462943491468,0.013204180120937232,-0.0049876532469985664,0.019124116190490034,144
5,winner,monthly,mode=winner、cadence=monthly,0.0259859088017255,孤峰,山脊,是,11,0.0047055989207862164,0.021280309880939284,2,0.0217003853644642,0.0042855234372612995,-0.005281290266303833,0.026981675630768035,118
15,winner,monthly,mode=winner、cadence=monthly,0.0257091496921346,孤峰,孤峰,,7,0.007660673042245628,0.018048476649888973,1,0.02031160547040315,0.00539754422173145,-0.0031010081562889502,0.0234126136266921,104
4,winner,monthly,mode=winner、cadence=monthly,0.0235403235706308,普通,山脊,是,11,0.008819595945477399,0.014720727625153402,2,0.025622291812261666,-0.0020819682416308646,-0.004220490140866833,0.0298427819531285,132
12,winner,monthly,mode=winner、cadence=monthly,0.0189011307452486,孤峰,孤峰,,11,0.0018777241492173354,0.017023406596031264,2,0.013655520156368934,0.005245610588879667,-0.004565705089419301,0.018221225245788234,90
15,winner,quarterly,mode=winner、cadence=quarterly,0.0165857977001964,普通,普通,,7,0.007660673042245628,0.008925124657950773,1,0.0138625804414516,0.0027232172587448,-0.0031010081562889502,0.01696358859774055,50
5,winner,quarterly,mode=winner、cadence=quarterly,0.0159479089051661,普通,孤峰,是,11,0.0047055989207862164,0.011242309984379882,2,0.0036613697799585663,0.012286539125207533,-0.005281290266303833,0.0089426600462624,62
6,winner,monthly,mode=winner、cadence=monthly,0.0155749237210363,普通,普通,,11,0.0013107902139066,0.0142641335071297,2,0.018044369471264067,-0.0024694457502277677,-0.006415655092187633,0.0244600245634517,124
13,winner,monthly,mode=winner、cadence=monthly,0.0149649617667426,普通,普通,,11,0.0033052506444459437,0.011659711122296657,2,0.0162600512535543,-0.0012950894868116996,-0.004793976523085701,0.021054027776640002,92
14,winner,monthly,mode=winner、cadence=monthly,0.0149140612486717,普通,普通,,11,0.005905487988732721,0.009008573259938979,2,0.0185293909025163,-0.0036153296538446004,-0.0034729713084214,0.022002362210937702,98
3,winner,quarterly,mode=winner、cadence=quarterly,0.0141259173437666,普通,孤峰,是,11,0.002552977371183667,0.011572939972582933,2,0.003842721918588667,0.010283195425177933,-0.0049876532469985664,0.008830375165587233,74
10,winner,monthly,mode=winner、cadence=monthly,0.0129912927553166,普通,普通,,11,0.0037648649060463835,0.009226427849270217,2,0.0159489390262816,-0.002957646270965,-0.002712918049921633,0.018661857076203235,88
7,winner,monthly,mode=winner、cadence=monthly,0.0125722758910304,普通,普通,,11,0.0009044382929715502,0.01166783759805885,2,0.020437871400041736,-0.007865595509011336,-0.007284701672551501,0.027722573072593237,112
4,winner,quarterly,mode=winner、cadence=quarterly,0.0120315390607586,普通,普通,,11,0.008819595945477399,0.0032119431152812013,2,0.0140351217698971,-0.0020035827091385,-0.004220490140866833,0.018255611910763934,72
14,winner,quarterly,mode=winner、cadence=quarterly,0.0111393631827068,普通,普通,,11,0.005905487988732721,0.00523387519397408,2,0.008860169560746001,0.0022791936219607994,-0.0034729713084214,0.0123331408691674,46
11,winner,monthly,mode=winner、cadence=monthly,0.0071004679571156,普通,普通,,11,0.0024627744800180167,0.004637693477097584,2,0.012997630485893601,-0.005897162528778001,-0.003276709244066067,0.016274339729959668,82
8,winner,quarterly,mode=winner、cadence=quarterly,0.0062981597785292,普通,孤峰,是,11,0.0038672278506148,0.0024309319279143997,2,-0.0012307273090637668,0.0075288870875929665,-0.006301021287372533,0.0050702939783087665,52
10,rank,monthly,mode=rank、cadence=monthly,0.0027948328130653,普通,普通,,11,0.0037648649060463835,-0.0009700320929810833,2,0.0013264819423264675,0.0014683508707388326,-0.002712918049921633,0.0040393999922481005,560
11,rank,monthly,mode=rank、cadence=monthly,0.0011996969752583,普通,普通,,11,0.0024627744800180167,-0.0012630775047597167,2,0.0010696072019823668,0.0001300897732759332,-0.003276709244066067,0.004346316446048434,560
9,winner,quarterly,mode=winner、cadence=quarterly,0.0011648600046805,普通,普通,,11,0.0060764099201758995,-0.004911549915495399,2,0.002875959929296733,-0.001711099924616233,-0.003630401112074633,0.006506361041371366,50
10,winner,quarterly,mode=winner、cadence=quarterly,0.0011648600046805,普通,普通,,11,0.0037648649060463835,-0.0026000049013658834,2,0.0004969567054990999,0.0006679032991814,-0.002712918049921633,0.003209874755420733,50
3,rank,monthly,mode=rank、cadence=monthly,0.0010214023853547,普通,普通,,11,0.002552977371183667,-0.0015315749858289668,2,-0.0027796221303469,0.0038010245157016004,-0.0049876532469985664,0.0022080311166516662,560
