lookback_months,fallback,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
1,cash,monthly,-0.0226119689279662,409,普通,1,1,-0.0183137496370442,-0.0140155303461222,-0.004298219290922001,,False,fallback=cash、cadence=monthly,3,-0.0202016305521196,0.0018878809150754024
1,cash,quarterly,-0.0318840992614934,143,普通,1,1,-0.0202016305521196,-0.0085191618427458,-0.0116824687093738,,False,fallback=cash、cadence=quarterly,3,-0.0183137496370442,-0.0018878809150754024
1,equal,monthly,-0.0052978181929592,440,普通,1,1,-0.01001656453154315,-0.0147353108701271,0.00471874633858395,,True,fallback=equal、cadence=monthly,3,-0.0202016305521196,0.010185066020576452
1,equal,quarterly,-0.0231696371572549,154,普通,1,1,-0.016043349444624898,-0.0089170617319949,-0.007126287712630002,,False,fallback=equal、cadence=quarterly,3,-0.0202016305521196,0.004158281107494704
2,cash,monthly,-0.0140155303461222,364,普通,2,2,-0.0077646707603285,-0.00463924096743165,-0.0062508595857937,,False,fallback=cash、cadence=monthly,3,-0.010329716475910335,0.0025650457155818344
2,cash,quarterly,-0.0085191618427458,143,普通,2,2,-0.010329716475910335,-0.011234993792492601,0.0018105546331645354,,False,fallback=cash、cadence=quarterly,3,-0.0077646707603285,-0.0025650457155818344
2,equal,monthly,-0.0147353108701271,391,普通,2,2,0.001360223385995167,0.0094079905140563,-0.016095534256122267,-10.833008035181257,False,fallback=equal、cadence=monthly,3,-0.010329716475910335,0.011689939861905502
2,equal,quarterly,-0.0089170617319949,146,普通,2,2,-0.007680369458793033,-0.0070620233221921,-0.0012366922732018658,,False,fallback=equal、cadence=quarterly,3,-0.010329716475910335,0.0026493470171173013
3,cash,monthly,0.0133334869931029,316,普通,2,2,0.0065681327594334,0.003185455642598649,0.006765354233669501,2.030027023122035,False,fallback=cash、cadence=monthly,3,0.000827937188524067,0.005740195570909333
3,cash,quarterly,0.0094141116765082,130,孤峰,2,2,0.0029552885381587003,-0.00027412303101604935,0.006458823138349499,3.185513547984619,True,fallback=cash、cadence=quarterly,3,0.000827937188524067,0.0021273513496346333
3,equal,monthly,0.0241137992210718,353,孤峰,2,2,0.009759047782943066,0.0025816720638786993,0.014354751438128735,2.4709172203478778,True,fallback=equal、cadence=monthly,3,0.000827937188524067,0.008931110594419
3,equal,quarterly,0.0090455905128707,141,孤峰,2,2,0.000827937188524067,-0.0032808894736492495,0.008217653324346633,10.925455020320975,True,fallback=equal、cadence=quarterly,3,0.0029552885381587003,-0.0021273513496346333
4,cash,monthly,0.0203864416313195,307,孤峰,2,2,0.014288809043740467,0.01123999274995095,0.006097632587579031,1.4267418347402603,True,fallback=cash、cadence=monthly,3,0.0011096644626812334,0.013179144581059234
4,cash,quarterly,0.0079709157807137,131,普通,2,2,0.0049811363941113,0.0034862467008100998,0.002989779386602401,1.600220341313464,False,fallback=cash、cadence=quarterly,3,0.0011096644626812334,0.0038714719314300663
4,equal,monthly,0.0198986549978845,323,普通,2,2,0.017309714243860835,0.016015243866849,0.0025889407540236643,1.1495657708469609,False,fallback=equal、cadence=monthly,3,0.0011096644626812334,0.0162000497811796
4,equal,quarterly,0.0023552827846964,136,普通,2,2,0.0011096644626812334,0.00048685530167365005,0.0012456183220151667,2.1225179898123745,False,fallback=equal、cadence=quarterly,3,0.0049811363941113,-0.0038714719314300663
5,cash,monthly,0.009146498506799,293,普通,2,2,0.022016606608852934,0.028451660659879897,-0.012870108102053935,0.41543634172584837,False,fallback=cash、cadence=monthly,3,-0.009714724246203966,0.0317313308550569
5,cash,quarterly,-0.002441618274888,128,普通,2,2,-0.0039826269381424,-0.0047531312697696,0.0015410086632544001,,False,fallback=cash、cadence=quarterly,3,-0.009714724246203966,0.005732097308061566
5,equal,monthly,0.0079166885126262,310,普通,2,2,0.010601590566807933,0.011944041593898799,-0.002684902054181733,0.7467453551179596,False,fallback=equal、cadence=monthly,3,-0.009714724246203966,0.0203163148130119
5,equal,quarterly,-0.0080718799095234,138,普通,2,2,-0.009714724246203966,-0.01053614641454425,0.0016428443366805663,,False,fallback=equal、cadence=quarterly,3,-0.0039826269381424,-0.005732097308061566
6,cash,monthly,0.0365168796884403,275,山脊,2,2,0.029125326943104168,0.0254295505704361,0.007391552745336132,1.2537843698639128,False,fallback=cash、cadence=monthly,3,-0.0133373910188685,0.042462717961972665
6,cash,quarterly,-0.0174771783202529,114,普通,2,2,-0.007467012110747267,-0.00246192900599445,-0.010010166209505632,,False,fallback=cash、cadence=quarterly,3,-0.0133373910188685,0.005870378908121233
6,equal,monthly,0.0039894281899131,305,普通,2,2,0.0077072723381958,0.00956619441233715,-0.0037178441482827,0.5176186872419494,False,fallback=equal、cadence=monthly,3,-0.0133373910188685,0.0210446633570643
6,equal,quarterly,-0.0234275756137849,127,普通,2,2,-0.0133373910188685,-0.0082922987214103,-0.010090184594916401,,False,fallback=equal、cadence=quarterly,3,-0.007467012110747267,-0.005870378908121233
7,cash,monthly,0.0417126026340732,259,孤峰,2,2,0.0361961046963883,0.03343785572754585,0.005516497937684897,1.152405845434394,True,fallback=cash、cadence=monthly,3,-0.009616916809226732,0.04581302150561503
7,cash,quarterly,-0.0024822397371009,106,普通,2,2,-0.00015828228966033366,0.0010036964340599495,-0.0023239574474405666,,False,fallback=cash、cadence=quarterly,3,-0.009616916809226732,0.009458634519566399
7,equal,monthly,0.0112157003120481,293,普通,2,2,0.012070990346466233,0.0124986353636753,-0.0008552900344181331,0.9291449988883043,False,fallback=equal、cadence=monthly,3,-0.009616916809226732,0.021687907155692965
7,equal,quarterly,-0.0085127175332972,119,普通,2,2,-0.009616916809226732,-0.0101690164471915,0.0011041992759295328,,False,fallback=equal、cadence=quarterly,3,-0.00015828228966033366,-0.009458634519566399
8,cash,monthly,0.0303588317666514,257,山脊,2,2,0.0334628092202051,0.03501479794698195,-0.003103977453553699,0.9072409780921952,False,fallback=cash、cadence=monthly,3,-0.0017087312508133664,0.03517154047101847
8,cash,quarterly,0.0194845711883728,106,普通,2,2,0.013093180506611866,0.009897485165731398,0.006391390681760933,1.4881465338794782,False,fallback=cash、cadence=quarterly,3,-0.0017087312508133664,0.014801911757425233
8,equal,monthly,0.0210078425374375,287,孤峰,2,2,0.014495367823270168,0.011239130466186499,0.006512474714167332,1.4492797142900036,True,fallback=equal、cadence=monthly,3,-0.0017087312508133664,0.016204099074083534
8,equal,quarterly,0.0030895427194019,115,普通,2,2,-0.0017087312508133664,-0.0041078682359209995,0.004798273970215266,,True,fallback=equal、cadence=quarterly,3,0.013093180506611866,-0.014801911757425233
9,cash,monthly,0.0283169932598907,257,山脊,2,2,0.02451045432973817,0.0226071848646619,0.003806538930152533,1.1553026671371862,False,fallback=cash、cadence=monthly,3,0.0023592318726605665,0.022151222457077603
9,cash,quarterly,0.0222772100685637,104,普通,2,2,0.02061889491499783,0.0197897373382149,0.0016583151535658688,1.080426965674074,True,fallback=cash、cadence=quarterly,3,0.0023592318726605665,0.018259663042337265
9,equal,monthly,0.0112625606203249,284,普通,2,2,0.013352868342131735,0.01439802220303515,-0.0020903077218068344,0.8434562770898163,False,fallback=equal、cadence=monthly,3,0.0023592318726605665,0.010993636469471168
