lookback_months,mode,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
1,winner,monthly,-0.011594063281647582,236,普通,1,1,-0.010032820543116383,-0.008471577804585184,-0.0015612427385311989,,False,mode=winner、cadence=monthly,3,-0.03295459929681033,0.022921778753693944
1,winner,quarterly,-0.05127990794486137,86,普通,1,1,-0.03295459929681033,-0.014629290648759286,-0.018325308648051042,,False,mode=winner、cadence=quarterly,3,-0.010431180145303087,-0.02252341915150724
1,rank,monthly,-0.006279353126144471,560,普通,1,1,-0.007927515270138685,-0.0095756774141329,0.001648162143994214,,True,mode=rank、cadence=monthly,3,-0.03295459929681033,0.025027084026671642
1,rank,quarterly,-0.015063834633184392,188,普通,1,1,-0.010431180145303087,-0.0057985256574217825,-0.004632654487881305,,False,mode=rank、cadence=quarterly,3,-0.03295459929681033,0.02252341915150724
2,winner,monthly,-0.008471577804585184,170,普通,2,2,0.0024250006593986573,0.007873289891390578,-0.010896578463983841,-3.493433196296918,False,mode=winner、cadence=monthly,3,-0.01726109374995133,0.019686094409349986
2,winner,quarterly,-0.014629290648759286,80,普通,2,2,-0.01726109374995133,-0.01857699530054735,0.002631803101192043,,False,mode=winner、cadence=quarterly,3,-0.008356039416437108,-0.00890505433351422
2,rank,monthly,-0.0095756774141329,560,普通,2,2,-0.004944542718307539,-0.0026289753703948593,-0.00463113469582536,,False,mode=rank、cadence=monthly,3,-0.01726109374995133,0.01231655103164379
2,rank,quarterly,-0.0057985256574217825,188,普通,2,2,-0.008356039416437108,-0.00963479629594477,0.0025575137590153254,,False,mode=rank、cadence=quarterly,3,-0.01726109374995133,0.00890505433351422
3,winner,monthly,0.027340643064428738,144,孤峰,2,2,0.014136462943491468,0.007534372883022833,0.01320418012093727,1.9340511960961615,True,mode=winner、cadence=monthly,3,-0.004987653246998643,0.01912411619049011
3,winner,quarterly,0.01412591734376667,74,孤峰,2,2,0.0038427219185886616,-0.0012988757940003426,0.010283195425178008,3.676018625088223,True,mode=winner、cadence=quarterly,3,-0.004987653246998643,0.008830375165587304
