lookback_months,mode,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
1,winner,monthly,3.0084243232958467,0.12692568242850255,-0.3408229096214357,0.6338028169014085,1.0424935874648078,0.6571613802057582,71.52112676056338,8.249619734656608,-0.06274398451843832,-0.011594002453617192,run-b721f24efbe1b63a,236,142,2929,2015-01-02,2026-08-26,True,0.0676
1,winner,quarterly,1.642812813523765,0.08723991318846336,-0.39470518808213484,0.7450980392156863,0.8862464986849203,0.36307309633306917,133.92156862745097,2.9042971346665256,-0.10242975375847752,-0.051279771693656384,run-8fa2b5687fa1e103,86,51,2929,2015-01-02,2026-08-26,True,0.0258
1,rank,monthly,3.233654830487474,0.13224034123292183,-0.34234641698960067,0.7509157509157509,1.352223202308915,0.7589459562807225,110.72893772893772,2.724403490183747,-0.05742932571401904,-0.0062793436491979104,run-39915d0b33fecbd2,560,546,2929,2015-01-02,2026-08-26,True,0.0339
1,rank,quarterly,2.8673438277646737,0.12345587161305183,-0.35755119583130535,0.8135593220338984,2.148647208582428,0.6836968427767045,281.8361581920904,0.9843257715047546,-0.06621379533388905,-0.015063813269067916,run-d55d9a002e4c0eed,188,177,2929,2015-01-02,2026-08-26,True,0.0269
2,winner,monthly,3.1393699302685834,0.13004776162062304,-0.3408229096214357,0.6238532110091743,1.4320213860351185,0.6722837289872389,94.58715596330275,5.403140535933668,-0.05962190532631784,-0.008471923261496705,run-836288d5f8704f45,170,109,2929,2015-01-02,2026-08-26,True,0.0247
2,winner,quarterly,2.8847543671211753,0.12389027492006743,-0.34056724459487475,0.7291666666666666,1.536443217578834,0.6382147734914657,142.29166666666666,2.592936919537657,-0.06577939202687344,-0.014629409962052309,run-e5fe2d9e76b02c93,80,48,2929,2015-01-02,2026-08-26,True,0.0259
2,rank,monthly,3.0926364195389358,0.1289440097333534,-0.34234838536636814,0.7948243992606284,1.1758163417620142,0.7286958918542756,144.1977818853974,2.0258530544933637,-0.06072565721358747,-0.009575675148766338,run-cfd9bd87f203637c,560,541,2929,2015-01-02,2026-08-26,True,0.0243
2,rank,quarterly,3.2545913360454106,0.13272115555654773,-0.35319770052354105,0.8114285714285714,2.1685480911666724,0.7611873624950076,318.6742857142857,0.8073924883690913,-0.05694851139039314,-0.0057985293255720105,run-48551819fb574b05,188,175,2929,2015-01-02,2026-08-26,True,0.0289
3,winner,monthly,4.947975143391106,0.1658603291505436,-0.3408229096214357,0.6145833333333334,2.242892909925862,0.9436909781882116,108.92708333333333,3.9439404385590606,-0.023809337796397267,0.027340644268423864,run-977c3484f457f48e,144,96,2929,2015-01-02,2026-08-26,True,0.0233
3,winner,quarterly,4.210097250538411,0.1526454696024515,-0.39470518808213473,0.6888888888888889,1.767624080977426,0.8145942509897577,153.2,2.3507439153112295,-0.03702419734448936,0.014125784720331769,run-4a0e790a9492eeb2,74,45,2929,2015-01-02,2026-08-26,False,0.2174
3,rank,monthly,3.561927906510732,0.13954108217606898,-0.3423743805313435,0.7981481481481482,1.749578543051873,0.818421193322699,189.5222222222222,1.3861084351108284,-0.0501285847708719,0.0010213972939492333,run-b43d5b914dd7d8e8,560,540,2929,2015-01-02,2026-08-26,False,0.4327
