lookback_months,fallback,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak
1,cash,monthly,-0.02261214462208394,409,普通,7,7,-0.016143929762740317,-0.01521989906854837,-0.006468214859343624,,False
1,cash,quarterly,-0.031884126287124115,143,普通,7,7,-0.016143929762740317,-0.013895330259256917,-0.015740196524383798,,False
1,equal,monthly,-0.005297992908954274,440,孤峰,7,7,-0.016143929762740317,-0.01769334931328118,0.010845936853786042,,True
1,equal,quarterly,-0.023169659652872543,154,普通,7,7,-0.016143929762740317,-0.015140254064149998,-0.007025729890132226,,False
2,cash,monthly,-0.014015636095772832,364,普通,11,11,-0.006103743839590133,-0.005384480907209888,-0.0079118922561827,,False
2,cash,quarterly,-0.008519290990141926,143,普通,11,11,-0.006103743839590133,-0.005884148644085424,-0.002415547150551793,,False
2,equal,monthly,-0.014735399131026616,391,普通,11,11,-0.006103743839590133,-0.005319047904004998,-0.008631655291436485,,False
2,equal,quarterly,-0.008917188413946286,146,普通,11,11,-0.006103743839590133,-0.005847976151012301,-0.002813444574356154,,False
3,cash,monthly,0.013333434582313952,316,普通,11,11,0.005027510397902668,0.004272426381138006,0.008305924184411284,2.6520948793813086,False
3,cash,quarterly,0.009413928389504056,130,普通,11,11,0.005027510397902668,0.004628745125938905,0.004386417991601388,1.8724831267243673,False
3,equal,monthly,0.024113761335930572,353,孤峰,11,11,0.005027510397902668,0.0032923966762637676,0.019086250938027904,4.796362300113817,True
3,equal,quarterly,0.009045387719092357,141,普通,11,11,0.005027510397902668,0.00466224882324906,0.004017877321189689,1.799178321513931,False
4,cash,monthly,0.02038644107252563,307,普通,11,11,0.00942226068230593,0.008425517010467776,0.010964180390219699,2.1636464708315,False
4,cash,quarterly,0.007970842599942962,131,普通,11,11,0.00942226068230593,0.009554207780702565,-0.0014514180823629683,0.8459586153152622,False
4,equal,monthly,0.01989865704398741,323,普通,11,11,0.00942226068230593,0.00846986101306216,0.01047639636168148,2.1118771508153147,False
4,equal,quarterly,0.002355186662422737,136,普通,11,11,0.00942226068230593,0.010064721956840767,-0.007067074019883194,0.24995982830803476,False
5,cash,monthly,0.009146464446090796,293,普通,11,11,0.004730129068207596,0.004328644033854578,0.0044163353778832,1.9336606494665265,False
5,cash,quarterly,-0.0024416766609367535,128,普通,11,11,0.004730129068207596,0.005382111407220719,-0.00717180572914435,-0.5161966250240158,False
5,equal,monthly,0.007916670072536824,310,普通,11,11,0.004730129068207596,0.004440443522359485,0.003186541004329228,1.6736689334222998,False
5,equal,quarterly,-0.008071969075739371,138,普通,11,11,0.004730129068207596,0.005893956172202775,-0.012802098143946967,-1.706500807767199,False
6,cash,monthly,0.03651683305117892,275,普通,11,11,0.004006919550735104,0.0010514728688765745,0.03250991350044382,9.113443029940443,False
6,cash,quarterly,-0.017477411165570222,114,普通,11,11,0.004006919550735104,0.005960040524944679,-0.021484330716305327,-4.36180735457088,False
6,equal,monthly,0.0039893462630924414,305,普通,11,11,0.004006919550735104,0.0040085171223389815,-1.7573287642662187e-05,0.9956142649184364,False
6,equal,quarterly,-0.023427835491040216,127,普通,11,11,0.004006919550735104,0.006500988190896496,-0.02743475504177532,-5.846844488490461,False
7,cash,monthly,0.041712417941550006,259,孤峰,11,11,0.009622834025450258,0.006705599123986646,0.03208958391609975,4.334733180602505,True
7,cash,quarterly,-0.002482416420068967,106,普通,11,11,0.009622834025450258,0.01072331133867928,-0.012105250445519225,-0.25797144723722004,False
7,equal,monthly,0.011215533580895443,293,普通,11,11,0.009622834025450258,0.009478043156773424,0.0015926995554451841,1.1655125248167897,False
7,equal,quarterly,-0.008512921933167661,119,普通,11,11,0.009622834025450258,0.011271539112597343,-0.018135755958617918,-0.8846585019187563,False
8,cash,monthly,0.030358827454482817,257,普通,11,11,0.014835561384081208,0.013424355377681062,0.015523266070401609,2.0463551508781,False
8,cash,quarterly,0.0194844080569736,106,普通,11,11,0.014835561384081208,0.014412938959272809,0.004648846672892393,1.3133583254814125,False
8,equal,monthly,0.021007838263127798,287,普通,11,11,0.014835561384081208,0.014274445304167882,0.00617227687904659,1.4160460611668892,False
8,equal,quarterly,0.0030893887039491474,115,普通,11,11,0.014835561384081208,0.015903395264093213,-0.011746172680132061,0.20824211662553668,False
9,cash,monthly,0.028317063870953563,257,普通,11,11,0.015210279106715,0.01401875321905695,0.013106784764238563,1.861705736777191,False
9,cash,quarterly,0.022277114839633683,104,普通,11,11,0.015210279106715,0.014567839494631484,0.007066835732918683,1.4646092082425255,False
9,equal,monthly,0.011262611108500353,284,普通,11,11,0.015210279106715,0.015569158015643604,-0.0039476679982146465,0.7404605155159948,False
9,equal,quarterly,0.00029687114214471677,116,普通,11,11,0.015210279106715,0.01656604346713048,-0.014913407964570283,0.019517797146382066,False
