名稱,類別,段,起,訖,交易日,年化,SPY年化,年化超額,最大回撤,run_id
因子動量排名·最優格,驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.13507754871161226,0.1160147813080945,0.019062767403517755,-0.16132503393670683,run-977c3484f457f48e
因子動量排名·最優格,驅動器,2020–2022,2020-01-02,2022-12-30,756,0.07240385241037273,0.07295060683819377,-0.000546754427821039,-0.3408229096214357,run-977c3484f457f48e
因子動量排名·最優格,驅動器,2023–2026,2023-01-03,2026-08-26,915,0.29678358700174634,0.22760393264787515,0.06917965435387119,-0.19783202341480777,run-977c3484f457f48e
相對強弱對 SPY·最優格,驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.11846696236579679,0.1160147813080945,0.002452181057702285,-0.17942683562329753,run-dc82154b95c00e97
相對強弱對 SPY·最優格,驅動器,2020–2022,2020-01-02,2022-12-30,756,0.19348654985306357,0.07295060683819377,0.1205359430148698,-0.18735924362555934,run-dc82154b95c00e97
相對強弱對 SPY·最優格,驅動器,2023–2026,2023-01-03,2026-08-26,915,0.24222145207901669,0.22760393264787515,0.014617519431141535,-0.2119694298167344,run-dc82154b95c00e97
逆波幅·最優格,驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.12089126671070494,0.1160147813080945,0.004876485402610431,-0.18552137485849352,run-1d2d984362e56ad6
逆波幅·最優格,驅動器,2020–2022,2020-01-02,2022-12-30,756,0.057551944021601464,0.07295060683819377,-0.015398662816592301,-0.3465676582082441,run-1d2d984362e56ad6
逆波幅·最優格,驅動器,2023–2026,2023-01-03,2026-08-26,915,0.2064390093664008,0.22760393264787515,-0.021164923281474346,-0.14969921931005958,run-1d2d984362e56ad6
大市趨勢開關·最優格,驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.13027073108837817,0.1160147813080945,0.014255949780283661,-0.18710226649854733,run-b530497ca081f5f6
大市趨勢開關·最優格,驅動器,2020–2022,2020-01-02,2022-12-30,756,0.0420505046981543,0.07295060683819377,-0.030900102140039465,-0.34479786905832055,run-b530497ca081f5f6
大市趨勢開關·最優格,驅動器,2023–2026,2023-01-03,2026-08-26,915,0.19602406400708006,0.22760393264787515,-0.031579868640795095,-0.15198535070884922,run-b530497ca081f5f6
固定權重·動能95價值5(monthly),對照,2015–2019,2015-01-02,2019-12-31,1258,0.14394890687785478,0.1160147813080945,0.02793412556976027,-0.2209057585796964,run-b404d7c6b59fceb3
固定權重·動能95價值5(monthly),對照,2020–2022,2020-01-02,2022-12-30,756,0.061550624081036176,0.07295060683819377,-0.01139998275715759,-0.34318658845117056,run-b404d7c6b59fceb3
固定權重·動能95價值5(monthly),對照,2023–2026,2023-01-03,2026-08-26,915,0.2436640543381432,0.22760393264787515,0.016060121690268048,-0.2079696828284684,run-b404d7c6b59fceb3
固定權重·動能95價值5(quarterly),對照,2015–2019,2015-01-02,2019-12-31,1258,0.1438733491997788,0.1160147813080945,0.027858567891684283,-0.22095296119646157,run-50bfaf5776ec5037
固定權重·動能95價值5(quarterly),對照,2020–2022,2020-01-02,2022-12-30,756,0.06174642857298296,0.07295060683819377,-0.011204178265210807,-0.3429869506019846,run-50bfaf5776ec5037
固定權重·動能95價值5(quarterly),對照,2023–2026,2023-01-03,2026-08-26,915,0.24368931888593415,0.22760393264787515,0.016085386238058996,-0.20798709920972824,run-50bfaf5776ec5037
固定權重·各佔25%(monthly),對照,2015–2019,2015-01-02,2019-12-31,1258,0.1218364868993338,0.1160147813080945,0.00582170559123929,-0.19174839893338758,run-31702ec75bad9a40
固定權重·各佔25%(monthly),對照,2020–2022,2020-01-02,2022-12-30,756,0.05190631800302725,0.07295060683819377,-0.021044288835166514,-0.34995197704190617,run-31702ec75bad9a40
固定權重·各佔25%(monthly),對照,2023–2026,2023-01-03,2026-08-26,915,0.2152638292271174,0.22760393264787515,-0.012340103420757753,-0.1622755231588654,run-31702ec75bad9a40
固定權重·各佔25%(quarterly),對照,2015–2019,2015-01-02,2019-12-31,1258,0.12173677696962582,0.1160147813080945,0.0057219956615313095,-0.19128319436928232,run-62d79d7b6b7040f5
固定權重·各佔25%(quarterly),對照,2020–2022,2020-01-02,2022-12-30,756,0.05232168353605804,0.07295060683819377,-0.020628923302135727,-0.34929292543415236,run-62d79d7b6b7040f5
固定權重·各佔25%(quarterly),對照,2023–2026,2023-01-03,2026-08-26,915,0.21696727555348216,0.22760393264787515,-0.010636657094392987,-0.1621588102466951,run-62d79d7b6b7040f5
