date,Open,High,Low,Close
2022-09-01,289.5634179818,292.5496115260,285.8843572509,292.1787719727
2022-09-02,295.0479244723,296.4239205662,286.4406449646,288.0508728027
2022-09-06,288.5290602333,289.4463910108,283.8545806051,285.9819946289
2022-09-07,286.4601883085,292.7546044548,286.1966813128,291.7592163086
2022-09-08,289.6903525886,294.5892657011,288.3241248063,293.2718200684
2022-09-09,295.5260862301,300.1810585440,293.2718030746,299.6833496094
2022-09-12,301.0593057403,303.5770657606,300.7470166548,303.2452697754
2022-09-13,294.5209158924,295.7114920734,285.7282470798,286.6163024902
2022-09-14,287.7581108500,289.7684239223,285.9917680999,288.8901367188
2022-09-15,286.9773165718,289.3779753571,282.4784899301,284.0789489746
2022-09-16,280.7805336224,282.7322959776,278.7311771930,282.3419494629
2022-09-19,279.7013441584,284.6970440569,279.6426884526,284.5406188965
2022-09-20,282.0378998122,284.5602147144,279.9751043693,282.2725524902
2022-09-21,283.1133078515,287.3758118420,277.0813167842,277.2181701660
2022-09-22,275.6930415739,276.7000043267,272.5841697549,273.8062133789
2022-09-23,271.3425593161,271.6358676923,265.9362394178,269.3482055664
2022-09-26,268.8789156867,273.2391588301,267.4417912420,268.2336730957
2022-09-27,271.5967896508,273.9431077934,266.0242579565,268.3412780762
2022-09-28,268.3216279221,274.9597762975,266.8454197221,273.6790771484
2022-09-29,269.6903347944,270.0716267058,262.8273489034,265.7895812988
2022-09-30,264.9682948591,269.0352582281,261.1261981805,261.2826232910
2022-10-03,263.0522922836,269.0060866608,261.5467258256,267.4125366211
2022-10-04,272.7504019517,276.5240888821,272.7504019517,275.8201904297
2022-10-05,272.0562314649,277.4625511231,269.2602100469,275.6734924316
2022-10-06,274.6762872644,277.8242727683,273.1805070928,273.5031433105
2022-10-07,268.8690933593,268.9961906481,261.7519137009,263.0815124512
2022-10-10,263.2771014291,263.6681793089,257.7437134187,260.4517517090
2022-10-11,258.7799963750,261.6444597639,255.1920627984,256.8735961914
2022-10-12,257.5089625595,259.4251181325,256.0914102086,256.7855224609
2022-10-13,249.4532760631,264.1275826003,248.5733958740,262.8077697754
2022-10-14,265.1345905962,265.7309335504,254.3219512426,254.9085083008
2022-10-17,260.8720549474,264.1960071538,260.7742855047,263.3259277344
2022-10-18,270.3454004391,271.0101850666,262.7296155738,265.4083557129
2022-10-19,263.8929565818,267.5590871120,262.0745701596,264.4404296875
2022-10-20,263.5508287523,268.6931983718,261.9279809158,263.0913391113
2022-10-21,261.9865874878,269.7978800833,260.8525275264,269.2601928711
2022-10-24,269.5241003971,273.1511166129,265.8872982874,272.2223815918
2022-10-25,273.1609115772,278.2348379915,271.6846736521,277.8535461426
2022-10-26,272.2321650011,277.6287279328,271.2252023988,271.7140197754
2022-10-27,270.5995845401,272.0562510596,266.2490971047,266.7672424316
2022-10-28,266.1415529711,275.3997564380,265.9753419148,274.9304809570
2022-10-31,272.6819190360,273.5031287104,269.8174263187,271.7336120605
2022-11-01,275.2041929031,275.7614518929,268.5953721871,268.9570922852
2022-11-02,268.9277993452,271.9878014034,259.6695955049,259.7380371094
2022-11-03,257.1277673451,258.5844338145,254.2828461755,254.6641082764
2022-11-04,259.5913715373,260.6472040113,253.2856150391,258.7603759766
2022-11-07,259.8064715480,262.1430332517,257.6752346520,261.6053161621
2022-11-08,263.1206098132,266.7476260908,259.5815472409,263.5116577148
2022-11-09,261.7715177845,262.5536137329,257.1472941892,257.4308166504
2022-11-10,269.8370793956,276.7196091688,267.7253839533,276.4263305664
2022-11-11,276.2404922956,282.1845287076,274.9011373660,281.5197143555
2022-11-14,279.4666812340,282.7417639173,278.0784564679,279.0560913086
2022-11-15,285.6747242770,286.7012589614,279.5742912261,282.9178161621
2022-11-16,280.9624911819,283.0057444187,278.2348816226,279.0560913086
2022-11-17,274.5981177563,279.9164544304,274.4416925794,278.4402160645
2022-11-18,281.4513280178,281.5490676405,276.0058944192,278.4499816895
2022-11-21,277.0617493138,278.2153514379,274.7545450656,275.5855407715
2022-11-22,276.3187186466,279.7110828157,274.1874520737,279.5546875000
2022-11-23,279.5742690811,282.9862055245,279.3983019498,282.3605346680
2022-11-25,280.7669719251,281.4708702530,280.0142037857,280.5030212402
2022-11-28,278.5281995041,280.5421251737,275.4584411848,276.3871765137
2022-11-29,276.6120339936,277.0128679016,272.9263609880,274.2950439453
2022-11-30,274.5590016191,286.9065360739,273.7084639681,286.7989807129
2022-12-01,287.1216120862,289.1355377050,284.3744602517,287.1509399414
2022-12-02,282.0868144886,286.8870059738,281.9108175119,286.0071105957
2022-12-05,283.8856191844,285.1565325852,279.7502129311,281.2069091797
2022-12-06,281.0504882376,281.1873416076,273.9919631555,275.3801879883
2022-12-07,274.1972341912,276.2502732431,272.5450289886,274.2558898926
2022-12-08,275.6050643321,278.4695274920,273.5324830719,277.5016784668
2022-12-09,276.4849153264,279.2516387174,275.2921995911,275.7321472168
2022-12-12,275.9080935326,279.2516176650,274.8718030349,279.1929321289
2022-12-13,290.0153218239,290.2401885409,279.5155349091,282.1942443848
