date,Open,High,Low,Close
2022-09-01,372.4280463001,376.1154375190,369.7264703743,375.7742004395
2022-09-02,379.4331384469,380.6464740009,370.0013297860,371.8118591309
2022-09-06,372.6554995418,373.5939303427,368.1908079723,370.4089355469
2022-09-07,370.0961115931,377.8311362648,369.8781086762,377.0633239746
2022-09-08,374.7977855261,379.9828757673,373.5939096308,379.5278930664
2022-09-09,381.7649972904,386.2865907194,381.4995810521,385.4239807129
2022-09-12,387.4904302585,390.2868036202,387.1870891554,389.5663757324
2022-09-13,380.9024232008,382.1062993005,371.5085678123,372.6271057129
2022-09-14,373.9257465691,375.5656574562,370.7502109659,374.0489807129
2022-09-15,372.4943639805,375.3381219107,368.5320682072,369.8022766113
2022-09-16,365.6294902775,367.6378019326,363.6972818411,366.9810485840
2022-09-19,363.8401419434,369.8270263672,363.7639806172,369.8270263672
2022-09-20,366.5051996914,367.5141193906,362.8312145695,365.5819396973
2022-09-21,367.5045868237,370.5504007332,359.1952760396,359.2048034668
2022-09-22,358.4337649769,360.0708846734,355.4450869427,356.1875000000
2022-09-23,352.7229404864,352.7610211495,345.7842428258,350.2196960449
2022-09-26,348.7538180682,352.3706959868,345.5366853584,346.7550048828
2022-09-27,350.2862710344,352.5515910179,343.4808127042,345.8698730469
2022-09-28,346.8217084645,354.3600529596,345.1274820815,352.6753540039
2022-09-29,349.1345977003,349.4201300416,342.3672197883,345.3083190918
2022-09-30,344.3659693037,348.2779362644,339.8353586820,339.9685974121
2022-10-03,343.6807482900,350.7907951071,341.9008619904,348.9442749023
2022-10-04,354.4551993807,359.7853586516,348.9061416827,359.7568054199
2022-10-05,355.3975287172,361.1750125058,353.0751022898,358.9192199707
2022-10-06,357.5200156174,360.4706419018,354.7216829077,355.2166442871
2022-10-07,351.1905176987,355.3023576956,343.5474588617,345.3083190918
2022-10-10,346.4218989892,346.6598522719,340.4350153097,342.6717529297
2022-10-11,340.9775545535,345.5367479559,338.5694682976,340.5016479492
2022-10-12,340.9109132102,342.4813990268,339.1309983011,339.3784790039
2022-10-13,332.3827133699,349.8009141362,331.3357129336,348.3351135254
2022-10-14,350.7907254904,352.4183468939,339.7592145462,340.3969421387
2022-10-17,346.4695416803,350.2482413493,340.0638282126,349.1441345215
2022-10-18,357.0537130023,357.3583002169,349.8103989866,353.2464599609
2022-10-19,351.2096043516,353.9318056807,347.9353640513,350.7432250977
2022-10-20,350.2958396475,354.7122672013,347.0406254550,347.8020935059
2022-10-21,347.5260110650,356.7395553429,346.0221590757,356.2541503906
2022-10-24,357.7771098720,361.7461550067,355.1310410529,360.6134948730
2022-10-25,360.5372986707,366.6860032725,360.4230857442,366.3719177246
2022-10-26,363.2309748380,368.9037737845,362.9739957125,363.6116943359
2022-10-27,364.6111436848,366.4481364625,361.0513420357,361.6700439453
2022-10-28,361.5652384352,370.7502290608,361.3843916221,370.2743225098
2022-10-31,367.8186894523,369.6842351613,366.6955568656,367.5997619629
2022-11-01,371.3404256632,371.5783789696,364.8204992605,365.9912109375
2022-11-02,365.4011480086,369.9032357188,356.7015888856,356.8062744141
2022-11-03,353.5700586148,356.1685191669,351.0192061520,353.1322326660
2022-11-04,358.8335775577,360.6134636000,352.1708851362,358.2149047852
2022-11-07,359.5093675838,362.2315685307,357.4344217101,361.6414489746
2022-11-08,362.7454627628,366.5622424432,359.5188315813,363.5925903320
2022-11-09,361.6223724699,362.7740873251,355.6069062349,356.1018676758
2022-11-10,369.3510591794,376.0042524526,367.0572151863,375.6711120605
2022-11-11,376.5277303972,380.1065568499,374.6431300540,379.3070373535
2022-11-14,377.5462142284,380.8965861186,375.8043798668,376.0804138184
2022-11-15,381.8198821687,382.9239890323,375.4808023926,379.2880554199
2022-11-16,377.6605218513,378.6123352567,375.7664224695,376.3946228027
2022-11-17,371.6449453938,375.9186060855,371.3403872689,375.2427978516
2022-11-18,378.5741560874,378.6407899797,374.1006516739,376.9465637207
2022-11-21,375.6235663391,376.7466989173,373.7389657905,375.5759582520
2022-11-22,377.5177079674,380.7919479923,376.1090138483,380.6301269531
2022-11-23,380.2969884985,383.5141220671,380.0685626039,383.0287170410
2022-11-25,382.4670560829,383.4950305265,382.1910511899,382.9429626465
2022-11-28,379.8591259436,381.4962458071,376.0708989563,376.8323669434
2022-11-29,376.9656454936,378.1554121175,374.3481589210,376.1851806641
2022-11-30,376.4325522787,388.0351562500,374.5194277065,388.0351562500
2022-12-01,389.0726389225,390.2433795180,385.2463606339,387.7496337891
2022-12-02,382.8668843631,388.2065428165,382.7621988470,387.3023376465
2022-12-05,384.4849733582,385.4177317517,378.9834939437,380.3350524902
2022-12-06,380.1732307848,380.7157422183,372.7681254520,374.8525695801
2022-12-07,374.0055047061,376.5754121269,373.0822446820,374.2149047852
2022-12-08,376.0994521400,378.2124493923,374.3195371968,377.1464233398
2022-12-09,375.9090536987,378.4599057381,374.2053001815,374.3290405273
2022-12-12,375.1190896232,379.7258911133,374.4528378055,379.7258911133
2022-12-13,390.4528004635,390.7097795630,379.8400894083,382.6003417969
2022-12-14,382.2576737801,385.9602409590,377.2130755910,380.1541748047
2022-12-15,375.2999318309,376.2041659865,369.1988348016,370.8549804688
2022-12-16,368.3028770994,369.6415286125,364.3442912550,366.4765625000
2022-12-19,366.6678340995,367.0025042940,361.7052374215,363.3689880371
2022-12-20,362.6135820142,365.4821333275,361.2940437413,363.8661804199
2022-12-21,366.4575070609,370.4352358838,365.9220463713,369.3069458008
2022-12-22,366.2662563964,369.2878012298,358.3490543275,364.0383605957
2022-12-23,363.0151558475,366.2757459456,361.4661428371,366.1323242188
2022-12-27,366.0176472397,366.3618594409,363.0152157544,364.6885375977
2022-12-28,364.6216127041,366.5913784865,359.9267751898,360.1562500000
2022-12-29,362.9960715855,367.5092604245,362.4701529714,366.6391296387
2022-12-30,363.9618830872,365.8168531570,361.8486954877,365.6734313965
