date,engine,hand,abs_diff,rel_diff
2022-06-01,1000000.0,1000000.0,0.0,0.0
2022-06-02,1000000.0,1000000.0,0.0,0.0
2022-06-03,1000000.0,1000000.0,0.0,0.0
2022-06-06,1000000.0,1000000.0,0.0,0.0
2022-06-07,1000000.0,1000000.0,0.0,0.0
2022-06-08,1000000.0,1000000.0,0.0,0.0
2022-06-09,1000000.0,1000000.0,0.0,0.0
2022-06-10,1000000.0,1000000.0,0.0,0.0
2022-06-13,1000000.0,1000000.0,0.0,0.0
2022-06-14,1000000.0,1000000.0,0.0,0.0
2022-06-15,1000000.0,1000000.0,0.0,0.0
2022-06-16,1000000.0,1000000.0,0.0,0.0
2022-06-17,1000000.0,1000000.0,0.0,0.0
2022-06-21,1000000.0,1000000.0,0.0,0.0
2022-06-22,1000000.0,1000000.0,0.0,0.0
2022-06-23,1000000.0,1000000.0,0.0,0.0
2022-06-24,1000000.0,1000000.0,0.0,0.0
2022-06-27,1000000.0,1000000.0,0.0,0.0
2022-06-28,1000000.0,1000000.0,0.0,0.0
2022-06-29,1000000.0,1000000.0,0.0,0.0
2022-06-30,1000000.0,1000000.0,0.0,0.0
2022-07-01,1000000.0,1000000.0,0.0,0.0
2022-07-05,1000000.0,1000000.0,0.0,0.0
2022-07-06,1000000.0,1000000.0,0.0,0.0
2022-07-07,1000000.0,1000000.0,0.0,0.0
2022-07-08,1000000.0,1000000.0,0.0,0.0
2022-07-11,1000000.0,1000000.0,0.0,0.0
2022-07-12,1000000.0,1000000.0,0.0,0.0
2022-07-13,1000000.0,1000000.0,0.0,0.0
2022-07-14,1000000.0,1000000.0,0.0,0.0
2022-07-15,1000650.9537201992,1000650.9537201992,0.0,0.0
2022-07-18,995476.6962200833,995476.6962200833,0.0,0.0
2022-07-19,1002036.3323551707,1002036.3323551707,0.0,0.0
2022-07-20,1005441.2606783414,1005441.2606783414,0.0,0.0
2022-07-21,1009296.965555479,1009296.965555479,0.0,0.0
2022-07-22,1007193.8963535951,1007193.8963535951,0.0,0.0
2022-07-25,1005291.0971689982,1005291.0971689982,0.0,0.0
2022-07-26,1003037.7604483393,1003037.7604483393,0.0,0.0
2022-07-27,1011700.4917878391,1011700.4917878391,0.0,0.0
2022-07-28,1012635.2238806335,1012635.2238806335,0.0,0.0
2022-07-29,1021247.8487121894,1021247.8487121894,0.0,0.0
2022-08-01,1019578.7325507912,1019578.7325507912,0.0,0.0
2022-08-02,1017075.0713097875,1017075.0713097875,0.0,0.0
2022-08-03,1027290.116302538,1027290.116302538,0.0,0.0
2022-08-04,1026755.9502465053,1026755.9502465053,0.0,0.0
2022-08-05,1026371.505660072,1026371.505660072,0.0,0.0
2022-08-08,1030210.9811370837,1030210.9811370837,0.0,0.0
2022-08-09,1030210.9811370837,1030210.9811370837,0.0,0.0
2022-08-10,1030210.9811370837,1030210.9811370837,0.0,0.0
2022-08-11,1027833.2569672877,1027833.2569672877,0.0,0.0
2022-08-12,1033300.5306101781,1033300.5306101781,0.0,0.0
2022-08-15,1034951.3079298474,1034951.3079298474,0.0,0.0
2022-08-16,1034709.0101498876,1034709.0101498876,0.0,0.0
2022-08-17,1037011.0275449606,1037011.0275449606,0.0,0.0
2022-08-18,1036405.2359736395,1036405.2359736395,0.0,0.0
2022-08-19,1032422.0951347796,1032422.0951347796,0.0,0.0
2022-08-22,1026439.9033683697,1026439.9033683697,0.0,0.0
2022-08-23,1025925.0088055227,1025925.0088055227,0.0,0.0
2022-08-24,1026379.3053626689,1026379.3053626689,0.0,0.0
2022-08-25,1030165.5026832714,1030165.5026832714,0.0,0.0
2022-08-26,1020457.6880412875,1020457.6880412875,0.0,0.0
2022-08-29,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-08-30,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-08-31,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-01,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-02,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-06,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-07,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-08,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-09,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-12,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-13,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-14,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-15,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-16,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-19,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-20,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-21,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-22,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-23,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-26,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-27,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-28,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-29,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-09-30,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-03,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-04,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-05,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-06,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-07,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-10,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-11,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-12,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-13,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-14,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-17,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-18,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-19,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-20,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-21,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-24,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-25,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-26,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-27,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-28,1016716.9596358436,1016716.9596358436,0.0,0.0
2022-10-31,1017015.6694844663,1017015.6694844663,0.0,0.0
2022-11-01,1012551.447974592,1012551.447974592,0.0,0.0
2022-11-02,1003224.6631665892,1003224.6631665892,0.0,0.0
2022-11-03,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-04,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-07,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-08,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-09,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-10,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-11,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-14,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-15,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-16,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-17,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-18,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-21,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-22,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-23,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-25,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-28,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-29,998295.7819142807,998295.7819142807,0.0,0.0
2022-11-30,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-01,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-02,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-05,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-06,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-07,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-08,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-09,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-12,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-13,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-14,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-15,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-16,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-19,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-20,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-21,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-22,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-23,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-27,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-28,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-29,998295.7819142807,998295.7819142807,0.0,0.0
2022-12-30,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-03,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-04,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-05,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-06,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-09,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-10,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-11,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-12,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-13,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-17,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-18,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-19,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-20,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-23,998295.7819142807,998295.7819142807,0.0,0.0
2023-01-24,1002244.5701207549,1002244.5701207549,0.0,0.0
2023-01-25,1001052.8778343784,1001052.8778343784,0.0,0.0
2023-01-26,1004788.1564592929,1004788.1564592929,0.0,0.0
2023-01-27,1008292.2627481153,1008292.2627481153,0.0,0.0
2023-01-30,1003080.6084095126,1003080.6084095126,0.0,0.0
2023-01-31,1005375.1209215263,1005375.1209215263,0.0,0.0
2023-02-01,1007402.9067480334,1007402.9067480334,0.0,0.0
2023-02-02,1016990.3428911432,1016990.3428911432,0.0,0.0
2023-02-03,1025403.7176567611,1025403.7176567611,0.0,0.0
2023-02-06,1023992.3147387783,1023992.3147387783,0.0,0.0
2023-02-07,1028898.4661618491,1028898.4661618491,0.0,0.0
