n,engine_date,hand_date,engine_side,hand_side,engine_shares,hand_shares,engine_price,hand_price,engine_reason,hand_reason,share_diff,price_diff,same
1,2022-06-24,2022-06-24,buy,buy,1824.434832311225,1824.434832311225,137.0287365558,137.0287365558,,,0.0,0.0,True
2,2022-07-08,2022-07-08,sell,sell,1824.434832311225,1824.434832311225,143.9732210261,143.9732210261,target,target,0.0,0.0,True
3,2022-07-11,2022-07-11,buy,buy,1774.3689860256761,1774.3689860256761,142.6802665251,142.6802665251,,,0.0,0.0,True
4,2022-07-29,2022-07-29,sell,sell,1774.3689860256761,1774.3689860256761,157.9307433806,157.9307433806,target,target,0.0,0.0,True
5,2022-08-01,2022-08-01,buy,buy,1648.2146258236073,1648.2146258236073,157.7054523459,157.7054523459,,,0.0,0.0,True
6,2022-08-10,2022-08-10,sell,sell,1648.2146258236073,1648.2146258236073,165.8743116303,165.8743116303,target,target,0.0,0.0,True
7,2022-08-11,2022-08-11,buy,buy,1578.5175059488906,1578.5175059488906,166.8010905635,166.8010905635,,,0.0,0.0,True
8,2022-08-29,2022-08-29,sell,sell,1578.5175059488906,1578.5175059488906,158.0618418321,158.0618418321,stop,stop,0.0,0.0,True
9,2022-09-13,2022-09-13,buy,buy,1656.826563360503,1656.826563360503,156.8357744464,156.8357744464,,,0.0,0.0,True
10,2022-09-15,2022-09-15,sell,sell,1656.826563360503,1656.826563360503,149.7541426524,149.7541426524,stop,stop,0.0,0.0,True
11,2022-10-24,2022-10-24,buy,buy,1779.5775643552688,1779.5775643552688,144.3693286637,144.3693286637,,,0.0,0.0,True
12,2022-10-28,2022-10-28,sell,sell,1779.5775643552688,1779.5775643552688,152.7947621041,152.7947621041,target,target,0.0,0.0,True
13,2022-10-31,2022-10-31,buy,buy,1735.163523523305,1735.163523523305,150.2249458436,150.2249458436,,,0.0,0.0,True
14,2022-11-03,2022-11-03,sell,sell,1735.163523523305,1735.163523523305,139.337666353,139.337666353,stop,stop,0.0,0.0,True
15,2022-11-11,2022-11-11,buy,buy,1786.5204918771922,1786.5204918771922,143.2628648561,143.2628648561,,,0.0,0.0,True
16,2022-12-16,2022-12-16,sell,sell,1786.5204918771922,1786.5204918771922,132.2297789313,132.2297789313,stop,stop,0.0,0.0,True
17,2023-01-12,2023-01-12,buy,buy,1908.3861649769515,1908.3861649769515,131.5322547783,131.5322547783,,,0.0,0.0,True
18,2023-01-23,2023-01-23,sell,sell,1908.3861649769515,1908.3861649769515,139.64738625249998,139.64738625249998,target,target,0.0,0.0,True
19,2023-01-24,2023-01-24,buy,buy,1849.0170657625497,1849.0170657625497,137.8494775115,137.8494775115,,,0.0,0.0,True
20,2023-02-02,2023-02-02,sell,sell,1849.0170657625497,1849.0170657625497,146.2888727426,146.2888727426,target,target,0.0,0.0,True
21,2023-02-03,2023-02-03,buy,buy,1779.4119060485757,1779.4119060485757,145.4341077506,145.4341077506,,,0.0,0.0,True
22,2023-03-17,2023-03-17,sell,sell,1779.4119060485757,1779.4119060485757,153.9815604537,153.9815604537,target,target,0.0,0.0,True
23,2023-03-21,2023-03-21,buy,buy,1696.3454683744988,1696.3454683744988,154.7972082038,154.7972082038,,,0.0,0.0,True
