entry_date,entry_price,shares,stop_level,target_level,exit_date,exit_price,exit_reason
2022-06-24,137.0287365558,1824.434832311225,130.5837686503,143.9732210261,2022-07-08,143.9732210261,target
2022-07-11,142.6802665251,1774.3689860256761,138.1844923851,156.5399030206,2022-07-29,157.9307433806,target
2022-08-01,157.7054523459,1648.2146258236073,149.0370877966,165.8743116303,2022-08-10,165.8743116303,target
2022-08-11,166.8010905635,1578.5175059488906,160.1216172781,173.1401423232,2022-08-29,158.0618418321,stop
2022-09-13,156.8357744464,1656.826563360503,149.7541426524,167.830982046,2022-09-15,149.7541426524,stop
2022-10-24,144.3693286637,1779.5775643552688,138.7883895211,152.7947621041,2022-10-28,152.7947621041,target
2022-10-31,150.2249458436,1735.163523523305,141.3680181171,162.4069271263,2022-11-03,139.337666353,stop
2022-11-11,143.2628648561,1786.5204918771922,132.2297789313,152.4390514912,2022-12-16,132.2297789313,stop
2023-01-12,131.5322547783,1908.3861649769515,125.8732836044,139.64738625249998,2023-01-23,139.64738625249998,target
2023-01-24,137.8494775115,1849.0170657625497,131.4242075093,145.4636054253,2023-02-02,146.2888727426,target
2023-02-03,145.4341077506,1779.4119060485757,138.8417879804,153.9815604537,2023-03-17,153.9815604537,target
2023-03-21,154.7972082038,1696.3454683744988,149.2083044021,163.77090823170002,2023-03-31,162.2556152344,unclosed
