weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
0.0,0.0,0.0,1.0,monthly,2.1062710829004505,0.10246513103040655,-0.33098895488361113,,,0.6087965078354048,,0.022997380778958666,-0.08720453591653432,-0.03605455385171319,run-a0ad4b28b48abfae,1,0,2929,2015-01-02,2026-08-26,True,0.0697
0.0,0.0,0.0,1.0,quarterly,2.1062710829004505,0.10246513103040655,-0.33098895488361113,,,0.6087965078354048,,0.022997380778958666,-0.08720453591653432,-0.03605455385171319,run-ab17e1c0bd929e17,1,0,2929,2015-01-02,2026-08-26,True,0.032
0.0,0.0,0.1,0.9,monthly,2.2885464610442754,0.10788898464604846,-0.331874757424919,0.9883040935672515,183.76645803153136,0.6514859071278328,1516.122807017544,0.050949943393189805,-0.08178068230089242,-0.030630700236071284,run-6a1989ab52838307,280,171,2929,2015-01-02,2026-08-26,True,0.0293
0.0,0.0,0.1,0.9,quarterly,2.2995720235478525,0.10820818107469443,-0.3318921828403959,0.9782608695652174,467.4999747062365,0.6544113686564859,1476.4130434782608,0.04100666200936385,-0.08146148587224644,-0.03031150380742531,run-2b9f23d4ce017cce,94,46,2929,2015-01-02,2026-08-26,True,0.0519
0.0,0.0,0.2,0.8,monthly,2.476299854726028,0.11319581485202734,-0.33275976379548877,0.9875,207.46937590513178,0.686581215287788,1550.775,0.07296337668165949,-0.07647385209491353,-0.0253238700300924,run-4f46ae494b55e78d,280,160,2929,2015-01-02,2026-08-26,True,0.0475
0.0,0.0,0.2,0.8,quarterly,2.4965427206691158,0.11375223507264831,-0.3327906518731796,0.9782608695652174,477.99471144983306,0.6913626494657491,1476.4130434782608,0.05499385129802103,-0.07591743187429256,-0.02476744980947143,run-2dbb6974b126a57b,94,46,2929,2015-01-02,2026-08-26,True,0.0613
0.0,0.0,0.3,0.7,monthly,2.6692731985232054,0.11838389842232999,-0.33364397694041337,0.9869281045751634,228.03970290125332,0.7139717761925432,1563.9019607843138,0.08889775750333524,-0.07128576852461088,-0.02013578645978975,run-8b226cec607e2e11,280,153,2929,2015-01-02,2026-08-26,True,0.0285
0.0,0.0,0.3,0.7,quarterly,2.6966746471728062,0.1191002666426959,-0.33368439949384066,0.9782608695652174,488.4032093668521,0.7196693995208088,1476.4130434782608,0.06492181218117563,-0.07056940030424497,-0.019419418239423836,run-51fae6d20b3eb276,94,46,2929,2015-01-02,2026-08-26,True,0.0462
0.0,0.0,0.4,0.6,monthly,2.8671686308883952,0.12345149127073718,-0.3345273997902817,0.9856115107913669,258.9152350379133,0.733644949265976,1465.8920863309352,0.09861367929699193,-0.0662181756762037,-0.015068193611382563,run-08234c24dabc767d,280,139,2929,2015-01-02,2026-08-26,True,0.0478
0.0,0.0,0.4,0.6,quarterly,2.8994223334236207,0.12425487062079754,-0.33457346282104716,0.9782608695652174,498.706526052665,0.7395674387183673,1476.4130434782608,0.07075819438651847,-0.06541479632614333,-0.0142648142613222,run-0ffa945874172d39,94,46,2929,2015-01-02,2026-08-26,True,0.0457
0.0,0.0,0.5,0.5,monthly,3.0696476598010447,0.12839682801080432,-0.33554366130375546,0.9856115107913669,265.8628187766545,0.7463368177446084,1465.8920863309352,0.10197243065245509,-0.06127283893613655,-0.010122856871315422,run-905c71add606dc56,280,139,2929,2015-01-02,2026-08-26,True,0.0413
0.0,0.0,0.5,0.5,quarterly,3.104204768392708,0.12921829960095899,-0.3355976603829648,0.9782608695652174,508.885380603697,0.7519638964882516,1476.4130434782608,0.07247536739028772,-0.06045136734598189,-0.009301385281160757,run-134abb3a2f128532,94,46,2929,2015-01-02,2026-08-26,True,0.0428
