weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak
0.0,0.0,0.0,1.0,monthly,-0.33098895488361113,1,無效,7,6,,,,,False
0.0,0.0,0.0,1.0,quarterly,-0.33098895488361113,1,無效,7,6,,,,,False
0.0,0.0,0.05,0.95,monthly,-0.33143195586024377,280,平原,13,11,-0.3324489211175847,-0.3325413725046157,0.0010169652573409071,,True
0.0,0.0,0.05,0.95,quarterly,-0.3314411660874981,94,平原,13,11,-0.3324489211175847,-0.33254053521122895,0.001007755030086599,,False
0.0,0.0,0.1,0.9,monthly,-0.331874757424919,280,平原,13,13,-0.3326869459962097,-0.3327494220401551,0.0008121885712906729,,False
0.0,0.0,0.1,0.9,quarterly,-0.3318921828403959,94,平原,13,13,-0.3326869459962097,-0.33274808162358,0.0007947631558137824,,False
0.0,0.0,0.15,0.85,monthly,-0.3323173599471362,280,平原,13,13,-0.3331328429048651,-0.33319557236315195,0.0008154829577289302,,False
0.0,0.0,0.15,0.85,quarterly,-0.33234200986851836,94,平原,13,13,-0.3331328429048651,-0.3331936762153533,0.0007908330363467497,,False
0.0,0.0,0.2,0.8,monthly,-0.33275976379548877,280,平原,13,13,-0.3335780477781106,-0.3336409926998508,0.000818283982621848,,False
0.0,0.0,0.2,0.8,quarterly,-0.3327906518731796,94,平原,13,13,-0.3335780477781106,-0.33363861669387457,0.0007873959049310431,,False
0.0,0.0,0.25,0.75,monthly,-0.3332019693376561,280,平原,13,13,-0.33402256314249396,-0.33408568574286607,0.0008205938048378436,,False
0.0,0.0,0.25,0.75,quarterly,-0.33323811353095334,94,平原,13,13,-0.33402256314249396,-0.3340829054203047,0.0007844496115406163,,False
0.0,0.0,0.3,0.7,monthly,-0.33364397694041337,280,平原,13,13,-0.3344663915117806,-0.3345296541711165,0.0008224145713672248,,False
0.0,0.0,0.3,0.7,quarterly,-0.33368439949384066,94,平原,13,13,-0.3344663915117806,-0.3345265447439298,0.0007819920179399364,,False
0.0,0.0,0.35,0.65,monthly,-0.33408578696963276,280,平原,13,13,-0.33490953538703544,-0.33497290064991253,0.000823748417402681,,False
0.0,0.0,0.35,0.65,quarterly,-0.33412951438942795,94,平原,13,13,-0.33490953538703544,-0.334969537002236,0.000780020997607489,,False
0.0,0.0,0.4,0.6,monthly,-0.3345273997902817,280,平原,13,13,-0.33536088526208285,-0.33542499952914445,0.0008334854718011764,,False
0.0,0.0,0.4,0.6,quarterly,-0.33457346282104716,94,平原,13,13,-0.33536088526208285,-0.3354214562190856,0.00078742244103569,,False
0.0,0.0,0.45,0.55,monthly,-0.3350132895390834,280,平原,13,13,-0.33584566730175036,-0.33590969636041706,0.0008323777626669804,,False
0.0,0.0,0.45,0.55,quarterly,-0.33506684114500984,94,平原,13,13,-0.33584566730175036,-0.335905577006115,0.0007788261567405197,,False
0.0,0.0,0.5,0.5,monthly,-0.33554366130375546,280,平原,13,13,-0.3363657837966006,-0.3364290239883579,0.0008221224928451343,,False
0.0,0.0,0.5,0.5,quarterly,-0.3355976603829648,94,平原,13,13,-0.3363657837966006,-0.3364248702130341,0.0007681234136358017,,False
0.0,0.0,0.55,0.45,monthly,-0.336073585174282,280,平原,13,13,-0.33689503749865324,-0.33695822613898946,0.0008214523243712524,,False
0.0,0.0,0.55,0.45,quarterly,-0.33612695203438403,94,平原,13,13,-0.33689503749865324,-0.3369541209959047,0.0007680854642692081,,False
0.0,0.0,0.6,0.4,monthly,-0.3366030621557231,280,平原,13,13,-0.33742330694691763,-0.33748640270008645,0.0008202447911945243,,False
0.0,0.0,0.6,0.4,quarterly,-0.3366547226839033,94,平原,13,13,-0.33742330694691763,-0.33748242881330337,0.0007685842630143491,,False
0.0,0.0,0.65,0.35,monthly,-0.3371320932501397,280,普通,13,13,-0.33795059592239596,-0.33801355766641566,0.0008185026722562494,,False
0.0,0.0,0.65,0.35,quarterly,-0.33718097887836906,94,普通,13,13,-0.33795059592239596,-0.33800979723347496,0.0007696170440268935,,False
0.0,0.0,0.7,0.3,monthly,-0.33766067945659595,280,普通,13,13,-0.3384769081857682,-0.33853969501108916,0.0008162287291722525,,False
0.0,0.0,0.7,0.3,quarterly,-0.33770572712710956,94,普通,13,13,-0.3384769081857682,-0.338536229805665,0.0007711810586586432,,False
0.0,0.0,0.75,0.25,monthly,-0.3381888217711764,280,普通,13,13,-0.3390022474775319,-0.3390648186857131,0.0008134257063555084,,False
0.0,0.0,0.75,0.25,quarterly,-0.3382289739022022,94,普通,13,13,-0.3390022474775319,-0.3390617300602496,0.0007732735753296915,,False
0.0,0.0,0.8,0.2,monthly,-0.33871652118699125,280,普通,13,13,-0.3395266175181422,-0.33958893262053846,0.0008100963311509779,,False
0.0,0.0,0.8,0.2,quarterly,-0.33875072563873876,94,普通,13,13,-0.3395266175181422,-0.3395863015088656,0.0007758918794034675,,False
0.0,0.0,0.85,0.15,monthly,-0.3392437786941893,280,普通,13,13,-0.34005002200814943,-0.340112040724608,0.0008062433139601199,,False
0.0,0.0,0.85,0.15,quarterly,-0.3392709887350914,94,普通,13,13,-0.34005002200814943,-0.34010994764453856,0.0007790332730580052,,False
0.0,0.0,0.9,0.1,monthly,-0.339770595279976,280,普通,13,13,-0.34057246462833685,-0.3406341468859031,0.0008018693483608508,,False
0.0,0.0,0.9,0.1,quarterly,-0.33978976955317397,94,普通,13,13,-0.34057246462833685,-0.3406326719418109,0.0007826950751628758,,False
0.0,0.0,0.95,0.05,monthly,-0.34029697192861175,280,普通,13,11,-0.34113912227625925,-0.34121568139877273,0.0008421503476475078,,False
0.0,0.0,0.95,0.05,quarterly,-0.340307074418698,94,普通,13,11,-0.34113912227625925,-0.34121476299058306,0.0008320478575612467,,False
0.0,0.0,1.0,0.0,monthly,-0.3408229096214356,1,無效,7,6,,,,,False
0.0,0.0,1.0,0.0,quarterly,-0.3408229096214356,1,無效,7,6,,,,,False
0.0,0.05,0.0,0.95,monthly,-0.33389100130910543,280,平原,13,11,-0.3336301841337637,-0.33360647348145994,-0.0002608171753417099,,False
0.0,0.05,0.0,0.95,quarterly,-0.33370239752219,94,平原,13,11,-0.3336301841337637,-0.33362361928027046,-7.221338842627878e-05,,False
0.0,0.05,0.05,0.9,monthly,-0.33433290370444846,420,平原,19,19,-0.3340551639574493,-0.3340405460760283,-0.0002777397469991838,,False
0.0,0.05,0.05,0.9,quarterly,-0.3341521851725744,141,平原,19,19,-0.3340551639574493,-0.33405005757770584,-9.702121512511486e-05,,False
0.0,0.05,0.1,0.85,monthly,-0.3347746081280977,420,平原,19,19,-0.3345005411842058,-0.3344861166082114,-0.0002740669438918708,,False
0.0,0.05,0.1,0.85,quarterly,-0.3346007816929616,141,平原,19,19,-0.3345005411842058,-0.33449526536795543,-0.00010024050875578894,,False
0.0,0.05,0.15,0.8,monthly,-0.33521611494673764,420,平原,19,19,-0.33494522577491026,-0.33493096845007725,-0.00027088917182738204,,False
0.0,0.05,0.15,0.8,quarterly,-0.3350481918086299,141,平原,19,19,-0.33494522577491026,-0.3349398065099776,-0.00010296603371962032,,False
0.0,0.05,0.2,0.75,monthly,-0.3356574245261422,420,平原,19,19,-0.3353892202654353,-0.3353751042517138,-0.00026820426070695014,,False
0.0,0.05,0.2,0.75,quarterly,-0.33549442021989595,141,平原,19,19,-0.3353892202654353,-0.3353836834257268,-0.00010519995446067743,,False
0.0,0.05,0.25,0.7,monthly,-0.3360985372311871,420,平原,19,19,-0.33583252717878753,-0.3358185266497139,-0.0002660100523995679,,False
0.0,0.05,0.25,0.7,quarterly,-0.335939471602281,141,平原,19,19,-0.33583252717878753,-0.3358268985249195,-0.00010694442349346023,,False
0.0,0.05,0.3,0.65,monthly,-0.33653945342585,420,平原,19,19,-0.3362751490251903,-0.33626123826726084,-0.0002643044006597206,,False
0.0,0.05,0.3,0.65,quarterly,-0.3363833506066738,141,平原,19,19,-0.3362751490251903,-0.3362694542051122,-0.00010820158148350245,,False
0.0,0.05,0.35,0.6,monthly,-0.33698017347320597,420,平原,19,19,-0.33671708830216596,-0.33670324171421645,-0.0002630851710400117,,False
0.0,0.05,0.35,0.6,quarterly,-0.33682606185949016,141,平原,19,19,-0.33671708830216596,-0.33671135285178044,-0.000108973557324199,,False
0.0,0.05,0.4,0.55,monthly,-0.33742069773544403,420,平原,19,19,-0.3371733478187449,-0.3371603294020765,-0.0002473499166991133,,False
0.0,0.05,0.4,0.55,quarterly,-0.3372676099628382,141,平原,19,19,-0.3371733478187449,-0.3371683866532663,-9.426214409330447e-05,,False
0.0,0.05,0.45,0.5,monthly,-0.337917412126846,420,普通,19,19,-0.33767039576738705,-0.33765739490636293,-0.0002470163594589514,,False
0.0,0.05,0.45,0.5,quarterly,-0.3377721295651557,141,平原,19,19,-0.33767039576738705,-0.33766504135697817,-0.00010173379776862168,,False
0.0,0.05,0.5,0.45,monthly,-0.3384462548265704,420,普通,19,19,-0.3381947020109707,-0.33818146238909697,-0.00025155281559974263,,False
0.0,0.05,0.5,0.45,quarterly,-0.33830039136355805,141,普通,19,19,-0.3381947020109707,-0.33818913941346607,-0.00010568935258736811,,False
0.0,0.05,0.55,0.4,monthly,-0.33897465211363487,420,普通,19,19,-0.33872251247953356,-0.3387092419724756,-0.00025213963410131157,,False
0.0,0.05,0.55,0.4,quarterly,-0.3388271290724313,141,普通,19,19,-0.33872251247953356,-0.3387170063430653,-0.00010461659289773273,,False
0.0,0.05,0.6,0.35,monthly,-0.33950260498709905,420,普通,19,19,-0.33924934124234196,-0.3392360115715653,-0.0002532637447570929,,False
0.0,0.05,0.6,0.35,quarterly,-0.33935234927800495,141,普通,19,19,-0.33924934124234196,-0.3392439197667808,-0.0001030080356629881,,False
0.0,0.05,0.65,0.3,monthly,-0.3400301144430482,420,普通,19,19,-0.339775192075257,-0.33976177510853117,-0.00025492236779117716,,False
0.0,0.05,0.65,0.3,quarterly,-0.3398760585286177,141,普通,19,19,-0.339775192075257,-0.3397698833145538,-0.00010086645336065958,,False
0.0,0.05,0.7,0.25,monthly,-0.34055718147458114,420,普通,19,19,-0.340300068733817,-0.3402865364843031,-0.0002571127407641205,,False
0.0,0.05,0.7,0.25,quarterly,-0.34039826333498235,141,普通,19,19,-0.340300068733817,-0.3402949005969136,-9.819460116533563e-05,,False
0.0,0.05,0.75,0.2,monthly,-0.34108380707184216,420,普通,19,19,-0.340823974953378,-0.340810299578722,-0.0002598321184641428,,False
0.0,0.05,0.75,0.2,quarterly,-0.3409189701704616,141,普通,19,19,-0.340823974953378,-0.34081897520511045,-9.499521708355996e-05,,False
0.0,0.05,0.8,0.15,monthly,-0.34160999222201704,420,普通,19,19,-0.3413469144492537,-0.3413330682506872,-0.00026307777276335376,,False
0.0,0.05,0.8,0.15,quarterly,-0.34143818547133076,141,普通,19,19,-0.3413469144492537,-0.3413421107112496,-9.127102207706628e-05,,False
0.0,0.05,0.85,0.1,monthly,-0.34213573790935314,420,普通,19,19,-0.34186889091685313,-0.34185484633830054,-0.00026684699250001387,,False
0.0,0.05,0.85,0.1,quarterly,-0.34195591563704686,141,普通,19,19,-0.34186889091685313,-0.34186431066842193,-8.702472019372909e-05,,False
0.0,0.05,0.9,0.05,monthly,-0.34266104511516826,420,普通,19,19,-0.34238990803181907,-0.34237563765901124,-0.0002711370833491933,,False
0.0,0.05,0.9,0.05,quarterly,-0.3424721670305093,141,普通,19,19,-0.34238990803181907,-0.3423855786108354,-8.225899869024333e-05,,False
0.0,0.05,0.95,0.0,monthly,-0.34318591481785754,280,普通,13,11,-0.34253330724304215,-0.3424739792816953,-0.0006526075748153892,,False
0.0,0.05,0.95,0.0,quarterly,-0.3429869459783208,94,普通,13,11,-0.34253330724304215,-0.34249206735801685,-0.00045363873527864973,,False
0.0,0.1,0.0,0.9,monthly,-0.33678799894719,280,平原,13,13,-0.33606389866260294,-0.33600819864071163,-0.0007241002845870814,,False
0.0,0.1,0.0,0.9,quarterly,-0.3364299855918279,94,平原,13,13,-0.33606389866260294,-0.33603573812958565,-0.00036608692922496244,,False
0.0,0.1,0.05,0.85,monthly,-0.33722880679455913,420,平原,19,19,-0.3368659844013066,-0.33684688848587224,-0.0003628223932525265,,False
0.0,0.1,0.05,0.85,quarterly,-0.3368773182676369,141,平原,19,19,-0.3368659844013066,-0.336865387882026,-1.1333866330287545e-05,,False
0.0,0.1,0.1,0.8,monthly,-0.3376694181043255,420,平原,19,19,-0.3373095891751976,-0.3372906508105067,-0.0003598289291278922,,False
0.0,0.1,0.1,0.8,quarterly,-0.3373234632351332,141,平原,19,19,-0.3373095891751976,-0.33730885896151674,-1.3874059935581329e-05,,False
0.0,0.1,0.15,0.75,monthly,-0.33810983324036015,420,普通,19,19,-0.3377525037379471,-0.3377336969220306,-0.00035732950241307293,,False
0.0,0.1,0.15,0.75,quarterly,-0.33776842521825334,141,平原,19,19,-0.3377525037379471,-0.33775166576529936,-1.5921480306269054e-05,,False
0.0,0.1,0.2,0.7,monthly,-0.33855005256564197,420,普通,19,19,-0.33819473062333927,-0.33817602946848124,-0.00035532194230269987,,False
0.0,0.1,0.2,0.7,quarterly,-0.3382122089159151,141,普通,19,19,-0.33819473062333927,-0.33819381071320376,-1.7478292575812127e-05,,False
0.0,0.1,0.25,0.65,monthly,-0.3389900764422541,420,普通,19,19,-0.33863627235226673,-0.33861765108437264,-0.000353804089987364,,False
0.0,0.1,0.25,0.65,quarterly,-0.3386548190021842,141,普通,19,19,-0.33863627235226673,-0.33863529621279737,-1.8546649917461355e-05,,False
0.0,0.1,0.3,0.6,monthly,-0.33942990523138306,420,普通,19,19,-0.3390771314328139,-0.33905856439078397,-0.00035277379856912816,,False
0.0,0.1,0.3,0.6,quarterly,-0.3390962601264357,141,普通,19,19,-0.3390771314328139,-0.3390761246594654,-1.9128693621750514e-05,,False
0.0,0.1,0.35,0.55,monthly,-0.3398695392933331,420,普通,19,19,-0.3395173103603409,-0.33949877199544654,-0.0003522289329921935,,False
0.0,0.1,0.35,0.55,quarterly,-0.33953653691352037,141,普通,19,19,-0.3395173103603409,-0.3395162984364893,-1.9226553179485517e-05,,False
0.0,0.1,0.4,0.5,monthly,-0.34030897898751444,420,普通,19,19,-0.33997701067361497,-0.33995953865709394,-0.0003319683138994778,,False
0.0,0.1,0.4,0.5,quarterly,-0.33997565396392204,141,普通,19,19,-0.33997701067361497,-0.3399770820793883,1.3567096929234523e-06,,False
0.0,0.1,0.45,0.45,monthly,-0.34081640635933064,420,普通,19,19,-0.340477251708574,-0.3404594014637973,-0.00033915465075662343,,False
0.0,0.1,0.45,0.45,quarterly,-0.34049124080971316,141,普通,19,19,-0.340477251708574,-0.34047651544009294,-1.3989101139144644e-05,,False
0.0,0.1,0.5,0.4,monthly,-0.341343725152773,420,普通,19,19,-0.3410019823784454,-0.3409839959166387,-0.00034174277432758027,,False
0.0,0.1,0.5,0.4,quarterly,-0.34101691210022356,141,普通,19,19,-0.3410019823784454,-0.341001196603615,-1.492972177813412e-05,,False
0.0,0.1,0.55,0.35,monthly,-0.34187060100518296,420,普通,19,19,-0.34152773855153307,-0.3415096931592357,-0.00034286245364989476,,False
0.0,0.1,0.55,0.35,quarterly,-0.3415410629116762,141,普通,19,19,-0.34152773855153307,-0.3415270372694203,-1.3324360143118774e-05,,False
0.0,0.1,0.6,0.3,monthly,-0.342397034909652,420,普通,19,19,-0.3420525160564373,-0.3420343834852155,-0.00034451885321473696,,False
0.0,0.1,0.6,0.3,quarterly,-0.34206369983141316,141,普通,19,19,-0.3420525160564373,-0.3420519274367017,-1.1183774975886962e-05,,False
0.0,0.1,0.65,0.25,monthly,-0.34292302785630757,420,普通,19,19,-0.34257631866656046,-0.3425580708144685,-0.0003467091897471075,,False
0.0,0.1,0.65,0.25,quarterly,-0.34258482940878043,141,普通,19,19,-0.34257631866656046,-0.3425758707327594,-8.51074221996928e-06,,False
0.0,0.1,0.7,0.2,monthly,-0.34344858083231744,420,普通,19,19,-0.34309915013494086,-0.34308075904560525,-0.00034943069737658483,,False
0.0,0.1,0.7,0.2,quarterly,-0.34310445815539903,141,普通,19,19,-0.34309915013494086,-0.34309887076544304,-5.308020458172358e-06,,False
0.0,0.1,0.75,0.15,monthly,-0.3439736948219093,420,普通,19,19,-0.34362101419439456,-0.3436024520561043,-0.0003526806275147565,,False
0.0,0.1,0.75,0.15,quarterly,-0.34362259254543914,141,普通,19,19,-0.34362101419439456,-0.34362093112328695,-1.5783510445843696e-06,,False
0.0,0.1,0.8,0.1,monthly,-0.3444983708063747,420,普通,19,19,-0.3441419145576549,-0.34412315370245916,-0.000356456248719772,,False
0.0,0.1,0.8,0.1,quarterly,-0.3441392390158857,141,普通,19,19,-0.3441419145576549,-0.3441420553756428,2.675541769192602e-06,,False
0.0,0.1,0.85,0.05,monthly,-0.3450226097640816,420,普通,19,19,-0.3446618549175115,-0.3446428678203236,-0.0003607548465701105,,False
0.0,0.1,0.85,0.05,quarterly,-0.3446544039668069,141,普通,19,19,-0.3446618549175115,-0.34466224707281173,7.450950704590564e-06,,False
0.0,0.1,0.9,0.0,monthly,-0.3455464126704908,280,普通,13,13,-0.344558846279146,-0.3444828796336579,-0.0009875663913447852,,False
0.0,0.1,0.9,0.0,quarterly,-0.34516809376162016,94,普通,13,13,-0.344558846279146,-0.3445119810881864,-0.0006092474824741512,,False
0.0,0.15,0.0,0.85,monthly,-0.33967995409748675,280,普通,13,13,-0.3388795236332159,-0.3388179520590412,-0.0008004304642708626,,False
0.0,0.15,0.0,0.85,quarterly,-0.3391718299937818,94,普通,13,13,-0.3388795236332159,-0.3388570385285569,-0.0002923063605659304,,False
0.0,0.15,0.05,0.8,monthly,-0.3401196714212825,420,普通,19,19,-0.3396813995236478,-0.33965833258166706,-0.0004382718976347344,,False
0.0,0.15,0.05,0.8,quarterly,-0.33961667588012123,141,普通,19,19,-0.3396813995236478,-0.3396848060312018,6.472364352655413e-05,,False
0.0,0.15,0.1,0.75,monthly,-0.3405591936354,420,普通,19,19,-0.34012321799213463,-0.340100271905647,-0.00043597564326536276,,False
0.0,0.15,0.1,0.75,quarterly,-0.34006033758235976,141,普通,19,19,-0.34012321799213463,-0.3401265274873859,6.288040977486808e-05,,False
0.0,0.15,0.15,0.7,monthly,-0.34099852110092344,420,普通,19,19,-0.34056434872239516,-0.34054149754457785,-0.00043417237852827473,,False
0.0,0.15,0.15,0.7,quarterly,-0.34050281982267694,141,普通,19,19,-0.34056434872239516,-0.34056758708553825,6.152889971822173e-05,,False
0.0,0.15,0.2,0.65,monthly,-0.3414376541780445,420,普通,19,19,-0.34100479424592406,-0.34098201214423346,-0.00043285993212044405,,False
0.0,0.15,0.2,0.65,quarterly,-0.34094412729817924,141,普通,19,19,-0.34100479424592406,-0.34100798724317377,6.066694774481407e-05,,False
0.0,0.15,0.25,0.6,monthly,-0.34187659322606134,420,普通,19,19,-0.3414445570813003,-0.34142181833683916,-0.000432036144761061,,False
0.0,0.15,0.25,0.6,quarterly,-0.3413842646810613,141,普通,19,19,-0.3414445570813003,-0.3414477303655234,6.029240023897042e-05,,False
0.0,0.15,0.3,0.55,monthly,-0.3423153386033967,420,普通,19,19,-0.3418836397342718,-0.3418609187411599,-0.00043169886912486355,,False
0.0,0.15,0.3,0.55,quarterly,-0.34182323661877867,141,普通,19,19,-0.3418836397342718,-0.34188681884561356,6.0403115493157244e-05,,False
0.0,0.15,0.35,0.5,monthly,-0.34275389066758133,420,普通,19,19,-0.34232214508690195,-0.3422994216352872,-0.00043174558067937685,,False
0.0,0.15,0.35,0.5,quarterly,-0.34226104773420507,141,普通,19,19,-0.34232214508690195,-0.3423253607370439,6.109735269688166e-05,,False
0.0,0.15,0.4,0.45,monthly,-0.3431922497752755,420,普通,19,19,-0.34278600891587585,-0.3427646278180127,-0.0004062408593996647,,False
0.0,0.15,0.4,0.45,quarterly,-0.3426997104070618,141,普通,19,19,-0.34278600891587585,-0.3427905509426555,8.629850881403112e-05,,False
0.0,0.15,0.45,0.4,monthly,-0.3437102788807419,420,普通,19,19,-0.34328939728600033,-0.3432672456231192,-0.0004208815947415734,,False
0.0,0.15,0.45,0.4,quarterly,-0.343224281092791,141,普通,19,19,-0.34328939728600033,-0.34329282445406395,6.511619320931361e-05,,False
0.0,0.15,0.5,0.35,monthly,-0.34423607891491836,420,普通,19,19,-0.34381365379571105,-0.3437914208947001,-0.00042242511920731474,,False
0.0,0.15,0.5,0.35,quarterly,-0.34374732839911826,141,普通,19,19,-0.34381365379571105,-0.343817144606058,6.632539659279235e-05,,False
0.0,0.15,0.55,0.3,monthly,-0.3447614384698655,420,普通,19,19,-0.34433734155608653,-0.34431502066588765,-0.00042409691377898184,,False
0.0,0.15,0.55,0.3,quarterly,-0.3442688589523769,141,普通,19,19,-0.34433734155608653,-0.3443409459036502,6.848260370961867e-05,,False
0.0,0.15,0.6,0.25,monthly,-0.3452863585327276,420,普通,19,19,-0.34486005373848166,-0.3448376166440477,-0.00042630479424593526,,False
0.0,0.15,0.6,0.25,quarterly,-0.3447888793405238,141,普通,19,19,-0.34486005373848166,-0.3448637997594268,7.117439795784053e-05,,False
