lookback_months,mode,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak
1,winner,monthly,-0.3408229096214357,236,普通,7,7,-0.3589204103429229,-0.3615057675888496,0.018097500721487192,,False
1,winner,quarterly,-0.39470518808213495,86,普通,7,7,-0.3589204103429229,-0.35380829923732116,-0.03578477773921207,,False
1,rank,monthly,-0.3423448233969224,560,普通,7,7,-0.3589204103429229,-0.36128835133520865,0.016575586946000476,,False
1,rank,quarterly,-0.3575507572500457,188,普通,7,7,-0.3589204103429229,-0.35911607507047677,0.0013696530928771766,,False
3,winner,monthly,-0.3408229096214357,144,普通,11,11,-0.35977152672389306,-0.36149412827866195,0.018948617102457377,,False
3,winner,quarterly,-0.39470518808213484,74,普通,11,11,-0.35977152672389306,-0.3565957393276893,-0.034933661358241774,,False
3,rank,monthly,-0.3422960753173373,560,普通,11,11,-0.35977152672389306,-0.36136020412448905,0.017475451406555764,,False
3,rank,quarterly,-0.3581154313719366,188,普通,11,11,-0.35977152672389306,-0.3599220808467982,0.001656095351956488,,False
6,winner,monthly,-0.34209904958610726,124,普通,11,11,-0.354904354799404,-0.3560684734551583,0.012805305213296758,,False
6,winner,quarterly,-0.39470518808213484,60,普通,11,11,-0.354904354799404,-0.3512860972282467,-0.03980083328273082,,False
6,rank,monthly,-0.3515400430250457,560,普通,11,11,-0.354904354799404,-0.3552102013243457,0.0033643117743583084,,False
6,rank,quarterly,-0.3575507572500459,188,普通,11,11,-0.354904354799404,-0.3546637727584366,-0.002646402450641905,,False
9,winner,monthly,-0.3408229096214357,96,普通,11,11,-0.34905293379285324,-0.3498011178084367,0.00823002417141755,,False
9,winner,quarterly,-0.34056724459487453,50,普通,11,11,-0.34905293379285324,-0.34982436008357864,0.008485689197978707,,False
9,rank,monthly,-0.3434219348727523,560,普通,11,11,-0.34905293379285324,-0.34956484278558975,0.005630998920100938,,False
9,rank,quarterly,-0.3522055261676076,188,普通,11,11,-0.34905293379285324,-0.3487663344860574,-0.0031525923747543483,,False
12,winner,monthly,-0.3408229096214356,90,普通,7,7,-0.3428425209463632,-0.34313103684992424,0.002019611324927617,,False
12,winner,quarterly,-0.34056724459487453,48,普通,7,7,-0.3428425209463632,-0.3431675604251473,0.0022752763514886643,,False
12,rank,monthly,-0.3423448233969225,560,普通,7,7,-0.3428425209463632,-0.34291362059628333,0.0004976975494406788,,False
12,rank,quarterly,-0.34198757470100294,188,普通,7,7,-0.3428425209463632,-0.3429646561242718,0.0008549462453602552,,False
