lookback_days,power,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak
21,1.0,monthly,-0.34837588765297134,560,普通,7,7,-0.3455658688491924,-0.34516443759150967,-0.0028100188037789575,,False
21,1.0,quarterly,-0.3450344877498348,188,普通,7,7,-0.3455658688491924,-0.3456417804348149,0.0005313810993575752,,False
21,2.0,monthly,-0.3468685695272826,560,普通,7,7,-0.3455658688491924,-0.3453797687523224,-0.0013027006780902406,,False
21,2.0,quarterly,-0.3415759000033356,188,普通,7,7,-0.3455658688491924,-0.3461358643986005,0.003989968845856784,,True
63,1.0,monthly,-0.34771401956047054,560,普通,11,11,-0.34564299455781033,-0.3454547195575685,-0.0020710250026602095,,False
63,1.0,quarterly,-0.34607341111767387,188,普通,11,11,-0.34564299455781033,-0.3456038657796409,-0.00043041655986353344,,False
63,2.0,monthly,-0.345704036130995,560,普通,11,11,-0.34564299455781033,-0.34563744532388446,-6.104157318465031e-05,,False
63,2.0,quarterly,-0.3431806390509754,188,普通,11,11,-0.34564299455781033,-0.34586684505843174,0.0024623555068349345,,False
126,1.0,monthly,-0.3474525809196537,560,普通,11,11,-0.3457106724602739,-0.3455523171457849,-0.0017419084593797707,,False
126,1.0,quarterly,-0.3465862410781596,188,普通,11,11,-0.3457106724602739,-0.3456310753131935,-0.0008755686178856803,,False
126,2.0,monthly,-0.3451480627529123,560,普通,11,11,-0.3457106724602739,-0.3457618187973069,0.0005626097073616054,,False
126,2.0,quarterly,-0.34400209914945945,188,普通,11,11,-0.3457106724602739,-0.3458659973067117,0.0017085733108144763,,False
252,1.0,monthly,-0.34730238224646337,560,普通,7,7,-0.3457319954578966,-0.3455076544881014,-0.0015703867885667466,,False
252,1.0,quarterly,-0.3465673774078236,188,普通,7,7,-0.3457319954578966,-0.34561265517933565,-0.0008353819499269943,,False
252,2.0,monthly,-0.34484517578829244,560,普通,7,7,-0.3457319954578966,-0.3458586839821258,0.0008868196696041886,,False
252,2.0,quarterly,-0.3439520443204085,188,普通,7,7,-0.3457319954578966,-0.3459862741918235,0.0017799511374881338,,True
