lookback_months,fallback,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak
1,cash,monthly,-0.3408099251000808,409,普通,7,7,-0.3595358555159853,-0.36221098843254307,0.018725930415904535,,False
1,cash,quarterly,-0.39470518808213484,143,普通,7,7,-0.3595358555159853,-0.35451166514939253,-0.035169332566149514,,False
1,equal,monthly,-0.34080992510008035,440,普通,7,7,-0.3595358555159853,-0.3622109884325431,0.01872593041590498,,False
1,equal,quarterly,-0.39470518808213473,154,普通,7,7,-0.3595358555159853,-0.35451166514939253,-0.0351693325661494,,False
3,cash,monthly,-0.33530178243853836,316,普通,11,11,-0.3476902360552933,-0.34881645911136194,0.012388453616754946,,False
3,cash,quarterly,-0.36732652644318764,130,普通,11,11,-0.3476902360552933,-0.34590511874730284,-0.01963629038789433,,False
3,equal,monthly,-0.33530178243853803,353,普通,11,11,-0.3476902360552933,-0.34881645911136194,0.01238845361675528,,False
3,equal,quarterly,-0.36732652644318764,141,普通,11,11,-0.3476902360552933,-0.34590511874730284,-0.01963629038789433,,False
6,cash,monthly,-0.21139346218326038,275,孤峰,11,11,-0.33838256410811174,-0.34992702791946184,0.12698910192485136,,True
6,cash,quarterly,-0.36732652644318775,114,普通,11,11,-0.33838256410811174,-0.335751294804923,-0.028943962335076012,,False
6,equal,monthly,-0.34994947346600114,305,普通,11,11,-0.33838256410811174,-0.33733102689375816,-0.011566909357889399,,False
6,equal,quarterly,-0.36732652644318775,127,普通,11,11,-0.33838256410811174,-0.335751294804923,-0.028943962335076012,,False
9,cash,monthly,-0.33910183690425144,257,普通,11,11,-0.333839178101361,-0.33336075457382547,-0.005262658802890452,,False
9,cash,quarterly,-0.34056724459487453,104,普通,11,11,-0.333839178101361,-0.33322753569285973,-0.00672806649351354,,False
9,equal,monthly,-0.33910183690425144,284,普通,11,11,-0.333839178101361,-0.33336075457382547,-0.005262658802890452,,False
9,equal,quarterly,-0.34056724459487453,116,普通,11,11,-0.333839178101361,-0.33322753569285973,-0.00672806649351354,,False
12,cash,monthly,-0.33480074824634687,263,普通,7,7,-0.3387592685850868,-0.3393247714906211,0.003958520338739946,,False
12,cash,quarterly,-0.3405672445948744,96,普通,7,7,-0.3387592685850868,-0.33850098629797426,-0.001807976009787604,,False
12,equal,monthly,-0.33480074824634687,283,普通,7,7,-0.3387592685850868,-0.3393247714906211,0.003958520338739946,,False
12,equal,quarterly,-0.3405672445948744,102,普通,7,7,-0.3387592685850868,-0.33850098629797426,-0.001807976009787604,,False
