ma_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak
50,0.5,monthly,-0.34454377577516615,560,普通,7,7,-0.34341153767567545,-0.3432497893757481,-0.001132238099490701,,False
50,0.5,quarterly,-0.34639449846825876,188,普通,7,7,-0.34341153767567545,-0.34298540041959213,-0.0029829607925833113,,False
50,0.75,monthly,-0.33913564233760596,560,普通,11,11,-0.34136569178903337,-0.3415684235573449,0.002230049451427407,,False
50,0.75,quarterly,-0.34357223412167126,188,普通,11,11,-0.34136569178903337,-0.3411650970315208,-0.0022065423326378952,,False
50,1.0,monthly,-0.3337250904100628,134,孤峰,7,7,-0.33931396912269385,-0.3401123803673554,0.005588878712631029,,True
50,1.0,quarterly,-0.3408229096214356,56,普通,7,7,-0.33931396912269385,-0.3390984061943022,-0.0015089404987417288,,False
100,0.5,monthly,-0.3445437757751657,560,普通,11,11,-0.3434115376756754,-0.3433086069393581,-0.0011322380994903125,,False
100,0.5,quarterly,-0.34639449846825876,188,普通,11,11,-0.3434115376756754,-0.3431403594218042,-0.0029829607925833668,,False
100,0.75,monthly,-0.3391356423376055,560,普通,17,17,-0.34136569178903337,-0.3414968711685291,0.0022300494514278513,,False
100,0.75,quarterly,-0.34357223412167126,188,普通,17,17,-0.34136569178903337,-0.3412358951812311,-0.0022065423326378952,,False
100,1.0,monthly,-0.33372509041006293,114,普通,11,11,-0.33931396912269385,-0.3398220490056603,0.005588878712630918,,False
100,1.0,quarterly,-0.3408229096214356,56,普通,11,11,-0.33931396912269385,-0.3391767927137173,-0.0015089404987417288,,False
150,0.5,monthly,-0.34454377577516615,560,普通,11,11,-0.3434115376756754,-0.343308606939358,-0.0011322380994907566,,False
150,0.5,quarterly,-0.34639449846825865,188,普通,11,11,-0.3434115376756754,-0.34314035942180415,-0.0029829607925832557,,False
150,0.75,monthly,-0.33913564233760574,560,普通,17,17,-0.3413656917890333,-0.3414968711685291,0.0022300494514275737,,False
150,0.75,quarterly,-0.34357223412167104,188,普通,17,17,-0.3413656917890333,-0.3412358951812311,-0.0022065423326377287,,False
150,1.0,monthly,-0.3337250904100628,90,孤峰,11,11,-0.33931396912269385,-0.33982204900566026,0.005588878712631029,,True
150,1.0,quarterly,-0.3408229096214356,44,普通,11,11,-0.33931396912269385,-0.33917679271371726,-0.0015089404987417288,,False
200,0.5,monthly,-0.34454377577516604,560,普通,7,7,-0.3434115376756754,-0.3432497893757481,-0.0011322380994906456,,False
200,0.5,quarterly,-0.34639449846825865,188,普通,7,7,-0.3434115376756754,-0.3429854004195921,-0.0029829607925832557,,False
200,0.75,monthly,-0.33913564233760574,560,普通,11,11,-0.3413656917890333,-0.3415684235573449,0.0022300494514275737,,False
200,0.75,quarterly,-0.34357223412167104,188,普通,11,11,-0.3413656917890333,-0.3411650970315208,-0.0022065423326377287,,False
200,1.0,monthly,-0.33372509041006304,98,普通,7,7,-0.33931396912269385,-0.34011238036735536,0.005588878712630807,,False
200,1.0,quarterly,-0.3408229096214356,44,普通,7,7,-0.33931396912269385,-0.33909840619430215,-0.0015089404987417288,,False
