ma_days,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
50,0.5,monthly,3.0516797396693285,0.1279671826512736,-0.34454377577516615,0.8777777777777778,0.7930192387112547,0.7197704985851253,676.6444444444444,1.275523437351695,-0.06170248429566727,-0.01055250223084614,run-155fadcfc362a78b,560,450,2929,2015-01-02,2026-08-26,False,0.3839
50,0.5,quarterly,2.85706538425834,0.12319857854647087,-0.34639449846825876,0.8805970149253731,1.0580420461378737,0.6686321232214368,728.4701492537314,0.5713600859190379,-0.06647108840047,-0.01532110633564887,run-f327de5130b4dda4,188,134,2929,2015-01-02,2026-08-26,True,0.0311
50,0.75,monthly,2.886060842436313,0.12392280044336212,-0.33913564233760596,0.8836206896551724,0.5181352631177616,0.6633309164737405,677.989224137931,2.458692296602355,-0.06574686650357875,-0.014596884438757618,run-8c4844b01d642b00,560,464,2929,2015-01-02,2026-08-26,False,0.6371
50,0.75,quarterly,2.495714181086142,0.11372951867246828,-0.34357223412167126,0.8851351351351351,0.5944641258508052,0.5647661970349309,873.9797297297297,1.0881979633057466,-0.0759401482744726,-0.024790166209651465,run-ed0bada2d0b1f777,188,148,2929,2015-01-02,2026-08-26,True,0.0275
50,1.0,monthly,2.701707748301826,0.11923132141510306,-0.3337250904100628,0.6373626373626373,1.771977963941,0.592696187444409,112.6043956043956,3.6307167825922178,-0.07043834553183781,-0.019288363467016678,run-866f55872a575fe8,134,91,2929,2015-01-02,2026-08-26,False,0.3764
50,1.0,quarterly,2.1392043203536533,0.10346627005360998,-0.3408229096214356,0.7222222222222222,1.3584738655361885,0.45567713287142475,203.44444444444446,1.5948338806720612,-0.0862033968933309,-0.035053414828509766,run-82308ddf205394c7,56,36,2929,2015-01-02,2026-08-26,True,0.0258
100,0.5,monthly,2.918910123283752,0.12473733667895037,-0.3445437757751657,0.8933333333333333,0.7442258599604258,0.6832384447516661,705.2533333333333,0.9455879882317655,-0.0649323302679905,-0.01378234820316937,run-034a0964668da785,560,450,2929,2015-01-02,2026-08-26,False,0.3385
100,0.5,quarterly,2.7513372061885812,0.1205149531737173,-0.34639449846825876,0.8823529411764706,0.9982771940583728,0.6430174400822039,757.4558823529412,0.566925579574037,-0.06915471377322358,-0.018004731708402444,run-2bc937520dbbc6a1,188,136,2929,2015-01-02,2026-08-26,True,0.0272
100,0.75,monthly,2.6355244972082486,0.11749484132236221,-0.3391356423376055,0.8989247311827957,0.4817512757088969,0.5956903351136252,707.9354838709677,1.7858874010175148,-0.07217482562457866,-0.021024843559757533,run-ffe21b9f15838612,560,465,2929,2015-01-02,2026-08-26,False,0.4795
100,0.75,quarterly,2.307555557088683,0.10843870109747455,-0.34357223412167126,0.8859060402684564,0.5519452377719822,0.5179918100174739,884.5234899328859,1.0802418312794477,-0.08123096584946632,-0.030080983784645188,run-06bb1a0c8f1f8b0c,188,149,2929,2015-01-02,2026-08-26,True,0.0263
