lookback_days,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
10,0.5,monthly,3.3429873089673814,0.13472765236161743,-0.34363302752192193,0.7977272727272727,1.536510280462509,0.807276993820192,620.9613636363637,1.9093935923977334,-0.054942047335561295,-0.003792042134661777,run-79ba00d415e4a40e,560,440,2929,2015-01-02,2026-08-26,False,0.491
10,0.5,quarterly,2.879945945710827,0.1237704800805266,-0.3627277141644799,0.8689655172413793,0.989411484037286,0.6931173108716608,731.2413793103449,0.5678952893738654,-0.06589921961665213,-0.01474921441575261,run-362f51108bbb9851,188,145,2929,2015-01-02,2026-08-26,False,0.472
10,0.75,monthly,3.473875599736635,0.13763117193402818,-0.3382351265302679,0.8030973451327433,0.984092757742958,0.8426144837982241,635.0066371681415,3.705900179159467,-0.052038527763150544,-0.0008885225622510262,run-374eb880796af250,560,452,2929,2015-01-02,2026-08-26,False,0.5556
10,0.75,quarterly,2.547009237476344,0.11512670402450786,-0.37856421229464576,0.8707482993197279,0.5741404377614456,0.6144956880290879,753.8027210884354,1.0595108703032727,-0.07454299567267086,-0.023392990471771347,run-1b5bca46c0722570,188,147,2929,2015-01-02,2026-08-26,False,0.4917
10,1.0,monthly,3.5809680778147,0.1399496413748571,-0.337717764462074,0.584070796460177,2.3832968973135604,0.8570332899636944,92.53982300884955,5.477971545206194,-0.049720058322321625,0.0014299468785778924,run-a6915fef49f14906,178,113,2929,2015-01-02,2026-08-26,False,0.4571
10,1.0,quarterly,2.219705461637822,0.10587359325554413,-0.3947051105648679,0.7222222222222222,1.1616854619541919,0.525690582670129,207.16666666666666,1.532400929150253,-0.0837961064416346,-0.03264610124073508,run-79476bd07a942207,56,36,2929,2015-01-02,2026-08-26,False,0.4023
20,0.5,monthly,3.67256760489715,0.14189372483833673,-0.34363302770757664,0.8105022831050228,1.314854040457818,0.8608526479637075,605.445205479452,2.1281760293591363,-0.047775974858841996,0.0033740303420575213,run-aae0fe521685b1ec,560,438,2929,2015-01-02,2026-08-26,False,0.5533
20,0.5,quarterly,3.1374414467972525,0.1300024405223863,-0.3627400007608337,0.8689655172413793,1.4355070131044736,0.7455249562599492,693.2275862068966,0.6708519684467611,-0.05966725917479243,-0.008517253973892913,run-27a9274c5cbc57b1,188,145,2929,2015-01-02,2026-08-26,False,0.4467
20,0.75,monthly,4.177102296330782,0.15201540221364018,-0.338238271084495,0.8185840707964602,0.8789980433733086,0.9519639621341,618.4867256637168,4.158857455615172,-0.037654297483538546,0.013495707717360972,run-0875c1c51996bdb8,560,452,2929,2015-01-02,2026-08-26,False,0.5505
20,0.75,quarterly,3.0354694941167235,0.12757806966371654,-0.3785768247124297,0.8698630136986302,0.8271510487880139,0.7171067977634638,706.1301369863014,1.2721686521497932,-0.062091630033462186,-0.010941624832562669,run-a48a054497f80b25,188,146,2929,2015-01-02,2026-08-26,False,0.3958
20,1.0,monthly,4.6998909607543915,0.1615932725593019,-0.337717764462074,0.6153846153846154,2.1449762093828535,1.0222966797831343,89.37606837606837,6.1780958498570335,-0.028076427137876836,0.02307357806302268,run-4a5a5665451228d7,186,117,2929,2015-01-02,2026-08-26,False,0.5218
20,1.0,quarterly,2.910294868737323,0.12452431683071241,-0.3947051105648679,0.775,1.249339997831139,0.6746142514982231,172.35,1.863541789849824,-0.06514538286646632,-0.0139953776655668,run-069465a36b068d21,64,40,2929,2015-01-02,2026-08-26,False,0.4458
40,0.5,monthly,3.092711846895088,0.1289458004378945,-0.34363302770757664,0.8220720720720721,1.4331762714955445,0.746519885987556,673.2657657657658,1.292741127256728,-0.06072389925928423,-0.009573894058384713,run-84c348452365ccb1,560,444,2929,2015-01-02,2026-08-26,False,0.4782
40,0.5,quarterly,2.9452874390089683,0.12538688843736212,-0.36272771416448013,0.852112676056338,0.8422753402162461,0.7060080939714223,693.2253521126761,0.694719788582166,-0.06428281125981661,-0.01313280605891709,run-64049801155f9ef9,188,142,2929,2015-01-02,2026-08-26,False,0.3525
40,0.75,monthly,2.9734408330297533,0.12607581250830835,-0.3382382710823366,0.8300653594771242,0.829783613145387,0.7217677299805438,678.6688453159042,2.4574179672729186,-0.06359388718887038,-0.012443881987970862,run-33f1f5f55ae9ae5a,560,459,2929,2015-01-02,2026-08-26,False,0.3999
40,0.75,quarterly,2.6609040716237864,0.11816412581572222,-0.37856421229464565,0.8551724137931035,0.45545659790327336,0.6372057817385776,710.0896551724138,1.3219492314973658,-0.07150557388145651,-0.02035556868055699,run-1217290e41402a6c,188,145,2929,2015-01-02,2026-08-26,False,0.5824
40,1.0,monthly,2.8346065051614353,0.12263419358149474,-0.33771776446207424,0.5824175824175825,2.159564339269768,0.6805831422903241,115.6043956043956,3.5830479466328957,-0.06703550611568398,-0.015885500914784467,run-72e4baad64994564,134,91,2929,2015-01-02,2026-08-26,False,0.5307
40,1.0,quarterly,2.3672768550394183,0.11014716609546737,-0.3947051105648678,0.7073170731707317,0.8396167363230839,0.5553365910199546,165.14634146341464,1.9378351987496654,-0.07952253360171135,-0.028372528400811836,run-1c45346fa764f358,66,41,2929,2015-01-02,2026-08-26,False,0.4236
60,0.5,monthly,3.310727887847853,0.13399975900526262,-0.34363302770757664,0.8632286995515696,0.9167408898527705,0.7930215128147797,692.6255605381166,1.2010407448857163,-0.05566994069191611,-0.004519935491016591,run-4213a757c80eba96,560,446,2929,2015-01-02,2026-08-26,False,0.4744
60,0.5,quarterly,3.0469942995837433,0.12785485910110972,-0.36272771416448,0.8251748251748252,1.3149786429007568,0.725863453142266,671.7762237762238,0.7348567360286333,-0.06181484059606901,-0.010664835395169492,run-4a0792b15cdf12f5,188,143,2929,2015-01-02,2026-08-26,False,0.5046
60,0.75,monthly,3.407472051601853,0.13616797758179966,-0.3382382710823366,0.8698481561822126,0.5246275083011291,0.8157566937255855,697.0563991323211,2.2817453261437817,-0.05350172211537907,-0.0023517169144795513,run-e0a1123297c68b23,560,461,2929,2015-01-02,2026-08-26,False,0.4977
60,0.75,quarterly,2.8521904429677636,0.1230763284069083,-0.3785642122946459,0.8299319727891157,0.658393885126885,0.6763585882964096,688.1020408163265,1.3897984400739183,-0.06659337129027043,-0.015443366089370913,run-e40d22115eae5c61,188,147,2929,2015-01-02,2026-08-26,False,0.3249
60,1.0,monthly,3.4787126012752116,0.1377369775700188,-0.337717764462074,0.6091954022988506,1.723198543839518,0.8198322015505214,127.83908045977012,3.33341606975361,-0.051932722127159936,-0.0007827169262604183,run-02eaba07b20fb72c,126,87,2929,2015-01-02,2026-08-26,False,0.5846
60,1.0,quarterly,2.634852163388469,0.11747705322154323,-0.394705110564868,0.7073170731707317,0.9877386134148768,0.6124255232062068,165.14634146341464,2.0175434303868607,-0.0721926464756355,-0.021042641274735985,run-d59a57ab0dc9833a,66,41,2929,2015-01-02,2026-08-26,False,0.3515
120,0.5,monthly,3.131888974164567,0.1298718445165441,-0.34363197571779713,0.8803611738148984,1.6130138609472646,0.7563358072877008,785.5711060948081,0.759616070993849,-0.05979785518063463,-0.008647849979735112,run-bfd82184552edc1d,560,443,2929,2015-01-02,2026-08-26,False,0.3647
120,0.5,quarterly,2.8945634794505715,0.12413423509187904,-0.34311542902677705,0.9246575342465754,1.1326486892796015,0.704778694620321,766.2123287671233,0.5543247349950616,-0.06553546460529969,-0.01438545940440017,run-72cd05c14868957a,188,146,2929,2015-01-02,2026-08-26,False,0.3767
120,0.75,monthly,3.051812207182727,0.12797035655477673,-0.3373217674832396,0.8903508771929824,0.7042469749044252,0.7436076405642588,798.1622807017544,1.3856366916416434,-0.061699343142402,-0.010549337941502479,run-c254886995dfce31,560,456,2929,2015-01-02,2026-08-26,False,0.5479
120,0.75,quarterly,2.5802672648331644,0.11602275793606998,-0.3370281016626817,0.9271523178807947,0.4417736904961068,0.6381256298187279,777.8609271523179,1.0275231721707774,-0.07364694176110875,-0.022496936560209235,run-654869aee9580d17,188,151,2929,2015-01-02,2026-08-26,False,0.4664
120,1.0,monthly,2.9510203969530453,0.1255275395636115,-0.3309889449099406,0.5915492957746479,2.7834310225721404,0.7156023832137584,158.71830985915494,1.9751084450720442,-0.06414216013356722,-0.012992154932667699,run-744b30fbda6710f2,94,71,2929,2015-01-02,2026-08-26,False,0.4355
120,1.0,quarterly,2.274499529076047,0.10748089797933469,-0.3309889449099406,0.7428571428571429,1.3337843856070457,0.5603755631470076,200.6,1.482506068098009,-0.08218880171784404,-0.031038796516944522,run-6c083b4292db497b,54,35,2929,2015-01-02,2026-08-26,False,0.399
