名稱,類別,段,起,訖,交易日,年化,SPY年化,年化超額,最大回撤,run_id
宏觀·VIX 水平開關·最優格,宏觀驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.1579880851490547,0.11601479123413205,0.04197329391492266,-0.20175938056225584,run-2a9ad797eecc5b3a
宏觀·VIX 水平開關·最優格,宏觀驅動器,2020–2022,2020-01-02,2022-12-30,756,0.0528726702618858,0.0729504983196545,-0.0200778280577687,-0.33558181314409374,run-2a9ad797eecc5b3a
宏觀·VIX 水平開關·最優格,宏觀驅動器,2023–2026,2023-01-03,2026-08-26,915,0.20892055110739172,0.22760389922736812,-0.018683348119976406,-0.13346088772894693,run-2a9ad797eecc5b3a
宏觀·VIX 期限結構開關·最優格,宏觀驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.13374581601469404,0.11601479123413205,0.017731024780561988,-0.2212303493728971,run-2a9cc644d7b58f96
宏觀·VIX 期限結構開關·最優格,宏觀驅動器,2020–2022,2020-01-02,2022-12-30,756,0.05633135339403639,0.0729504983196545,-0.016619144925618112,-0.339848397807915,run-2a9cc644d7b58f96
宏觀·VIX 期限結構開關·最優格,宏觀驅動器,2023–2026,2023-01-03,2026-08-26,915,0.24298601909523,0.22760389922736812,0.015382119867861865,-0.20992035568347556,run-2a9cc644d7b58f96
宏觀·信用利差變化方向·最優格,宏觀驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.11000873207273787,0.11601479123413205,-0.006006059161394184,-0.20175938056225584,run-cb17c73fcfd300a2
宏觀·信用利差變化方向·最優格,宏觀驅動器,2020–2022,2020-01-02,2022-12-30,756,0.07401063472305247,0.0729504983196545,0.001060136403397971,-0.33558181314409385,run-cb17c73fcfd300a2
宏觀·信用利差變化方向·最優格,宏觀驅動器,2023–2026,2023-01-03,2026-08-26,915,0.21983418194315418,0.22760389922736812,-0.0077697172842139395,-0.16413388041494936,run-cb17c73fcfd300a2
宏觀·信用利差變化方向·鄰域平均最高,宏觀驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.11331791693052162,0.11601479123413205,-0.0026968743036104303,-0.22404134453111446,run-9f53a4c29708be25
宏觀·信用利差變化方向·鄰域平均最高,宏觀驅動器,2020–2022,2020-01-02,2022-12-30,756,0.07013619180198472,0.0729504983196545,-0.0028143065176697846,-0.33558181314409374,run-9f53a4c29708be25
宏觀·信用利差變化方向·鄰域平均最高,宏觀驅動器,2023–2026,2023-01-03,2026-08-26,915,0.20973473437373036,0.22760389922736812,-0.017869164853637765,-0.1453865200396044,run-9f53a4c29708be25
