lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,-0.00647530872292279,560,孤峰,7,7,-0.01433491882704338,-0.015457720270489179,0.00785961010412059,,True,全格(沒有選擇軸),0,,
10,0.5,quarterly,-0.014018027317121762,188,普通,7,7,-0.01433491882704338,-0.01438018904274647,0.0003168915099216185,,False,全格(沒有選擇軸),0,,
10,0.75,monthly,-0.0070670043468048505,560,普通,11,11,-0.01815541620742585,-0.01916345364930049,0.011088411860621001,,False,全格(沒有選擇軸),0,,
10,0.75,quarterly,-0.029412162191036595,188,普通,11,11,-0.01815541620742585,-0.01713207566346124,-0.011256745983610743,,False,全格(沒有選擇軸),0,,
10,1.0,monthly,-0.008172873270215097,300,普通,7,7,-0.021896589294291502,-0.023857120154873845,0.013723716024076404,,False,全格(沒有選擇軸),0,,
10,1.0,quarterly,-0.04533767375256814,100,普通,7,7,-0.021896589294291502,-0.018547862943109124,-0.02344108445827664,,False,全格(沒有選擇軸),0,,
20,0.5,monthly,-0.00795839160379086,560,普通,11,11,-0.013695220271199146,-0.014216750150054443,0.005736828667408286,,False,全格(沒有選擇軸),0,,
20,0.5,quarterly,-0.014240552490942804,188,普通,11,11,-0.013695220271199146,-0.013645644614858813,-0.0005453322197436581,,False,全格(沒有選擇軸),0,,
20,0.75,monthly,-0.006511636290684741,560,普通,17,17,-0.017431904372873883,-0.018074273083590893,0.010920268082189141,,False,全格(沒有選擇軸),0,,
20,0.75,quarterly,-0.02899626765304264,188,普通,17,17,-0.017431904372873883,-0.016751647709334544,-0.011564363280168757,,False,全格(沒有選擇軸),0,,
20,1.0,monthly,-0.005574004064514693,287,孤峰,11,11,-0.021088901636938568,-0.022499346870795287,0.015514897572423875,,True,全格(沒有選擇軸),0,,
20,1.0,quarterly,-0.04410109278546526,105,普通,11,11,-0.021088901636938568,-0.01899688425979978,-0.02301219114852669,,False,全格(沒有選擇軸),0,,
40,0.5,monthly,-0.006390541065887989,560,孤峰,11,11,-0.015495296102957393,-0.01632300110632734,0.009104755037069404,,True,全格(沒有選擇軸),0,,
40,0.5,quarterly,-0.01162463786780088,188,普通,11,11,-0.015495296102957393,-0.01584717412433526,0.003870658235156513,,False,全格(沒有選擇軸),0,,
40,0.75,monthly,-0.006760329360093964,560,普通,17,17,-0.020160547254462827,-0.020948795365896288,0.013400217894368863,,False,全格(沒有選擇軸),0,,
40,0.75,quarterly,-0.024887784344259867,188,普通,17,17,-0.020160547254462827,-0.019882474484474763,-0.00472723708979704,,False,全格(沒有選擇軸),0,,
40,1.0,monthly,-0.007577728331595868,255,普通,11,11,-0.02474838536000003,-0.026309354180764046,0.017170657028404163,,False,全格(沒有選擇軸),0,,
40,1.0,quarterly,-0.03866826325298112,111,普通,11,11,-0.02474838536000003,-0.02348294191518357,-0.013919877892981086,,False,全格(沒有選擇軸),0,,
60,0.5,monthly,-0.01309008713490889,560,普通,11,11,-0.013317760201943954,-0.013338457753492598,0.00022767306703506442,,False,全格(沒有選擇軸),0,,
60,0.5,quarterly,-0.012605016096999044,188,普通,11,11,-0.013317760201943954,-0.013382555120575311,0.0007127441049449099,,False,全格(沒有選擇軸),0,,
60,0.75,monthly,-0.024661040033131965,560,普通,17,17,-0.01710824867187107,-0.016663966827091016,-0.007552791361260896,,False,全格(沒有選擇軸),0,,
60,0.75,quarterly,-0.02821726929394508,188,普通,17,17,-0.01710824867187107,-0.016454776870572597,-0.011109020622074011,,False,全格(沒有選擇軸),0,,
60,1.0,monthly,-0.0366192976516273,233,普通,11,11,-0.020812532862474087,-0.01937555424527834,-0.015806764789153216,,False,全格(沒有選擇軸),0,,
60,1.0,quarterly,-0.04440591125865789,109,普通,11,11,-0.020812532862474087,-0.01866768028100283,-0.023593378396183806,,False,全格(沒有選擇軸),0,,
120,0.5,monthly,-0.006743268259443269,560,孤峰,7,7,-0.013768728723160595,-0.01477236593226307,0.007025460463717326,,True,全格(沒有選擇軸),0,,
120,0.5,quarterly,-0.007744531318950143,188,普通,7,7,-0.013768728723160595,-0.014629328352333517,0.006024197404210452,,False,全格(沒有選擇軸),0,,
120,0.75,monthly,-0.0069997257819554015,560,普通,11,11,-0.017669932655921632,-0.018639951462645833,0.01067020687396623,,False,全格(沒有選擇軸),0,,
120,0.75,quarterly,-0.010088891865950966,188,普通,11,11,-0.017669932655921632,-0.0183591181822826,0.007581040789970666,,False,全格(沒有選擇軸),0,,
120,1.0,monthly,-0.0077949783087571944,191,普通,7,7,-0.02148203613259478,-0.023437330107428718,0.013687057823837584,,False,全格(沒有選擇軸),0,,
120,1.0,quarterly,-0.013069174866732425,91,普通,7,7,-0.02148203613259478,-0.0226838734562894,0.008412861265862354,,False,全格(沒有選擇軸),0,,
