lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,-0.0013367913367978712,560,普通,3,3,0.006778546997260382,0.009483659775279799,-0.008115338334058253,-0.1972091271681304,False,cadence=monthly,1,-0.013274366464185006,0.020052913461445387
10,0.5,quarterly,-0.014043979042782206,188,普通,3,3,-0.013274366464185006,-0.01301782893798594,-0.0007696125785972008,,False,cadence=quarterly,1,0.006778546997260382,-0.020052913461445387
10,0.75,monthly,0.0038820041948719464,560,普通,5,5,0.011051912388836774,0.01248589402762974,-0.007169908193964828,0.35125180677264956,False,cadence=monthly,1,-0.015911559965448945,0.02696347235428572
10,0.75,quarterly,-0.022089445120714313,188,普通,5,5,-0.015911559965448945,-0.01467598293439587,-0.0061778851552653676,,False,cadence=quarterly,1,0.011051912388836774,-0.02696347235428572
10,1.0,monthly,0.00850473263107654,178,山脊,3,3,0.01541827328403328,0.01772278683501886,-0.00691354065295674,0.5516008488371908,False,cadence=monthly,1,-0.01844372656534088,0.03386199984937416
10,1.0,quarterly,-0.030756031744161083,56,普通,3,3,-0.01844372656534088,-0.014339624839067477,-0.012312305178820204,,False,cadence=quarterly,1,0.01541827328403328,-0.03386199984937416
20,0.5,monthly,0.005975172533685402,560,普通,5,5,0.0016275307433241866,0.0007580023852519435,0.004347641790361216,3.671311622342247,False,cadence=monthly,1,-0.014002527330184403,0.01563005807350859
20,0.5,quarterly,-0.0076504744885479425,188,孤峰,5,5,-0.014002527330184403,-0.015272937898511696,0.006352052841636461,,True,cadence=quarterly,1,0.0016275307433241866,-0.01563005807350859
20,0.75,monthly,0.01859380259728205,560,普通,8,8,0.0041733257150032965,0.0023707661047184525,0.014420476882278753,4.455392142155711,False,cadence=monthly,1,-0.0169227922835053,0.0210961179985086
20,0.75,quarterly,-0.009313567204695561,188,普通,8,8,-0.0169227922835053,-0.01787394541835652,0.007609225078809741,,False,cadence=quarterly,1,0.0041733257150032965,-0.0210961179985086
20,1.0,monthly,0.03069255371290258,186,孤峰,5,5,0.006814358986597102,0.002038720041336006,0.02387819472630548,4.504099912151762,True,cadence=monthly,1,-0.019728238699061113,0.026542597685658215
20,1.0,quarterly,-0.011615862191792559,64,普通,5,5,-0.019728238699061113,-0.021350714000514824,0.008112376507268555,,False,cadence=quarterly,1,0.006814358986597102,-0.026542597685658215
40,0.5,monthly,-0.007964603681440474,560,普通,5,5,0.0007659629850868729,0.0025120763183923422,-0.008730566666527348,-10.398157399912943,False,cadence=monthly,1,-0.011904726405955265,0.012670689391042139
40,0.5,quarterly,-0.012241244825850872,188,普通,5,5,-0.011904726405955265,-0.011837422721976142,-0.00033651841989560706,,False,cadence=quarterly,1,0.0007659629850868729,-0.012670689391042139
40,0.75,monthly,-0.009384399847655933,560,普通,8,8,0.003019464755814827,0.004569947831248672,-0.01240386460347076,-3.107968003131561,False,cadence=monthly,1,-0.01417235491862671,0.017191819674441534
