lookback_days,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
10,0.5,monthly,3.3429874173355554,0.13472765479849835,-0.3436330887180097,0.7977272727272727,1.5365105790956344,0.8072771707618785,620.9613636363637,1.9093935700924458,-0.05494201214844252,-0.0037920300836213894,run-b92a5107f06c60e8,560,440,2929,2015-01-02,2026-08-26,False,0.3263
10,0.5,quarterly,2.8799449855022794,0.12377045614477722,-0.36272774366676586,0.8689655172413793,0.9894115731906797,0.6931171574334176,731.2413793103449,0.5678952690969944,-0.06589921080216365,-0.014749228737342523,run-d8088d15a7b396e3,188,145,2929,2015-01-02,2026-08-26,False,0.2458
10,0.75,monthly,3.4738761639627516,0.13763118428213006,-0.3382351954300953,0.8030973451327433,0.984092993207757,0.8426149510207162,635.0066371681415,3.705900150862369,-0.052038482664810815,-0.0008885005999896833,run-be7b2ce9ac168cd2,560,452,2929,2015-01-02,2026-08-26,False,0.2816
10,0.75,quarterly,2.5470076761232043,0.11512666177782727,-0.3785642664344617,0.8707482993197279,0.5741401996256833,0.6144953956844731,753.8027210884354,1.0595108508240552,-0.07454300516911361,-0.023393023104292476,run-422c7d4d440f486e,188,147,2929,2015-01-02,2026-08-26,False,0.243
10,1.0,monthly,3.5809691427498844,0.13994966418253107,-0.3377178960849885,0.584070796460177,2.383297880245337,0.8570341235034429,92.53982300884955,5.477971481046646,-0.0497200027644098,0.0014299793004113326,run-03dccb402bc3a688,178,113,2929,2015-01-02,2026-08-26,False,0.2699
10,1.0,quarterly,2.219703442329641,0.10587353356280027,-0.39470518808213484,0.7222222222222222,1.1616847686343788,0.5256901694800551,207.16666666666666,1.5324009495950113,-0.0837961333841406,-0.03264615131931947,run-e9157171175aac98,56,36,2929,2015-01-02,2026-08-26,False,0.2432
20,0.5,monthly,3.6725706465554655,0.1418937888132723,-0.3436330889036717,0.8105022831050228,1.3148552543098686,0.8608532389681901,605.445205479452,2.1281761359684084,-0.04777587813366857,0.003374103931152561,run-641e2b2b11143320,560,438,2929,2015-01-02,2026-08-26,False,0.2791
20,0.5,quarterly,3.137440737113173,0.1300024238406179,-0.36274003028213553,0.8689655172413793,1.4355080521009214,0.7455248236404537,693.2275862068966,0.6708520117585188,-0.05966724310632299,-0.008517261041501856,run-fe6c6bd5b6265849,188,145,2929,2015-01-02,2026-08-26,False,0.287
20,0.75,monthly,4.177109416457016,0.1520155385740909,-0.33823834003508924,0.8185840707964602,0.8789990419011202,0.9519652102178334,618.4867256637168,4.158857650985958,-0.03765412837284998,0.01349585369197115,run-efb6407950c1a267,560,452,2929,2015-01-02,2026-08-26,False,0.3064
20,0.75,quarterly,3.0354682537996265,0.12757803983635685,-0.3785768788710989,0.8698630136986302,0.8271511506827846,0.7171065340652623,706.1301369863014,1.2721686456407875,-0.062091627110584025,-0.010941645045762893,run-361813e6b23e36ba,188,146,2929,2015-01-02,2026-08-26,False,0.2481
20,1.0,monthly,4.699902934172495,0.16159348256677042,-0.33771789608498826,0.6153846153846154,2.1449793879984993,1.0222985914321554,89.37606837606837,6.17809619859553,-0.028076184380170455,0.023073797684650676,run-26184c78b2a6988b,186,117,2929,2015-01-02,2026-08-26,False,0.2918
20,1.0,quarterly,2.910293082168757,0.1245242726117457,-0.39470518808213495,0.775,1.2493398197095589,0.6746138661022539,172.35,1.8635417291935017,-0.06514539433519517,-0.013995412270374041,run-b1e036a0b3d50776,64,40,2929,2015-01-02,2026-08-26,False,0.2428
40,0.5,monthly,3.092712416799408,0.12894581396775484,-0.34363308890367195,0.8220720720720721,1.433177540055263,0.7465201645358265,673.2657657657658,1.2927411436759666,-0.06072385297918603,-0.009573870914364901,run-a345f543eb381ce8,560,444,2929,2015-01-02,2026-08-26,False,0.2794
40,0.5,quarterly,2.945287137946759,0.1253868810462646,-0.36272774366676575,0.852112676056338,0.8422754599951289,0.7060080752000849,693.2253521126761,0.6947198264979023,-0.06428278590067626,-0.013132803835855134,run-97d0d26d4f1bceed,188,142,2929,2015-01-02,2026-08-26,False,0.2626
40,0.75,monthly,2.9734422408571253,0.12607584684667894,-0.33823834003293085,0.8300653594771242,0.8297849273786606,0.7217683043363398,678.6688453159042,2.4574179993827583,-0.06359382010026193,-0.012443838035440802,run-c4dcd403a1e3f7f2,560,459,2929,2015-01-02,2026-08-26,False,0.2728
40,0.75,quarterly,2.6609037013086856,0.11816411608112198,-0.3785642664344617,0.8551724137931035,0.45545663091008526,0.6372057467787086,710.0896551724138,1.3219492492783504,-0.07150555086581889,-0.02035556880099776,run-c26840666a85daa1,188,145,2929,2015-01-02,2026-08-26,False,0.2466
40,1.0,monthly,2.8346087044741894,0.12263424899732045,-0.33771789608498837,0.5824175824175825,2.1595680958493917,0.6805839935479728,115.6043956043956,3.5830479928057506,-0.06703541794962042,-0.015885435884799293,run-7befbe401440ad8b,134,91,2929,2015-01-02,2026-08-26,False,0.3194
40,1.0,quarterly,2.3672764397298987,0.11014715431118582,-0.39470518808213484,0.7073170731707317,0.8396168097555096,0.5553365542479691,165.14634146341464,1.937835195115436,-0.07952251263575505,-0.028372530570933918,run-82e52b6051556de9,66,41,2929,2015-01-02,2026-08-26,False,0.2791
60,0.5,monthly,3.310729135682661,0.1339997872572405,-0.34363308890367195,0.8632286995515696,0.916741142045855,0.79302185712607,692.6255605381166,1.2010407438446664,-0.055669879689700386,-0.004519897624879254,run-f6e287b20e4ed4e0,560,446,2929,2015-01-02,2026-08-26,False,0.3043
60,0.5,quarterly,3.0469960253182222,0.1278549004938314,-0.36272774366676586,0.8251748251748252,1.314980138702829,0.7258638552488509,671.7762237762238,0.7348568348433535,-0.06181476645310946,-0.010664784388288329,run-c9214c7fa10aabc4,188,143,2929,2015-01-02,2026-08-26,False,0.4409
60,0.75,monthly,3.4074749598938627,0.13616804210565725,-0.33823834003293074,0.8698481561822126,0.5246281521984736,0.8157574403232297,697.0563991323211,2.281745309878699,-0.053501624841283624,-0.0023516427764624925,run-cf8ead5c3b810841,560,461,2929,2015-01-02,2026-08-26,False,0.2904
60,0.75,quarterly,2.8521939258011466,0.12307641579726503,-0.3785642664344616,0.8299319727891157,0.6583948007670481,0.6763593822913962,688.1020408163265,1.3897985160052555,-0.06659325114967585,-0.015443269084854716,run-245475d2366f65fd,188,147,2929,2015-01-02,2026-08-26,False,0.2749
60,1.0,monthly,3.4787172542781635,0.1377370793005399,-0.33771789608498837,0.6091954022988506,1.723201053875481,0.8198333342768536,127.83908045977012,3.3334160702568214,-0.05193258764640096,-0.0007826055815798316,run-dba987df37eb2578,126,87,2929,2015-01-02,2026-08-26,False,0.3026
60,1.0,quarterly,2.6348571938746033,0.11747718632551418,-0.39470518808213484,0.7073170731707317,0.9877402327843163,0.6124266798890993,165.14634146341464,2.0175434853822196,-0.07219248062142669,-0.02104249855660556,run-d1d041f2865ceb2c,66,41,2929,2015-01-02,2026-08-26,False,0.2466
120,0.5,monthly,3.1318874300395754,0.12987180817590693,-0.3436320368775634,0.8803611738148984,1.6130101949833988,0.7563356129861691,785.5711060948081,0.7596159111150026,-0.05979785877103394,-0.00864787670621281,run-0d51acfdd82ca947,560,443,2929,2015-01-02,2026-08-26,False,0.2874
120,0.5,quarterly,2.894562800495949,0.12413421822519788,-0.3431154899033112,0.9246575342465754,1.1326482538423737,0.7047786763267919,766.2123287671233,0.5543247627675172,-0.065535448721743,-0.014385466656921864,run-32857ff32e2cc8ef,188,146,2929,2015-01-02,2026-08-26,False,0.2891
120,0.75,monthly,3.051809509047641,0.1279702919087753,-0.3373218035416271,0.8903508771929824,0.7042455752112793,0.7436073020013876,798.1622807017544,1.3856363709233224,-0.06169937503816558,-0.010549392973344451,run-56db7d6d588c8919,560,456,2929,2015-01-02,2026-08-26,False,0.2997
120,0.75,quarterly,2.580266209992119,0.11602272963687033,-0.3370281370225092,0.9271523178807947,0.4417737233348952,0.6381255801512471,777.8609271523179,1.027523209704054,-0.07364693731007055,-0.022496955245249417,run-9990efb00bc1e946,188,151,2929,2015-01-02,2026-08-26,False,0.278
120,1.0,monthly,2.951016650175109,0.12552744770191437,-0.33098895488361113,0.5915492957746479,2.7834251783876387,0.7156019261512959,158.71830985915494,1.9751079490539565,-0.0641422192450265,-0.012992237180205368,run-28564e33b2618691,94,71,2929,2015-01-02,2026-08-26,False,0.3732
120,1.0,quarterly,2.2744981872716057,0.10748085892132697,-0.33098895488361124,0.7428571428571429,1.3337843598183163,0.5603754583388728,200.6,1.4825061618183162,-0.0821888080256139,-0.03103882596079277,run-0d9c4ebcafacda3b,54,35,2929,2015-01-02,2026-08-26,False,0.2547
