threshold,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
16.0,0.5,monthly,3.5659731560311707,0.13962801432897254,-0.3499495334067566,0.8903107861060329,2.716268002763365,0.8085794493790147,352.14808043875684,0.9197037813346141,-0.050041652617968335,0.001108329446852796,run-0987e23325ad92e7,560,547,2929,2015-01-02,2026-08-26,True,0.0513
16.0,0.5,quarterly,3.4732048156353033,0.13761649080126914,-0.3463961049566566,0.9207317073170732,1.474965027429384,0.7903596150087845,564.5426829268292,0.4185037314476472,-0.05205317614567173,-0.0009031940808506,run-f8ff5a1e19d1853d,188,164,2929,2015-01-02,2026-08-26,True,0.0187
16.0,0.75,monthly,3.71300212163818,0.14274083617571254,-0.34277261146327387,0.855595667870036,1.8630428112709765,0.840189225938857,258.2707581227437,2.1635305878663544,-0.046928830771228336,0.004221151293592795,run-42615264875e8453,560,554,2929,2015-01-02,2026-08-26,True,0.0211
16.0,0.75,quarterly,3.348248369330036,0.13484589266612823,-0.3435741715104167,0.9181286549707602,0.5473958427756412,0.7653834260942669,448.233918128655,0.9413763175263493,-0.05482377428081264,-0.0036737922159915115,run-341d3e636018ba08,188,171,2929,2015-01-02,2026-08-26,True,0.0194
16.0,1.0,monthly,3.8383897232876913,0.14532613589464205,-0.3355818780559867,0.6944444444444444,3.2174810213919853,0.8538751021612422,133.91203703703704,3.4011170527445436,-0.044343531052298824,0.006806451012522308,run-84c9142129cb4e81,269,216,2929,2015-01-02,2026-08-26,True,0.0181
16.0,1.0,quarterly,3.1962010273558725,0.1313747543607644,-0.3408229096214356,0.7808219178082192,1.1289339420147124,0.7229317062210873,194.1917808219178,1.4634631172045722,-0.05829491258617647,-0.007144930521355342,run-44fb014d64deaa75,101,73,2929,2015-01-02,2026-08-26,True,0.0177
18.0,0.5,monthly,3.28560866920749,0.13342951968363792,-0.34994953340675694,0.8623326959847036,1.6201881896118526,0.748057795165253,383.5621414913958,0.7387079679070956,-0.05624014726330295,-0.005090165198481822,run-fa714afe9cc06954,560,523,2929,2015-01-02,2026-08-26,True,0.0199
18.0,0.5,quarterly,3.270345693225119,0.13308153628212804,-0.3463946818505521,0.9375,4.273867348714817,0.7411562170014109,597.71875,0.4025054264674056,-0.05658813066481283,-0.005438148599991699,run-cd784e0dd0fd79a2,188,160,2929,2015-01-02,2026-08-26,True,0.0183
18.0,0.75,monthly,3.183152288906837,0.13107152858437332,-0.3427726114632741,0.8314814814814815,1.3191719281524599,0.7142794055853998,271.9685185185185,1.7120347201291763,-0.05859813836256755,-0.007448156297746422,run-60d83c6cd6ab51a3,560,540,2929,2015-01-02,2026-08-26,True,0.0201
18.0,0.75,quarterly,2.9983917501405664,0.12668265201995021,-0.3435722522669834,0.8839779005524862,1.4605603162941025,0.6675541236583071,450.8066298342541,0.9334767837824921,-0.06298701492699066,-0.011837032862169528,run-68d605c486cd5e07,188,181,2929,2015-01-02,2026-08-26,True,0.0176
18.0,1.0,monthly,3.0616586750899337,0.1282060114761019,-0.33558187805598694,0.6467065868263473,2.722007803341553,0.6664348405731064,129.9880239520958,2.676672203675416,-0.061463655470838985,-0.010313673406017854,run-6cf5ba42d8fe00a8,211,167,2929,2015-01-02,2026-08-26,True,0.0278
18.0,1.0,quarterly,2.712420008719966,0.1195097120903732,-0.3408229096214357,0.7543859649122807,2.1727163368662588,0.5831538953747589,192.43859649122808,1.457371535174359,-0.07015995485656767,-0.019009972791746543,run-ed7a8273b7b75fd8,82,57,2929,2015-01-02,2026-08-26,True,0.0228
20.0,0.5,monthly,3.2423690138703947,0.13244072899519566,-0.34990641953336377,0.8365019011406845,1.7517771993520237,0.7346132387230819,417.36692015209127,0.6073173982608371,-0.05722893795174522,-0.006078955886924087,run-7cd4236f14f39dbe,560,526,2929,2015-01-02,2026-08-26,True,0.0277
20.0,0.5,quarterly,3.291668716091907,0.13356736975438155,-0.3463946818505522,0.9371069182389937,9.430736523451685,0.7435143472741172,741.3270440251572,0.3697875937834068,-0.056102297192559325,-0.004952315127738194,run-605de1e3e2b44b3e,188,159,2929,2015-01-02,2026-08-26,True,0.019
20.0,0.75,monthly,3.082675620209808,0.12870726714312752,-0.3448854586551864,0.8391866913123844,0.9219348084707422,0.6805770336359339,316.5083179297597,1.378256909976219,-0.06096239980381335,-0.009812417738992218,run-504316ece0359301,560,541,2929,2015-01-02,2026-08-26,True,0.0219
20.0,0.75,quarterly,2.989004449482026,0.1264547475497071,-0.3435722522669832,0.8895027624309392,1.4866214151315555,0.6617279000963457,519.5524861878453,0.8493470666903525,-0.06321491939723378,-0.01206493733241265,run-275cde09d3b41eaa,188,181,2929,2015-01-02,2026-08-26,True,0.0217
20.0,1.0,monthly,2.9082340444048667,0.1244732975419407,-0.33984881172166614,0.6791044776119403,1.6799349278516003,0.6159304778357094,131.7910447761194,2.133644130103905,-0.06519636940500018,-0.014046387340179045,run-c94c0d3481c8b16b,169,134,2929,2015-01-02,2026-08-26,True,0.0218
20.0,1.0,quarterly,2.676839818958882,0.11858220328661795,-0.3408229096214356,0.74,2.4168893231640265,0.5707394220748995,203.14,1.3212209890936513,-0.07108746366032292,-0.019937481595501794,run-23d776fa7ada0168,72,50,2929,2015-01-02,2026-08-26,True,0.0187
22.0,0.5,monthly,3.1256948119544816,0.12972596635551525,-0.34990641953336366,0.903041825095057,0.7416108441607253,0.710896166899402,539.5019011406844,0.6644099159212117,-0.05994370059142562,-0.008793718526604488,run-83aa48fc0dde7f56,560,526,2929,2015-01-02,2026-08-26,True,0.0229
22.0,0.5,quarterly,3.1533201940148192,0.1303750318751753,-0.3463946818505522,0.9192546583850931,2.064649996378089,0.7157682231080128,734.8944099378882,0.3645470340595025,-0.05929463507176558,-0.008144653006944447,run-43bb67fe63d5293f,188,161,2929,2015-01-02,2026-08-26,True,0.0193
22.0,0.75,monthly,2.7816368140984733,0.12129102220690902,-0.3448854586551864,0.8927911275415896,0.5326156970012726,0.6178854895106073,387.9445471349353,1.5110964573629164,-0.06837864474003186,-0.017228662675210726,run-5ba1c2bbfa6ce5c1,560,541,2929,2015-01-02,2026-08-26,True,0.0206
22.0,0.75,quarterly,2.6572760772016757,0.11806871226920546,-0.3435722522669832,0.9060773480662984,0.6346257809956529,0.5920069383590202,507.50828729281767,0.8359422056510476,-0.07160095467773542,-0.020450972612914287,run-b26addc2846bea55,188,181,2929,2015-01-02,2026-08-26,True,0.0185
22.0,1.0,monthly,2.4465494845048914,0.1123726618285612,-0.33984881172166637,0.6495726495726496,1.8148494937774435,0.51974910625225,138.27350427350427,2.3434814609426016,-0.07729700511837967,-0.026147023053558538,run-a0e429ef9cc49073,154,117,2929,2015-01-02,2026-08-26,True,0.0174
22.0,1.0,quarterly,2.1927779023501768,0.10507452975385578,-0.3408229096214356,0.8043478260869565,0.9582641434415439,0.4655288136330449,204.5,1.2975882174411038,-0.08459513719308509,-0.03344515512826396,run-8ea21adc87a09d6b,68,46,2929,2015-01-02,2026-08-26,True,0.0162
25.0,0.5,monthly,3.4005452838928676,0.13601418861929782,-0.34990641953336366,0.8798283261802575,1.0918710731816077,0.757090915784863,575.9656652360514,0.5333580782641029,-0.05365547832764306,-0.002505496262821927,run-1d72204720f94860,560,466,2929,2015-01-02,2026-08-26,True,0.0203
25.0,0.5,quarterly,3.1562783344929786,0.13044430010627805,-0.3463946818505522,0.9530201342281879,6.011119538973699,0.7099978511464232,889.1208053691275,0.2568946390399004,-0.05922536684066282,-0.008075384775841687,run-b86b8f9b9bfeb804,188,149,2929,2015-01-02,2026-08-26,True,0.0175
25.0,0.75,monthly,3.4584256414788896,0.1372925144480479,-0.3448854586551864,0.8863198458574181,0.7800191238919378,0.7305972910498124,440.0211946050096,1.169019803451092,-0.052377152498892965,-0.0012271704340718337,run-84f11e108906719a,560,519,2929,2015-01-02,2026-08-26,True,0.0209
25.0,0.75,quarterly,2.758007187723155,0.1206862830275155,-0.3435722522669832,0.9352941176470588,0.7549853903133974,0.5980278564009099,619.3529411764706,0.5488227627652512,-0.06898338391942538,-0.017833401854604247,run-6caf6932589a5814,188,170,2929,2015-01-02,2026-08-26,True,0.0182
25.0,1.0,monthly,3.489524213835362,0.13797309607002628,-0.33984881172166637,0.6336633663366337,2.8622677036052573,0.6911011027338343,147.5049504950495,1.788577965908492,-0.051696570876914594,-0.0005465888120934626,run-9b98d0d48645157f,132,101,2929,2015-01-02,2026-08-26,True,0.018
25.0,1.0,quarterly,2.365656333460759,0.11010117417503751,-0.3408229096214356,0.7631578947368421,2.0260190247361813,0.4844827516364798,232.78947368421052,0.8290202648450634,-0.07956849277190337,-0.028418510707082234,run-d2bb7895b0fe5032,54,38,2929,2015-01-02,2026-08-26,True,0.0161
