threshold,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
0.9,0.5,monthly,-0.007701566008341931,560,普通,7,7,-0.01234130187710114,-0.013004121286923884,0.004639735868759209,,False,全格(沒有選擇軸),0,,
0.9,0.5,quarterly,-0.011886599996046687,188,普通,7,7,-0.01234130187710114,-0.012406259288680348,0.0004547018810544534,,False,全格(沒有選擇軸),0,,
0.9,0.75,monthly,-0.010538466387207457,560,普通,11,11,-0.016306142845295062,-0.01683047706875757,0.005767676458087605,,False,全格(沒有選擇軸),0,,
0.9,0.75,quarterly,-0.026355595164744283,188,普通,11,11,-0.016306142845295062,-0.015392556270799678,-0.010049452319449221,,False,全格(沒有選擇軸),0,,
0.9,1.0,monthly,-0.01393385729447072,250,普通,7,7,-0.020165982429835833,-0.021056286020602277,0.006232125135365113,,False,全格(沒有選擇軸),0,,
0.9,1.0,quarterly,-0.041452522298097705,94,普通,7,7,-0.020165982429835833,-0.01712504816294128,-0.021286539868261872,,False,全格(沒有選擇軸),0,,
0.95,0.5,monthly,-0.005002984315486625,560,普通,11,11,-0.010148571855666866,-0.010616352541137797,0.005145587540180241,,False,全格(沒有選擇軸),0,,
0.95,0.5,quarterly,-0.00975470438497883,188,普通,11,11,-0.010148571855666866,-0.010184377989365778,0.0003938674706880363,,False,全格(沒有選擇軸),0,,
0.95,0.75,monthly,-0.005943279518670019,560,普通,17,17,-0.013003940441261123,-0.01341927343670766,0.007060660922591104,,False,全格(沒有選擇軸),0,,
0.95,0.75,quarterly,-0.021547219241333293,188,普通,17,17,-0.013003940441261123,-0.012501394629492173,-0.00854327880007217,,False,全格(沒有選擇軸),0,,
0.95,1.0,monthly,-0.00747914939915173,196,普通,11,11,-0.015754214083427625,-0.01650649269108907,0.008275064684275895,,False,全格(沒有選擇軸),0,,
0.95,1.0,quarterly,-0.034077770135011454,68,普通,11,11,-0.015754214083427625,-0.014088436260556366,-0.01832355605158383,,False,全格(沒有選擇軸),0,,
1.0,0.5,monthly,-0.00519783722654088,560,普通,11,11,-0.0056048296147632,-0.00564182892278341,0.00040699238822231986,,False,全格(沒有選擇軸),0,,
1.0,0.5,quarterly,-0.005476667010173797,188,普通,11,11,-0.0056048296147632,-0.005616480760634964,0.0001281626045894031,,False,全格(沒有選擇軸),0,,
1.0,0.75,monthly,-0.004929957679818298,560,普通,17,17,-0.00638254189293783,-0.006467988023121331,0.0014525842131195323,,False,全格(沒有選擇軸),0,,
1.0,0.75,quarterly,-0.00744798533466029,188,普通,17,17,-0.00638254189293783,-0.006319868749307097,-0.00106544344172246,,False,全格(沒有選擇軸),0,,
1.0,1.0,monthly,-0.005275861830300821,112,普通,11,11,-0.007051787429040797,-0.007213235210744432,0.0017759255987399762,,False,全格(沒有選擇軸),0,,
1.0,1.0,quarterly,-0.010068904717665417,42,普通,11,11,-0.007051787429040797,-0.006777504039165832,-0.0030171172886246196,,False,全格(沒有選擇軸),0,,
1.05,0.5,monthly,-0.002573109245016747,560,普通,11,11,-0.0023156246764500974,-0.0022922169883985836,-0.0002574845685666496,,False,全格(沒有選擇軸),0,,
1.05,0.5,quarterly,-0.0022590027421944825,188,普通,11,11,-0.0023156246764500974,-0.0023207721250187896,5.66219342556149e-05,,False,全格(沒有選擇軸),0,,
1.05,0.75,monthly,0.0018818678163206037,560,普通,17,17,-0.0014131483897754772,-0.0016069728724870114,0.0032950162060960807,,False,全格(沒有選擇軸),0,,
1.05,0.75,quarterly,0.0009929235053942609,188,普通,17,17,-0.0014131483897754772,-0.0015546820306678148,0.002406071895169738,,False,全格(沒有選擇軸),0,,
1.05,1.0,monthly,0.005732508980028861,74,普通,11,11,-0.0004027652058996393,-0.0009605174046204121,0.0061352741859285005,,False,全格(沒有選擇軸),0,,
1.05,1.0,quarterly,0.0035413784063780263,36,普通,11,11,-0.0004027652058996393,-0.0007613237161066998,0.003944143612277666,,False,全格(沒有選擇軸),0,,
1.1,0.5,monthly,-0.0027913846044342883,560,普通,7,7,-0.0005918811082759878,-0.00027766632311051635,-0.0021995034961583004,,False,全格(沒有選擇軸),0,,
1.1,0.5,quarterly,-0.0023054877168027232,188,普通,7,7,-0.0005918811082759878,-0.0003470801642007399,-0.0017136066085267354,,False,全格(沒有選擇軸),0,,
1.1,0.75,monthly,0.0018133293396120909,560,普通,11,11,0.0010800452319334093,0.0010133830403262565,0.0007332841076786816,1.6789383314678552,False,全格(沒有選擇軸),0,,
1.1,0.75,quarterly,0.0005058147809133828,188,普通,11,11,0.0010800452319334093,0.0011322480002079573,-0.0005742304510200265,0.4683274051475736,False,全格(沒有選擇軸),0,,
1.1,1.0,monthly,0.005813209564769606,68,平原,7,7,0.002861190886456144,0.002439473932411364,0.0029520186783134617,2.0317447508613506,True,全格(沒有選擇軸),0,,
1.1,1.0,quarterly,0.002608494698232322,30,普通,7,7,0.002861190886456144,0.00289729034191669,-0.0002526961882238221,0.9116814647285522,False,全格(沒有選擇軸),0,,
