名稱,類別,段,起,訖,交易日,年化,SPY年化,年化超額,最大回撤,run_id
宏觀·VIX 水平開關·最優格,宏觀驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.1579877232819944,0.1160147813080945,0.04197294197389989,-0.2017587651635493,run-84c9142129cb4e81
宏觀·VIX 水平開關·最優格,宏觀驅動器,2020–2022,2020-01-02,2022-12-30,756,0.052872913969767454,0.07295060683819377,-0.02007769286842631,-0.3355818780559867,run-84c9142129cb4e81
宏觀·VIX 水平開關·最優格,宏觀驅動器,2023–2026,2023-01-03,2026-08-26,915,0.20892053020449297,0.22760393264787515,-0.01868340244338218,-0.13346100356422763,run-84c9142129cb4e81
宏觀·VIX 水平開關·鄰域平均最高,宏觀驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.13268562225681024,0.1160147813080945,0.016670840948715737,-0.2004952256923621,run-0987e23325ad92e7
宏觀·VIX 水平開關·鄰域平均最高,宏觀驅動器,2020–2022,2020-01-02,2022-12-30,756,0.05478207800782853,0.07295060683819377,-0.018168528830365238,-0.3499495334067566,run-0987e23325ad92e7
宏觀·VIX 水平開關·鄰域平均最高,宏觀驅動器,2023–2026,2023-01-03,2026-08-26,915,0.22551531453207918,0.22760393264787515,-0.0020886181157959705,-0.16227552252961397,run-0987e23325ad92e7
宏觀·VIX 期限結構開關·最優格,宏觀驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.13374575596601268,0.1160147813080945,0.017730974657918175,-0.22123020304230723,run-c7b65b53780666f0
宏觀·VIX 期限結構開關·最優格,宏觀驅動器,2020–2022,2020-01-02,2022-12-30,756,0.05633123666112683,0.07295060683819377,-0.01661937017706694,-0.33984881172166614,run-c7b65b53780666f0
宏觀·VIX 期限結構開關·最優格,宏觀驅動器,2023–2026,2023-01-03,2026-08-26,915,0.24298600870620857,0.22760393264787515,0.015382076058333416,-0.20992009412199708,run-c7b65b53780666f0
宏觀·信用利差變化方向·最優格,宏觀驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.11000906908773045,0.1160147813080945,-0.006005712220364057,-0.2017587651635494,run-13a0e8b55e06d0e5
宏觀·信用利差變化方向·最優格,宏觀驅動器,2020–2022,2020-01-02,2022-12-30,756,0.07401194684650259,0.07295060683819377,0.0010613400083088198,-0.3355818780559868,run-13a0e8b55e06d0e5
宏觀·信用利差變化方向·最優格,宏觀驅動器,2023–2026,2023-01-03,2026-08-26,915,0.21983482716464064,0.22760393264787515,-0.007769105483234506,-0.16413344365479376,run-13a0e8b55e06d0e5
宏觀·信用利差變化方向·鄰域平均最高,宏觀驅動器,2015–2019,2015-01-02,2019-12-31,1258,0.12351923100064766,0.1160147813080945,0.00750444969255315,-0.2012737288042623,run-cec29ea1e5a7ed63
