lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,-0.0064753087229227,560,普通,3,3,-0.00700308524105075,-0.007179010747093433,0.0005277765181280498,,True,cadence=monthly,1,-0.0216667524130359,0.014663667171985152
10,0.5,quarterly,-0.0140180273171217,188,孤峰,3,3,-0.0216667524130359,-0.0242163274450073,0.007648725095914202,,True,cadence=quarterly,1,-0.00700308524105075,-0.014663667171985152
10,0.75,monthly,-0.0070670043468048,560,普通,5,5,-0.006959869716488767,-0.00693844279042556,-0.00010713463031603292,,False,cadence=monthly,1,-0.029350962698362817,0.02239109298187405
10,0.75,quarterly,-0.0294121621910365,188,普通,5,5,-0.029350962698362817,-0.029338722799828083,-6.119949267368446e-05,,False,cadence=quarterly,1,-0.006959869716488767,-0.02239109298187405
10,1.0,monthly,-0.008172873270215,300,普通,3,3,-0.006831379493054775,-0.006384214900668033,-0.001341493777160225,,False,cadence=monthly,1,-0.0369617990955281,0.030130419602473327
10,1.0,quarterly,-0.0453376737525681,100,普通,3,3,-0.0369617990955281,-0.034169840876514763,-0.008375874657039997,,False,cadence=quarterly,1,-0.006831379493054775,-0.030130419602473327
20,0.5,monthly,-0.0079583916037908,560,普通,5,5,-0.006860535231697467,-0.0066409639572788,-0.001097856372093334,,False,cadence=monthly,1,-0.0205299053107007,0.013669370079003231
20,0.5,quarterly,-0.0142405524909428,188,普通,5,5,-0.0205299053107007,-0.02178777587465228,0.0062893528197578985,,False,cadence=quarterly,1,-0.006860535231697467,-0.013669370079003231
20,0.75,monthly,-0.0065116362906847,560,普通,8,8,-0.006943090784056689,-0.006997022595728188,0.0004314544933719895,,False,cadence=monthly,1,-0.027920717961690957,0.020977627177634267
20,0.75,quarterly,-0.0289962676530426,188,普通,8,8,-0.027920717961690957,-0.027786274250272,-0.0010755496913516412,,False,cadence=quarterly,1,-0.006943090784056689,-0.020977627177634267
20,1.0,monthly,-0.0055740040645146,287,普通,5,5,-0.006943929277318133,-0.00721791431987884,0.0013699252128035327,,True,cadence=monthly,1,-0.03523387399655888,0.02828994471924075
20,1.0,quarterly,-0.0441010927854652,105,普通,5,5,-0.03523387399655888,-0.03346043023877762,-0.008867218788906318,,False,cadence=quarterly,1,-0.006943929277318133,-0.02828994471924075
40,0.5,monthly,-0.0063905410658879,560,普通,5,5,-0.010895337581416331,-0.01179629688452202,0.004504796515528432,,True,cadence=monthly,1,-0.02009525462449833,0.009199917043082
40,0.5,quarterly,-0.0116246378678008,188,孤峰,5,5,-0.02009525462449833,-0.02178937797583784,0.008470616756697531,,True,cadence=quarterly,1,-0.010895337581416331,-0.009199917043082
40,0.75,monthly,-0.0067603293600939,560,普通,8,8,-0.012793672837359523,-0.013547840772017726,0.006033343477265623,,False,cadence=monthly,1,-0.02752742167156601,0.014733748834206488
40,0.75,quarterly,-0.0248877843442598,188,普通,8,8,-0.02752742167156601,-0.027857376337479287,0.00263963732730621,,False,cadence=quarterly,1,-0.012793672837359523,-0.014733748834206488
40,1.0,monthly,-0.0075777283315958,255,普通,5,5,-0.014617339288608033,-0.01602526148001048,0.007039610957012233,,False,cadence=monthly,1,-0.03487943143139192,0.020262092142783884
40,1.0,quarterly,-0.0386682632529811,111,普通,5,5,-0.03487943143139192,-0.03412166506707408,-0.003788831821589185,,False,cadence=quarterly,1,-0.014617339288608033,-0.020262092142783884
60,0.5,monthly,-0.0130900871349088,560,普通,5,5,-0.010774165272570184,-0.010310980900102459,-0.0023159218623386157,,False,cadence=monthly,1,-0.0158613551313176,0.005087189858747416
60,0.5,quarterly,-0.012605016096999,188,普通,5,5,-0.0158613551313176,-0.016512622938181322,0.0032563390343186005,,False,cadence=quarterly,1,-0.010774165272570184,-0.005087189858747416
60,0.75,monthly,-0.0246610400331319,560,普通,8,8,-0.0129596662141557,-0.011496994486783676,-0.011701373818976199,,False,cadence=monthly,1,-0.021256831129586325,0.008297164915430625
60,0.75,quarterly,-0.028217269293945,188,普通,8,8,-0.021256831129586325,-0.02038677635904149,-0.006960438164358675,,False,cadence=quarterly,1,-0.0129596662141557,-0.008297164915430625
60,1.0,monthly,-0.0366192976516273,233,普通,5,5,-0.015068849911193567,-0.01075876036310682,-0.021550447740433736,,False,cadence=monthly,1,-0.026556215813754502,0.011487365902560935
60,1.0,quarterly,-0.0444059112586578,109,普通,5,5,-0.026556215813754502,-0.02298627672477384,-0.0178496954449033,,False,cadence=quarterly,1,-0.015068849911193567,-0.011487365902560935
120,0.5,monthly,-0.0067432682594432,560,孤峰,3,3,-0.012873530302359824,-0.014916950983332032,0.006130262042916624,,True,cadence=monthly,1,-0.01466392714396125,0.0017903968416014254
120,0.5,quarterly,-0.0077445313189501,188,孤峰,3,3,-0.01466392714396125,-0.016970392418964964,0.00691939582501115,,True,cadence=quarterly,1,-0.012873530302359824,-0.0017903968416014254
120,0.75,monthly,-0.0069997257819554,560,普通,5,5,-0.015984732861637284,-0.01778173427757366,0.008985007079681884,,False,cadence=monthly,1,-0.019355132450205866,0.0033703995885685824
120,0.75,quarterly,-0.0100888918659509,188,普通,5,5,-0.019355132450205866,-0.021208380567056862,0.009266240584254966,,False,cadence=quarterly,1,-0.015984732861637284,-0.0033703995885685824
120,1.0,monthly,-0.0077949783087571,191,普通,3,3,-0.019018760443867924,-0.022760021155571533,0.011223782135110823,,False,cadence=monthly,1,-0.023945311821321525,0.004926551377453601
120,1.0,quarterly,-0.0130691748667324,91,普通,3,3,-0.023945311821321525,-0.02757069080618457,0.010876136954589125,,False,cadence=quarterly,1,-0.019018760443867924,-0.004926551377453601
