lookback_days,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
20,1.0,monthly,cadence=monthly,-0.0055740040645146,孤峰,普通,是,11,-0.02108890163693851,0.01551489757242391,5,-0.006943929277318133,0.0013699252128035327,-0.03523387399655888,0.02828994471924075,287
40,0.5,monthly,cadence=monthly,-0.0063905410658879,孤峰,普通,是,11,-0.015495296102957334,0.009104755037069433,5,-0.010895337581416331,0.004504796515528432,-0.02009525462449833,0.009199917043082,560
10,0.5,monthly,cadence=monthly,-0.0064753087229227,孤峰,普通,是,7,-0.014334918827043325,0.007859610104120625,3,-0.00700308524105075,0.0005277765181280498,-0.0216667524130359,0.014663667171985152,560
20,0.75,monthly,cadence=monthly,-0.0065116362906847,普通,普通,,17,-0.017431904372873824,0.010920268082189124,8,-0.006943090784056689,0.0004314544933719895,-0.027920717961690957,0.020977627177634267,560
120,0.5,monthly,cadence=monthly,-0.0067432682594432,孤峰,孤峰,,7,-0.013768728723160538,0.007025460463717338,3,-0.012873530302359824,0.006130262042916624,-0.01466392714396125,0.0017903968416014254,560
40,0.75,monthly,cadence=monthly,-0.0067603293600939,普通,普通,,17,-0.020160547254462768,0.013400217894368868,8,-0.012793672837359523,0.006033343477265623,-0.02752742167156601,0.014733748834206488,560
120,0.75,monthly,cadence=monthly,-0.0069997257819554,普通,普通,,11,-0.017669932655921577,0.010670206873966177,5,-0.015984732861637284,0.008985007079681884,-0.019355132450205866,0.0033703995885685824,560
10,0.75,monthly,cadence=monthly,-0.0070670043468048,普通,普通,,11,-0.018155416207425792,0.011088411860620992,5,-0.006959869716488767,-0.00010713463031603292,-0.029350962698362817,0.02239109298187405,560
40,1.0,monthly,cadence=monthly,-0.0075777283315958,普通,普通,,11,-0.024748385359999975,0.017170657028404174,5,-0.014617339288608033,0.007039610957012233,-0.03487943143139192,0.020262092142783884,255
120,0.5,quarterly,cadence=quarterly,-0.0077445313189501,普通,孤峰,是,7,-0.013768728723160538,0.006024197404210438,3,-0.01466392714396125,0.00691939582501115,-0.012873530302359824,-0.0017903968416014254,188
120,1.0,monthly,cadence=monthly,-0.0077949783087571,普通,普通,,7,-0.021482036132594726,0.013687057823837626,3,-0.019018760443867924,0.011223782135110823,-0.023945311821321525,0.004926551377453601,191
20,0.5,monthly,cadence=monthly,-0.0079583916037908,普通,普通,,11,-0.013695220271199083,0.0057368286674082825,5,-0.006860535231697467,-0.001097856372093334,-0.0205299053107007,0.013669370079003231,560
10,1.0,monthly,cadence=monthly,-0.008172873270215,普通,普通,,7,-0.021896589294291436,0.013723716024076436,3,-0.006831379493054775,-0.001341493777160225,-0.0369617990955281,0.030130419602473327,300
120,0.75,quarterly,cadence=quarterly,-0.0100888918659509,普通,普通,,11,-0.017669932655921577,0.007581040789970676,5,-0.019355132450205866,0.009266240584254966,-0.015984732861637284,-0.0033703995885685824,188
40,0.5,quarterly,cadence=quarterly,-0.0116246378678008,普通,孤峰,是,11,-0.015495296102957334,0.003870658235156534,5,-0.02009525462449833,0.008470616756697531,-0.010895337581416331,-0.009199917043082,188
60,0.5,quarterly,cadence=quarterly,-0.012605016096999,普通,普通,,11,-0.013317760201943892,0.0007127441049448926,5,-0.0158613551313176,0.0032563390343186005,-0.010774165272570184,-0.005087189858747416,188
120,1.0,quarterly,cadence=quarterly,-0.0130691748667324,普通,普通,,7,-0.021482036132594726,0.008412861265862326,3,-0.023945311821321525,0.010876136954589125,-0.019018760443867924,-0.004926551377453601,91
60,0.5,monthly,cadence=monthly,-0.0130900871349088,普通,普通,,11,-0.013317760201943892,0.00022767306703509217,5,-0.010774165272570184,-0.0023159218623386157,-0.0158613551313176,0.005087189858747416,560
10,0.5,quarterly,cadence=quarterly,-0.0140180273171217,普通,孤峰,是,7,-0.014334918827043325,0.00031689150992162546,3,-0.0216667524130359,0.007648725095914202,-0.00700308524105075,-0.014663667171985152,188
20,0.5,quarterly,cadence=quarterly,-0.0142405524909428,普通,普通,,11,-0.013695220271199083,-0.0005453322197437171,5,-0.0205299053107007,0.0062893528197578985,-0.006860535231697467,-0.013669370079003231,188
60,0.75,monthly,cadence=monthly,-0.0246610400331319,普通,普通,,17,-0.01710824867187101,-0.007552791361260889,8,-0.0129596662141557,-0.011701373818976199,-0.021256831129586325,0.008297164915430625,560
40,0.75,quarterly,cadence=quarterly,-0.0248877843442598,普通,普通,,17,-0.020160547254462768,-0.004727237089797033,8,-0.02752742167156601,0.00263963732730621,-0.012793672837359523,-0.014733748834206488,188
60,0.75,quarterly,cadence=quarterly,-0.028217269293945,普通,普通,,17,-0.01710824867187101,-0.01110902062207399,8,-0.021256831129586325,-0.006960438164358675,-0.0129596662141557,-0.008297164915430625,188
20,0.75,quarterly,cadence=quarterly,-0.0289962676530426,普通,普通,,17,-0.017431904372873824,-0.011564363280168775,8,-0.027920717961690957,-0.0010755496913516412,-0.006943090784056689,-0.020977627177634267,188
10,0.75,quarterly,cadence=quarterly,-0.0294121621910365,普通,普通,,11,-0.018155416207425792,-0.011256745983610709,5,-0.029350962698362817,-6.119949267368446e-05,-0.006959869716488767,-0.02239109298187405,188
60,1.0,monthly,cadence=monthly,-0.0366192976516273,普通,普通,,11,-0.020812532862474035,-0.015806764789153268,5,-0.015068849911193567,-0.021550447740433736,-0.026556215813754502,0.011487365902560935,233
40,1.0,quarterly,cadence=quarterly,-0.0386682632529811,普通,普通,,11,-0.024748385359999975,-0.013919877892981127,5,-0.03487943143139192,-0.003788831821589185,-0.014617339288608033,-0.020262092142783884,111
20,1.0,quarterly,cadence=quarterly,-0.0441010927854652,普通,普通,,11,-0.02108890163693851,-0.023012191148526692,5,-0.03523387399655888,-0.008867218788906318,-0.006943929277318133,-0.02828994471924075,105
60,1.0,quarterly,cadence=quarterly,-0.0444059112586578,普通,普通,,11,-0.020812532862474035,-0.023593378396183768,5,-0.026556215813754502,-0.0178496954449033,-0.015068849911193567,-0.011487365902560935,109
10,1.0,quarterly,cadence=quarterly,-0.0453376737525681,普通,普通,,7,-0.021896589294291436,-0.023441084458276664,3,-0.0369617990955281,-0.008375874657039997,-0.006831379493054775,-0.030130419602473327,100
