lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,-0.0004978787955365,560,普通,3,3,0.011311826348364175,0.015248394729664399,-0.011809705143900675,-0.04401400624475633,False,cadence=monthly,1,-0.0036228391406539747,0.014934665489018149
10,0.5,quarterly,-0.0038415904568798,188,普通,3,3,-0.0036228391406539747,-0.0035499220352453666,-0.00021875131622582514,,False,cadence=quarterly,1,0.011311826348364175,-0.014934665489018149
10,0.75,monthly,0.0057280250499436,560,普通,5,5,0.01721322743539115,0.019510267912480662,-0.011485202385447552,0.3327688007053534,False,cadence=monthly,1,-0.0030628687094967836,0.020276096144887935
10,0.75,quarterly,-0.001740984276433,188,普通,5,5,-0.0030628687094967836,-0.0033272455961095397,0.0013218844330637836,,False,cadence=quarterly,1,0.01721322743539115,-0.020276096144887935
10,1.0,monthly,0.011390779139083,174,普通,3,3,0.023189763483238552,0.027122758264623736,-0.011798984344155551,0.4911985905900334,False,cadence=monthly,1,-0.002384028907327425,0.025573792390565977
10,1.0,quarterly,-0.0004268852546234,60,普通,3,3,-0.002384028907327425,-0.0030364101248954336,0.0019571436527040247,,True,cadence=quarterly,1,0.023189763483238552,-0.025573792390565977
20,0.5,monthly,0.0110181894749292,560,普通,5,5,0.0115308473818027,0.0116333789631774,-0.0005126579068734996,0.955540309406701,False,cadence=monthly,1,-0.0017164115524226332,0.013247258934225332
20,0.5,quarterly,-0.0049995061707912,188,普通,5,5,-0.0017164115524226332,-0.00105979262874892,-0.0032830946183685667,,False,cadence=quarterly,1,0.0115308473818027,-0.013247258934225332
20,0.75,monthly,0.0289989696641204,560,普通,8,8,0.017498561924044823,0.016061010956535376,0.011500407740075578,1.6572201641480513,False,cadence=monthly,1,-0.0005545711938959777,0.018053133117940802
20,0.75,quarterly,-0.0039092756585119,188,普通,8,8,-0.0005545711938959777,-0.00013523313581898744,-0.003354704464615922,,False,cadence=quarterly,1,0.017498561924044823,-0.018053133117940802
20,1.0,monthly,0.0466412800798072,174,孤峰,5,5,0.02354317569061665,0.01892355481277854,0.023098104389190553,1.981095528178746,True,cadence=monthly,1,0.0007346850423572333,0.022808490648259416
20,1.0,quarterly,-0.0034589704397414,70,普通,5,5,0.0007346850423572333,0.0015734161387769602,-0.004193655482098633,-4.708099716639542,False,cadence=quarterly,1,0.02354317569061665,-0.022808490648259416
40,0.5,monthly,0.0057076924933108,560,普通,5,5,0.0148142667949663,0.0166355816552974,-0.009106574301655502,0.3852834954511688,False,cadence=monthly,1,0.0014061469390017666,0.013408119855964535
40,0.5,quarterly,-0.0005581543715362,188,普通,5,5,0.0014061469390017666,0.00179900720110936,-0.0019643013105379668,-0.3969388660991842,False,cadence=quarterly,1,0.0148142667949663,-0.013408119855964535
40,0.75,monthly,0.0182300864040487,560,普通,8,8,0.021901326413771845,0.022360231414987237,-0.003671240009723145,0.8323736224754579,False,cadence=monthly,1,0.0035995135219639893,0.018301812891807857
40,0.75,quarterly,0.0047510416196163,188,普通,8,8,0.0035995135219639893,0.00345557250975745,0.001151528097652311,1.3199121466347505,False,cadence=quarterly,1,0.021901326413771845,-0.018301812891807857
40,1.0,monthly,0.030269913806697,142,普通,5,5,0.029059420307173785,0.02881732160726914,0.0012104934995232144,1.0416558034099663,False,cadence=monthly,1,0.005922952843277383,0.0231364674638964
40,1.0,quarterly,0.0091931842638368,70,普通,5,5,0.005922952843277383,0.0052689065591655,0.0032702314205594165,1.5521285593673373,False,cadence=quarterly,1,0.029059420307173785,-0.0231364674638964
60,0.5,monthly,0.0060295339126639,560,普通,5,5,0.0079840731228963,0.008374980964942779,-0.0019545392102324,0.7551952267787633,False,cadence=monthly,1,0.0009256396274508833,0.007058433495445417
60,0.5,quarterly,0.002415565180339,188,普通,5,5,0.0009256396274508833,0.0006276545168732599,0.0014899255528881168,2.609617294574152,False,cadence=quarterly,1,0.0079840731228963,-0.007058433495445417
60,0.75,monthly,0.0189011288207248,560,普通,8,8,0.012734431247071212,0.011963594050364512,0.006166697573653589,1.4842538668597285,False,cadence=monthly,1,0.002926150886674689,0.009808280360396522
60,0.75,quarterly,0.0107372110348946,188,普通,8,8,0.002926150886674689,0.0019497683681472,0.00781106014821991,3.6693975979811784,False,cadence=quarterly,1,0.012734431247071212,-0.009808280360396522
60,1.0,monthly,0.0313151430676446,118,孤峰,5,5,0.017570804833174816,0.014821937186280859,0.013744338234469786,1.7822258778106501,True,cadence=monthly,1,0.00506477234954655,0.012506032483628266
60,1.0,quarterly,0.0182245262395699,60,孤峰,5,5,0.00506477234954655,0.00243282157154188,0.01315975389002335,3.5982912916513503,True,cadence=quarterly,1,0.017570804833174816,-0.012506032483628266
120,0.5,monthly,-0.0025521741813827,560,普通,3,3,0.005991664960004575,0.008839611340467,-0.008543839141387274,-0.4259540876232091,False,cadence=monthly,1,0.00034023762915629983,0.005651427330848275
120,0.5,quarterly,-0.0059106869260099,188,普通,3,3,0.00034023762915629983,0.0024238791475450334,-0.0062509245551662,-17.372231697789733,False,cadence=quarterly,1,0.005991664960004575,-0.005651427330848275
120,0.75,monthly,0.0015881712880123,560,普通,5,5,0.010067031419930735,0.011762803446314422,-0.008478860131918436,0.15775964351000576,False,cadence=monthly,1,0.0021582144113592165,0.007908817008571519
