lookback_days,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
20,1.0,monthly,cadence=monthly,0.0466412800798072,孤峰,孤峰,,11,0.012138930366486942,0.03450234971332026,5,0.02354317569061665,0.023098104389190553,0.0007346850423572333,0.022808490648259416,174
60,1.0,monthly,cadence=monthly,0.0313151430676446,孤峰,孤峰,,11,0.011317788591360683,0.019997354476283917,5,0.017570804833174816,0.013744338234469786,0.00506477234954655,0.012506032483628266,118
40,1.0,monthly,cadence=monthly,0.030269913806697,普通,普通,,11,0.017491186575225585,0.012778727231471415,5,0.029059420307173785,0.0012104934995232144,0.005922952843277383,0.0231364674638964,142
20,0.75,monthly,cadence=monthly,0.0289989696641204,普通,普通,,17,0.008471995365074422,0.02052697429904598,8,0.017498561924044823,0.011500407740075578,-0.0005545711938959777,0.018053133117940802,560
60,0.75,monthly,cadence=monthly,0.0189011288207248,普通,普通,,17,0.00783029106687295,0.01107083775385185,8,0.012734431247071212,0.006166697573653589,0.002926150886674689,0.009808280360396522,560
40,0.75,monthly,cadence=monthly,0.0182300864040487,普通,普通,,17,0.012750419967867917,0.0054796664361807836,8,0.021901326413771845,-0.003671240009723145,0.0035995135219639893,0.018301812891807857,560
60,1.0,quarterly,cadence=quarterly,0.0182245262395699,普通,孤峰,是,11,0.011317788591360683,0.006906737648209217,5,0.00506477234954655,0.01315975389002335,0.017570804833174816,-0.012506032483628266,60
10,1.0,monthly,cadence=monthly,0.011390779139083,普通,普通,,7,0.010402867287955564,0.000987911851127437,3,0.023189763483238552,-0.011798984344155551,-0.002384028907327425,0.025573792390565977,174
20,0.5,monthly,cadence=monthly,0.0110181894749292,普通,普通,,11,0.004907217914690033,0.0061109715602391665,5,0.0115308473818027,-0.0005126579068734996,-0.0017164115524226332,0.013247258934225332,560
60,0.75,quarterly,cadence=quarterly,0.0107372110348946,普通,普通,,17,0.00783029106687295,0.00290691996802165,8,0.002926150886674689,0.00781106014821991,0.012734431247071212,-0.009808280360396522,188
40,1.0,quarterly,cadence=quarterly,0.0091931842638368,普通,普通,,11,0.017491186575225585,-0.008298002311388785,5,0.005922952843277383,0.0032702314205594165,0.029059420307173785,-0.0231364674638964,70
60,0.5,monthly,cadence=monthly,0.0060295339126639,普通,普通,,11,0.004454856375173592,0.0015746775374903084,5,0.0079840731228963,-0.0019545392102324,0.0009256396274508833,0.007058433495445417,560
10,0.75,monthly,cadence=monthly,0.0057280250499436,普通,普通,,11,0.007075179362947184,-0.0013471543130035837,5,0.01721322743539115,-0.011485202385447552,-0.0030628687094967836,0.020276096144887935,560
40,0.5,monthly,cadence=monthly,0.0057076924933108,普通,普通,,11,0.008110206866984033,-0.0024025143736732335,5,0.0148142667949663,-0.009106574301655502,0.0014061469390017666,0.013408119855964535,560
120,1.0,monthly,cadence=monthly,0.0051203856119215,普通,普通,,7,0.009171154625266175,-0.004050769013344674,3,0.014231207197075801,-0.009110821585154302,0.00411110205345655,0.010120105143619251,86
40,0.75,quarterly,cadence=quarterly,0.0047510416196163,普通,普通,,17,0.012750419967867917,-0.007999378348251616,8,0.0035995135219639893,0.001151528097652311,0.021901326413771845,-0.018301812891807857,188
