lookback_days,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
10,0.5,monthly,-0.0037920300836213,560,普通,3,3,0.003047356734878175,0.005327152341044666,-0.006839386818499475,-1.244366975556242,False,cadence=monthly,1,-0.014400289482224875,0.017447646217103048
10,0.5,quarterly,-0.0147492287373425,188,普通,3,3,-0.014400289482224875,-0.014283976397185668,-0.00034893925511762444,,False,cadence=quarterly,1,0.003047356734878175,-0.017447646217103048
10,0.75,monthly,-0.0008885005999896,560,普通,5,5,0.0061155339874291,0.00751634090491284,-0.0070040345874187,-0.14528585759084553,False,cadence=monthly,1,-0.017373786919765485,0.023489320907194584
10,0.75,quarterly,-0.0233930231042924,188,普通,5,5,-0.017373786919765485,-0.016169939682860103,-0.006019236184526915,,False,cadence=quarterly,1,0.0061155339874291,-0.023489320907194584
10,1.0,monthly,0.0014299793004113,178,普通,3,3,0.00927778251926085,0.011893716925544034,-0.00784780321884955,0.1541294266644682,False,cadence=monthly,1,-0.02024405793493715,0.029521840454198
10,1.0,quarterly,-0.0326461513193194,56,普通,3,3,-0.02024405793493715,-0.016110026806809733,-0.012402093384382251,,False,cadence=quarterly,1,0.00927778251926085,-0.029521840454198
20,0.5,monthly,0.0033741039311525,560,普通,5,5,-0.0016380470017155,-0.0026404771882890996,0.005012150932868,,False,cadence=monthly,1,-0.015181588427625382,0.013543541425909883
20,0.5,quarterly,-0.0085172610415018,188,孤峰,5,5,-0.015181588427625382,-0.0165144539048501,0.006664327386123582,,True,cadence=quarterly,1,-0.0016380470017155,-0.013543541425909883
20,0.75,monthly,0.0134958536919711,560,普通,8,8,-0.00013443787889225536,-0.0018382243252501747,0.013630291570863356,,False,cadence=monthly,1,-0.018455958302931067,0.018321520424038812
20,0.75,quarterly,-0.0109416450457628,188,普通,8,8,-0.018455958302931067,-0.0193952474600771,0.0075143132571682675,,False,cadence=quarterly,1,-0.00013443787889225536,-0.018321520424038812
20,1.0,monthly,0.0230737976846506,186,孤峰,5,5,0.001463642692800567,-0.00285838830556944,0.021610154991850032,15.764638322007864,True,cadence=monthly,1,-0.021617388518613365,0.023081031211413933
20,1.0,quarterly,-0.013995412270374,64,普通,5,5,-0.021617388518613365,-0.02314178376826124,0.007621976248239366,,False,cadence=quarterly,1,0.001463642692800567,-0.023081031211413933
40,0.5,monthly,-0.0095738709143649,560,普通,5,5,-0.0020032152880039497,-0.0004890841627317599,-0.00757065562636095,,False,cadence=monthly,1,-0.013175888699543399,0.01117267341153945
40,0.5,quarterly,-0.0131328038358551,188,普通,5,5,-0.013175888699543399,-0.01318450567228106,4.308486368829849e-05,,False,cadence=quarterly,1,-0.0020032152880039497,-0.01117267341153945
40,0.75,monthly,-0.0124438380354408,560,普通,8,8,-0.0006237261677502331,0.0008537878157110878,-0.011820111867690566,,False,cadence=monthly,1,-0.015829530399463755,0.015205804231713521
40,0.75,quarterly,-0.0203555688009977,188,普通,8,8,-0.015829530399463755,-0.015263775599272012,-0.004526038401533945,,False,cadence=quarterly,1,-0.0006237261677502331,-0.015205804231713521
40,1.0,monthly,-0.0158854358847992,134,普通,5,5,0.0008510215163899169,0.00419831299662774,-0.016736457401189116,-18.666315221013623,False,cadence=monthly,1,-0.018358487388254765,0.019209508904644682
40,1.0,quarterly,-0.0283725305709339,66,普通,5,5,-0.018358487388254765,-0.016355678751718943,-0.010014043182679136,,False,cadence=quarterly,1,0.0008510215163899169,-0.019209508904644682
60,0.5,monthly,-0.0045198976248792,560,普通,5,5,-0.00801441983845075,-0.00871332428116506,0.00349452221357155,,False,cadence=monthly,1,-0.016079808002027834,0.008065388163577084
60,0.5,quarterly,-0.0106647843882883,188,孤峰,5,5,-0.016079808002027834,-0.01716281272477574,0.005415023613739535,,True,cadence=quarterly,1,-0.00801441983845075,-0.008065388163577084
60,0.75,monthly,-0.0023516427764624,560,普通,8,8,-0.008638533075254312,-0.0094243943626033,0.006286890298791911,,False,cadence=monthly,1,-0.019659189233388788,0.011020656158134476
60,0.75,quarterly,-0.0154432690848547,188,普通,8,8,-0.019659189233388788,-0.02018617925195555,0.0042159201485340875,,False,cadence=quarterly,1,-0.008638533075254312,-0.011020656158134476
60,1.0,monthly,-0.0007826055815798,126,孤峰,5,5,-0.009167525405305316,-0.01084450937005042,0.008384919823725516,,True,cadence=monthly,1,-0.023124941369905647,0.013957415964600331
60,1.0,quarterly,-0.0210424985566055,66,普通,5,5,-0.023124941369905647,-0.02354142993256568,0.0020824428133001463,,False,cadence=quarterly,1,-0.009167525405305316,-0.013957415964600331
120,0.5,monthly,-0.0086478767062128,560,普通,3,3,-0.0065172025202247,-0.0058069777915620005,-0.0021306741859881007,,False,cadence=monthly,1,-0.01574761884382855,0.00923041632360385
120,0.5,quarterly,-0.0143854666569218,188,普通,3,3,-0.01574761884382855,-0.016201669572797468,0.0013621521869067506,,False,cadence=quarterly,1,-0.0065172025202247,-0.00923041632360385
120,0.75,monthly,-0.0105493929733444,560,普通,5,5,-0.006640608807113983,-0.0058588519738678995,-0.003908784166230416,,False,cadence=monthly,1,-0.019178633315452068,0.012538024508338085
120,0.75,quarterly,-0.0224969552452494,188,普通,5,5,-0.019178633315452068,-0.0185149689294926,-0.003318321929797332,,False,cadence=quarterly,1,-0.006640608807113983,-0.012538024508338085
120,1.0,monthly,-0.0129922371802053,94,普通,3,3,-0.006668969627897975,-0.004561213777128866,-0.006323267552307325,,False,cadence=monthly,1,-0.022505387211875574,0.0158364175839776
120,1.0,quarterly,-0.0310388259607927,54,普通,3,3,-0.022505387211875574,-0.019660907628903202,-0.008533438748917127,,False,cadence=quarterly,1,-0.006668969627897975,-0.0158364175839776
