lookback_days,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
20,1.0,monthly,cadence=monthly,0.0306925537129025,孤峰,孤峰,,11,-0.0064569398562319925,0.03714949356913449,5,0.006814358986597084,0.023878194726305414,-0.019728238699061065,0.02654259768565815,186
20,0.75,monthly,cadence=monthly,0.018593802597282,普通,普通,,17,-0.006374733284250977,0.02496853588153298,8,0.0041733257150033,0.014420476882278701,-0.016922792283505253,0.02109611799850855,560
10,1.0,monthly,cadence=monthly,0.0085047326310765,普通,山脊,是,7,-0.0015127266406538,0.010017459271730299,3,0.015418273284033225,-0.006913540652956726,-0.018443726565340823,0.03386199984937405,178
20,0.5,monthly,cadence=monthly,0.0059751725336854,普通,普通,,11,-0.006187498293430083,0.012162670827115482,5,0.0016275307433242002,0.004347641790361199,-0.014002527330184367,0.015630058073508566,560
10,0.75,monthly,cadence=monthly,0.0038820041948719,普通,普通,,11,-0.0024298237883060747,0.006311827983177975,5,0.01105191238883675,-0.00716990819396485,-0.0159115599654489,0.02696347235428565,560
60,1.0,monthly,cadence=monthly,0.0032893905478041,孤峰,孤峰,,11,-0.01368875614251156,0.01697814669031566,5,-0.0061322406460702335,0.009421631193874333,-0.021245271638952883,0.01511303099288265,126
60,0.75,monthly,cadence=monthly,0.0004279309566967,普通,普通,,17,-0.012154401695611678,0.012582332652308377,8,-0.006175830904140445,0.006603761860837145,-0.018132972487082913,0.011957141582942468,560
10,0.5,monthly,cadence=monthly,-0.0013367913367978,普通,普通,,7,-0.0032479097334623,0.0019111183966644997,3,0.006778546997260375,-0.008115338334058175,-0.013274366464184974,0.02005291346144535,560
60,0.5,monthly,cadence=monthly,-0.0030521246480466,普通,普通,,11,-0.010512397050965275,0.0074602724029186746,5,-0.006119993165703334,0.0030678685176567335,-0.014904800936227217,0.008784807770523883,560
20,0.5,quarterly,cadence=quarterly,-0.0076504744885479,普通,孤峰,是,11,-0.006187498293430083,-0.0014629761951178172,5,-0.014002527330184367,0.006352052841636467,0.0016275307433242002,-0.015630058073508566,188
120,0.5,monthly,cadence=monthly,-0.0077723059313556,普通,普通,,7,-0.009735257869765087,0.0019629519384094874,3,-0.004842738866280925,-0.002929567065074675,-0.014627776873249251,0.009785038006968326,560
40,0.5,monthly,cadence=monthly,-0.0079646036814404,普通,普通,,11,-0.005569381710434175,-0.0023952219710062245,5,0.0007659629850868668,-0.008730566666527266,-0.011904726405955217,0.012670689391042083,560
120,0.75,monthly,cadence=monthly,-0.0089744558424182,普通,普通,,11,-0.011099326405347125,0.002124870562928925,5,-0.004471822539878867,-0.004502633302539334,-0.017726830270815383,0.013255007730936515,560
20,0.75,quarterly,cadence=quarterly,-0.0093135672046955,普通,普通,,17,-0.006374733284250977,-0.0029388339204445228,8,-0.016922792283505253,0.007609225078809753,0.0041733257150033,-0.02109611799850855,188
40,0.75,monthly,cadence=monthly,-0.0093843998476559,普通,普通,,17,-0.005576445081405927,-0.003807954766249973,8,0.0030194647558148113,-0.012403864603470711,-0.014172354918626666,0.01719181967444148,560
60,0.5,quarterly,cadence=quarterly,-0.0097779183227817,普通,孤峰,是,11,-0.010512397050965275,0.0007344787281835744,5,-0.014904800936227217,0.005126882613445516,-0.006119993165703334,-0.008784807770523883,188
120,1.0,monthly,cadence=monthly,-0.0107493703219536,普通,普通,,7,-0.01236045107007315,0.0016110807481195498,3,-0.00400162616496775,-0.0067477441569858505,-0.02071927597517855,0.016717649810210802,94
40,1.0,monthly,cadence=monthly,-0.0114025393688945,普通,普通,,11,-0.005472068169360391,-0.0059304711995341085,5,0.005369456433022483,-0.016771995801916982,-0.016313592771743265,0.02168304920476575,134
