threshold,tilt,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
0.9,0.5,monthly,-0.0077015660083419,560,普通,3,3,-0.007296574057426475,-0.0071615767404546666,-0.0004049919509154249,,False,cadence=monthly,1,-0.0173860296967757,0.010089455639349225
0.9,0.5,quarterly,-0.0118865999960466,188,普通,3,3,-0.0173860296967757,-0.019219172930352066,0.0054994297007291,,False,cadence=quarterly,1,-0.007296574057426475,-0.010089455639349225
0.9,0.75,monthly,-0.0105384663872074,560,普通,5,5,-0.00843321715388805,-0.00801216730722418,-0.00210524923331935,,False,cadence=monthly,1,-0.024179068536701983,0.01574585138281393
0.9,0.75,quarterly,-0.0263555951647442,188,普通,5,5,-0.024179068536701983,-0.02374376321109354,-0.002176526628042217,,False,cadence=quarterly,1,-0.00843321715388805,-0.01574585138281393
0.9,1.0,monthly,-0.0139338572944707,250,普通,3,3,-0.00947368814987495,-0.007986965101676366,-0.00446016914459575,,False,cadence=monthly,1,-0.030858276709796625,0.021384588559921675
0.9,1.0,quarterly,-0.0414525222980977,94,普通,3,3,-0.030858276709796625,-0.027326861513696264,-0.010594245588301073,,False,cadence=quarterly,1,-0.00947368814987495,-0.021384588559921675
0.95,0.5,monthly,-0.0050029843154866,560,普通,5,5,-0.006552348522677483,-0.00686222136411566,0.0015493642071908835,,False,cadence=monthly,1,-0.013744795188656116,0.007192446665978632
0.95,0.5,quarterly,-0.0097547043849788,188,普通,5,5,-0.013744795188656116,-0.014542813349391582,0.003990090803677316,,False,cadence=quarterly,1,-0.006552348522677483,-0.007192446665978632
0.95,0.75,monthly,-0.00594327951867,560,普通,8,8,-0.007333662184443123,-0.0075074600176647625,0.0013903826657731223,,False,cadence=monthly,1,-0.01867421869807902,0.0113405565136359
0.95,0.75,quarterly,-0.0215472192413332,188,普通,8,8,-0.01867421869807902,-0.01831509363017225,-0.0028730005432541783,,False,cadence=quarterly,1,-0.007333662184443123,-0.0113405565136359
0.95,1.0,monthly,-0.0074791493991517,196,普通,5,5,-0.0080167620182698,-0.00812428454209342,0.0005376126191181012,,False,cadence=monthly,1,-0.02349166614858535,0.01547490413031555
0.95,1.0,quarterly,-0.0340777701350114,68,普通,5,5,-0.02349166614858535,-0.02137444535130014,-0.010586103986426048,,False,cadence=quarterly,1,-0.0080167620182698,-0.01547490413031555
1.0,0.5,monthly,-0.0051978372265408,560,普通,5,5,-0.00362755002820195,-0.00331349258853418,-0.0015702871983388502,,False,cadence=monthly,1,-0.00758210920132435,0.0039545591731224
1.0,0.5,quarterly,-0.0054766670101737,188,普通,5,5,-0.00758210920132435,-0.008003197639554479,0.00210544219115065,,False,cadence=quarterly,1,-0.00362755002820195,-0.0039545591731224
1.0,0.75,monthly,-0.0049299576798182,560,普通,8,8,-0.0031986447131817112,-0.00298223059235215,-0.0017313129666364892,,False,cadence=monthly,1,-0.009566439072693878,0.006367794359512167
1.0,0.75,quarterly,-0.0074479853346602,188,普通,8,8,-0.009566439072693878,-0.009831245789948087,0.0021184537380336786,,False,cadence=quarterly,1,-0.0031986447131817112,-0.006367794359512167
1.0,1.0,monthly,-0.0052758618303008,112,普通,5,5,-0.0026689786052652167,-0.0021476019602581003,-0.0026068832250355834,,False,cadence=monthly,1,-0.011434596252816334,0.008765617647551117
1.0,1.0,quarterly,-0.0100689047176654,42,普通,5,5,-0.011434596252816334,-0.011707734559846519,0.0013656915351509345,,False,cadence=quarterly,1,-0.0026689786052652167,-0.008765617647551117
1.05,0.5,monthly,-0.0025731092450167,560,普通,5,5,-0.001966181933312883,-0.0018447964709721204,-0.000606927311703817,,False,cadence=monthly,1,-0.00266506741958725,0.0006988854862743669
1.05,0.5,quarterly,-0.0022590027421944,188,普通,5,5,-0.00266506741958725,-0.00274628035506582,0.00040606467739284996,,False,cadence=quarterly,1,-0.001966181933312883,-0.0006988854862743669
1.05,0.75,monthly,0.0018818678163206,560,普通,8,8,-0.0006141372094866334,-0.0009261378377125376,0.0024960050258072334,,False,cadence=monthly,1,-0.0022121595700642887,0.0015980223605776553
1.05,0.75,quarterly,0.0009929235053942,188,普通,8,8,-0.0022121595700642887,-0.0026127949544965997,0.0032050830754584885,,False,cadence=quarterly,1,-0.0006141372094866334,-0.0015980223605776553
1.05,1.0,monthly,0.0057325089800288,74,普通,5,5,0.0008391826984353333,-0.00013948255788336013,0.004893326281593467,6.831061925748869,False,cadence=monthly,1,-0.0016447131102346332,0.0024838958086699663
