threshold,tilt,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
1.1,1.0,monthly,cadence=monthly,0.0058132095647696,平原,山脊,是,7,0.0028611908864561,0.0029520186783135,3,0.00381022892518275,0.0020029806395868498,0.0019121528477294499,0.0018980760774533001,68
1.05,1.0,monthly,cadence=monthly,0.0057325089800288,普通,普通,,11,-0.00040276520589965,0.00613527418592845,5,0.0008391826984353333,0.004893326281593467,-0.0016447131102346332,0.0024838958086699663,74
1.05,1.0,quarterly,cadence=quarterly,0.003541378406378,普通,孤峰,是,11,-0.00040276520589965,0.003944143612277649,5,-0.0016447131102346332,0.005186091516612633,0.0008391826984353333,-0.0024838958086699663,36
1.1,1.0,quarterly,cadence=quarterly,0.0026084946982323,普通,普通,,7,0.0028611908864561,-0.0002526961882238,3,0.0019121528477294499,0.0006963418505028501,0.00381022892518275,-0.0018980760774533001,30
1.05,0.75,monthly,cadence=monthly,0.0018818678163206,普通,普通,,17,-0.001413148389775461,0.003295016206096061,8,-0.0006141372094866334,0.0024960050258072334,-0.0022121595700642887,0.0015980223605776553,560
1.1,0.75,monthly,cadence=monthly,0.001813329339612,普通,普通,,11,0.0010800452319334,0.0007332841076786,5,0.0016460703085466833,0.00016725903106531667,0.0005140201553201166,0.0011320501532265667,560
1.05,0.75,quarterly,cadence=quarterly,0.0009929235053942,普通,普通,,17,-0.001413148389775461,0.0024060718951696607,8,-0.0022121595700642887,0.0032050830754584885,-0.0006141372094866334,-0.0015980223605776553,188
1.1,0.75,quarterly,cadence=quarterly,0.0005058147809133,普通,普通,,11,0.0010800452319334,-0.0005742304510201,5,0.0005140201553201166,-8.205374406816592e-06,0.0016460703085466833,-0.0011320501532265667,188
1.05,0.5,quarterly,cadence=quarterly,-0.0022590027421944,普通,普通,,11,-0.0023156246764500666,5.662193425566651e-05,5,-0.00266506741958725,0.00040606467739284996,-0.001966181933312883,-0.0006988854862743669,188
1.1,0.5,quarterly,cadence=quarterly,-0.0023054877168027,普通,普通,,7,-0.0005918811082759875,-0.0017136066085267124,3,-0.0007664380431724,-0.0015390496736302998,-0.00041732417337957497,-0.0003491138697928251,188
1.05,0.5,monthly,cadence=monthly,-0.0025731092450167,普通,普通,,11,-0.0023156246764500666,-0.00025748456856663354,5,-0.001966181933312883,-0.000606927311703817,-0.00266506741958725,0.0006988854862743669,560
1.1,0.5,monthly,cadence=monthly,-0.0027913846044342,普通,普通,,7,-0.0005918811082759875,-0.0021995034961582124,3,-0.00041732417337957497,-0.002374060431054625,-0.0007664380431724,0.0003491138697928251,560
1.0,0.75,monthly,cadence=monthly,-0.0049299576798182,普通,普通,,17,-0.006382541892937794,0.0014525842131195938,8,-0.0031986447131817112,-0.0017313129666364892,-0.009566439072693878,0.006367794359512167,560
0.95,0.5,monthly,cadence=monthly,-0.0050029843154866,普通,普通,,11,-0.0101485718556668,0.0051455875401802,5,-0.006552348522677483,0.0015493642071908835,-0.013744795188656116,0.007192446665978632,560
1.0,0.5,monthly,cadence=monthly,-0.0051978372265408,普通,普通,,11,-0.00560482961476315,0.00040699238822234935,5,-0.00362755002820195,-0.0015702871983388502,-0.00758210920132435,0.0039545591731224,560
1.0,1.0,monthly,cadence=monthly,-0.0052758618303008,普通,普通,,11,-0.007051787429040775,0.0017759255987399745,5,-0.0026689786052652167,-0.0026068832250355834,-0.011434596252816334,0.008765617647551117,112
1.0,0.5,quarterly,cadence=quarterly,-0.0054766670101737,普通,普通,,11,-0.00560482961476315,0.00012816260458944993,5,-0.00758210920132435,0.00210544219115065,-0.00362755002820195,-0.0039545591731224,188
0.95,0.75,monthly,cadence=monthly,-0.00594327951867,普通,普通,,17,-0.013003940441261071,0.007060660922591071,8,-0.007333662184443123,0.0013903826657731223,-0.01867421869807902,0.0113405565136359,560
