entry.breakout_lookback_days,stop.swing_lookback_days,stop.min_stop_fraction,stop.max_stop_fraction,sizing.max_position_fraction,sizing.equity_basis,account.initial_cash,account.fees,execution.tie_break_seed,per_trade_risk,monthly_loss_cap,reward_risk_floor,entry_signals,orders,total_return,max_drawdown,worst_month_drawdown,blocked_days
20,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,1.5,925,618,2.751528447007819,-0.1618757177931176,-0.09161620127461179,18
20,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,2.0,365,358,1.1163410840929107,-0.09353228837936811,-0.0563530596115851,0
20,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,1.5,925,618,2.751528447007819,-0.1618757177931176,-0.09161620127461179,0
20,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,2.0,365,358,1.1163410840929107,-0.09353228837936811,-0.0563530596115851,0
20,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,0.06,1.5,925,550,5.853959856154536,-0.2153171538946136,-0.1223296367121195,29
20,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,0.06,2.0,365,336,1.6145572520630407,-0.1662652993442375,-0.07143957780203614,39
20,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,,1.5,925,552,5.723886277040198,-0.23020876522655065,-0.1223296367121195,0
20,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,,2.0,365,336,1.6898151880241268,-0.1662652993442375,-0.07143957780203614,0
20,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,1.5,6,12,0.01230496102131462,-0.03275254909251912,-0.01842421508407588,0
20,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,2.0,1,2,-0.01616477488232082,-0.020885764607079027,-0.01275793463235153,0
20,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,1.5,6,12,0.01230496102131462,-0.03275254909251912,-0.01842421508407588,0
20,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,2.0,1,2,-0.01616477488232082,-0.020885764607079027,-0.01275793463235153,0
20,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,0.06,1.5,6,12,0.0235852073459919,-0.06051021035836368,-0.03497795234263856,0
20,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,0.06,2.0,1,2,-0.03232954976464153,-0.04157204338093334,-0.025604533048581235,0
20,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,,1.5,6,12,0.0235852073459919,-0.06051021035836368,-0.03497795234263856,0
20,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,,2.0,1,2,-0.03232954976464153,-0.04157204338093334,-0.025604533048581235,0
50,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,1.5,1576,545,1.9422943299631927,-0.19049649049778816,-0.08574719414838983,54
50,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,2.0,1160,464,1.245101486973021,-0.23725660085171862,-0.0930615560768776,33
50,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,1.5,1576,547,1.9148383523883243,-0.19867754499864598,-0.08574719414838983,0
50,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,2.0,1160,464,1.245101486973021,-0.23725660085171862,-0.0930615560768776,0
50,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,0.06,1.5,1576,487,2.498287859843934,-0.20844431034600586,-0.12579615452631598,96
50,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,0.06,2.0,1160,426,0.8184949526597523,-0.2834233938631887,-0.12618332842509128,59
50,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,,1.5,1576,489,2.4318347496638975,-0.2234806194107949,-0.12579615452631598,0
50,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,,2.0,1160,426,0.8184949526597523,-0.2834233938631887,-0.12618332842509128,0
50,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,1.5,978,385,1.214810114914529,-0.13877664932689682,-0.061043836339869095,9
50,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,2.0,424,277,0.8606174854155668,-0.10730212883639856,-0.05511339708573171,0
50,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,1.5,978,385,1.214810114914529,-0.13877664932689682,-0.061043836339869095,0
50,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,2.0,424,277,0.8606174854155668,-0.10730212883639856,-0.05511339708573171,0
