ticker,bars,membership,old_anchor,reason
ADT,2018-01-19~2026-08-28,2012-10-02~2016-05-02,0001703056,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
APC,2026-02-12~2026-08-28,1997-07-28~2019-08-09,0002080921,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
BBBY,2026-07-17~2026-08-27,1999-10-01~2023-09-20,0001130713,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
CAM,2025-10-06~2026-08-28,2008-01-29~2016-04-04,PLACEHOLDER-CAM,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
CSRA,2026-08-12~2026-08-27,2015-11-30~2018-04-04,PLACEHOLDER-CSRA,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
DD,2015-01-02~2026-08-28,1996-01-02~2017-09-01、2019-06-03~仍在名單上,0001666700,"日線期間內代號易主(錨到 0000030554、0001666700);一個快照的價格表以代號為鍵,容不下兩家公司的價格,故此剔走"
DXC,2015-01-02~2026-08-28,1996-01-02~2015-12-01、2017-04-04~2023-10-02,0001688568,"日線期間內代號易主(錨到 0000023082、0001688568);一個快照的價格表以代號為鍵,容不下兩家公司的價格,故此剔走"
EMC,2023-05-15~2026-08-28,1996-03-28~2016-09-07,PLACEHOLDER-EMC,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
FB,2025-06-26~2026-08-28,2013-12-23~2022-06-09,PLACEHOLDER-FB,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
INFO,2024-10-10~2026-08-28,2017-06-02~2022-03-02,PLACEHOLDER-INFO,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
LB,2024-06-28~2026-08-28,1996-01-02~2021-08-03,0001995807,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
NE,2021-06-09~2026-08-28,2011-01-18~2020-11-05,0001895262,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
NFX,2026-07-07~2026-08-28,2010-12-20~2019-02-15,PLACEHOLDER-NFX,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
PCL,2025-08-05~2026-08-28,2002-01-17~2016-02-22,PLACEHOLDER-PCL,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
POM,2025-10-08~2026-08-28,2007-11-09~2016-03-24,0001877971,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
SBNY,2024-08-15~2026-08-27,2021-12-20~2023-03-15,PLACEHOLDER-SBNY,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
SE,2017-10-20~2026-08-28,2007-01-03~2017-02-27,0001703399,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
SPLS,2026-01-16~2026-08-28,1998-10-07~2017-09-13,PLACEHOLDER-SPLS,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
STI,2022-05-02~2026-08-28,1996-01-02~2019-12-09,0001881551,"抓回來的日線整段落在成分期之外——免費行情源給的是**代號今日持有人**的歷史,不是當年那隻成分股的價格。留住它等於把另一家公司的走勢當成成分股回測,故此剔走(D-026 第 6 條:留白比造一個看似完整的名單安全)"
