ticker,membership,anchor_from,anchor_to,was_anchor,now_anchor,company,verdict,evidence
ADT,2012-10-02~2016-05-02,2012-10-02,2016-05-02,(佔位錨),0001546640,ADT Corp.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2012-10-01 加入、2016-05-03 剔除,兩次都寫代號 ADT、公司名 ADT。SEC cik-lookup-data.txt:ADT CORP → 0001546640。SEC submissions 0001546640:申報 2012-04-10~2016-06-14,整段覆蓋成分期 2012-10-02~2016-05-02,收購完成後即停止申報。今日持有 ADT 代號的 0001703056(ADT Inc.)申報由 2017-04-11 才起,是 2018 年重新上市的另一家公司,不是當年那隻成分股"
AET,1996-01-02~2018-11-29,1996-01-02,2000-12-01,(佔位錨),0001013761,Aetna Inc. (1996-2000),人手辨明,"SEC cik-lookup-data.txt:AETNA INC → 0001013761。SEC submissions 0001013761(今名 AETNA INC /CT/):名稱窗口 AETNA INC 1996-07-16~2000-11-30,申報 1996-06-12 起。拆點 2000-12-01 取自名稱窗口——同日另一個 CIK 接上同一個名(見下一列)。本段在快照窗口(2015-01-02 起)之外"
AET,1996-01-02~2018-11-29,2000-12-01,2018-11-29,(佔位錨),0001122304,Aetna Inc.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2018-12-03 剔除,代號 AET、公司名 Aetna,理由 CVS 收購 Aetna。SEC cik-lookup-data.txt:AETNA INC /PA/ → 0001122304。SEC submissions 0001122304:名稱窗口 AETNA U S HEALTHCARE INC 2000-09-01~2000-12-01,其後即 AETNA INC;申報 2000-09-01~2019-02-14,覆蓋成分期餘下整段"
ANDV,2007-09-27~2018-10-01,2007-09-27,2018-10-01,(佔位錨),0000050104,Andeavor (前稱 Tesoro),人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2018-10-01 剔除,代號 ANDV、公司名 Andeavor。SEC cik-lookup-data.txt:ANDEAVOR → 0000050104。SEC submissions 0000050104:名稱窗口 TESORO PETROLEUM CORP 1994-11-28~2004-11-05、TESORO CORP 2004-11-09~2017-08-01、ANDEAVOR 2017-08-08~2018-10-11;申報 1994-01-07 起,整段覆蓋成分期。同一實體改名兼換代號(TSO→ANDV),不是代號回收"
APC,1997-07-28~2019-08-09,1997-07-28,2019-08-09,(佔位錨),0000773910,Anadarko Petroleum Corp.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2019-08-09 剔除,代號 APC、公司名 Anadarko Petroleum。SEC cik-lookup-data.txt:ANADARKO PETROLEUM CORP → 0000773910。SEC submissions 0000773910:申報 1994-02-14 起,整段覆蓋成分期(被 Occidental 收購後仍以子公司身分申報)。今日持有 APC 代號的 0002080921(ARKO Petroleum)申報 2025-09-15 才起,當時並不存在"
ATI,1996-01-02~2015-07-02,1996-01-02,2015-07-02,0001018963,0001018963,Allegheny Technologies Inc.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2015-07-02 剔除,代號 ATI、公司名 Allegheny Technologies——與今日持有 ATI 代號的 0001018963 是同一家。SEC submissions 0001018963:名稱窗口 ALLEGHENY TELEDYNE INC 1996-07-17~1999-08-25、ALLEGHENY TECHNOLOGIES INC 1999-12-13~2022-06-22、其後 ATI INC。原錨確認正確:那是同一實體自己改名,不是代號回收。成分期起點 1996-01-02 是成分歷史來源的第一日,不是真正的加入日;1996-07 之前的一截在快照窗口之外"
BBT,1997-12-04~2019-12-09,1997-12-04,2019-12-09,0001108134,0000092230,BB&T Corp.,人手辨明,"SEC cik-lookup-data.txt:BB&T CORP → 0000092230。SEC submissions 0000092230(今名 TRUIST FINANCIAL CORP):名稱窗口 SOUTHERN NATIONAL CORP 1994-05-19~1997-05-14、BB&T CORP 1997-06-06~2019-12-06;申報 1994-02-14 起,整段覆蓋成分期。本倉成分歷史 sp500_historical.csv:BBT 於 2019-12-09 剔除,同日 TFC(Truist Financial)加入——同一實體改名換代號。原錨 0001108134(Beacon Financial)申報 2000-03-10 才起,蓋不住 1997 年的成分期,判定為錯"
CAM,2008-01-29~2016-04-04,2008-01-29,2016-04-04,(佔位錨),0000941548,Cameron International Corp.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2016-04-04 剔除,代號 CAM、公司名 Cameron International。SEC cik-lookup-data.txt:CAMERON INTERNATIONAL CORP → 0000941548。SEC submissions 0000941548:名稱窗口 COOPER CAMERON CORP 1995-08-10~2006-05-17、其後 CAMERON INTERNATIONAL CORP;申報 1995-08-10~2016-04-14,整段覆蓋成分期,被 Schlumberger 收購後即停止申報"
COL,2001-07-02~2018-11-27,2001-07-02,2018-11-27,(佔位錨),0001137411,Rockwell Collins Inc.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2018-12-03 剔除,代號 COL、公司名 Rockwell Collins。SEC cik-lookup-data.txt:ROCKWELL COLLINS INC → 0001137411。SEC submissions 0001137411:申報 2001-04-12~2018-12-07,整段覆蓋成分期,被 United Technologies 收購後即停止申報"
CSRA,2015-11-30~2018-04-04,2015-11-30,2018-04-04,(佔位錨),0001646383,CSRA Inc.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2015-12-01 加入、2018-04-04 剔除,兩次都寫代號 CSRA、公司名 CSRA。SEC cik-lookup-data.txt:CSRA INC. → 0001646383。SEC submissions 0001646383:名稱窗口 Computer Sciences Government Services Inc 2015-07-10~2015-11-06、其後 CSRA Inc.;申報 2015-07-10~2018-05-10,整段覆蓋成分期"
DD,1996-01-02~2017-09-01,1996-01-02,2017-09-01,0001666700,0000030554,E. I. du Pont de Nemours and Co.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2017-09-01 剔除,代號 DD、公司名 DuPont(與 Dow 合併成 DowDuPont)。SEC cik-lookup-data.txt:DUPONT E I DE NEMOURS & CO → 0000030554。SEC submissions 0000030554(今名 EIDP, Inc.):名稱窗口 DUPONT E I DE NEMOURS & CO 1994-01-06~2022-11-04;申報 1994-01-06 起,整段覆蓋成分期。原錨 0001666700(DuPont de Nemours, Inc.)申報 2016-03-01 才起,是 2019 年分拆出來的另一家,只對得上 2019-06-03 起那一段成分期"
DOW,1996-01-02~2017-09-01,1996-01-02,2017-09-01,(佔位錨),0000029915,The Dow Chemical Co.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2017-09-01 剔除,代號 DOW、公司名 Dow Chemical Company。SEC cik-lookup-data.txt:DOW CHEMICAL CO /DE/ → 0000029915。SEC submissions 0000029915:申報 1994-05-16 起,整段覆蓋成分期(合併後仍以子公司身分申報)。0001751788(Dow Inc.)申報 2018-09-07 才起,只對得上 2019-04-02 起那一段成分期"
DXC,1996-01-02~2015-12-01,1996-01-02,2015-12-01,(佔位錨),0000023082,Computer Sciences Corp.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2015-12-01 剔除,代號 CSC、公司名 Computer Sciences Corporation,理由「CSC 完成分拆 CSRA」——與本段成分期的訖日一字不差,同日 CSRA 加入。SEC cik-lookup-data.txt:COMPUTER SCIENCES CORP → 0000023082。SEC submissions 0000023082:申報 1994-01-25~2018-02-12,整段覆蓋成分期。成分歷史來源以最終代號 DXC 記述 CSC 這一段;2017-04-04 起那一段才是 0001688568(DXC Technology,由 CSC 與 HPE 企業服務合併而成)"
EA,2002-07-22~仍在名單上,2002-07-22,,(佔位錨),0000712515,Electronic Arts Inc.,人手辨明,"SEC cik-lookup-data.txt:ELECTRONIC ARTS INC → 0000712515。SEC submissions 0000712515:今日代號欄仍是 EA,申報 1994-08-09 起一路至 2026-08-14,整段覆蓋成分期。維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2026-08-05 剔除,代號 EA、公司名 Electronic Arts(財團私有化)——本倉成分歷史仍記它在名單上,兩者的分別已記於 sp500_historical.csv 的註"
EMC,1996-03-28~2016-09-07,1996-03-28,2016-09-07,(佔位錨),0000790070,EMC Corp.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2016-09-08 剔除,代號 EMC、公司名 EMC Corporation(Dell 收購)。SEC cik-lookup-data.txt:EMC CORP → 0000790070。SEC submissions 0000790070:申報 1994-02-14 起,整段覆蓋成分期(被 Dell 收購後仍以子公司身分申報)"
