ticker,membership,current_anchor,verdict,reason
ADT,2012-10-02~2016-05-02,0001703056,人手待辨,"今日持有人 0001703056 的申報由 2017-04-11 起,蓋不住成分期 2012-10-02~2016-05-02,它不可能是當時的持有人;它在成分期後才取得名稱(ADT Inc.、ADT, Inc.、Prime Security Services Parent, Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2017-04-11 晚過成分期結束 2016-05-02,當時它並不存在,故此不留它作錨,改用佔位錨"
AET,1996-01-02~2018-11-29,佔位錨,佔位錨,"成分期 1996-01-02~2018-11-29 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
ANDV,2007-09-27~2018-10-01,佔位錨,佔位錨,"成分期 2007-09-27~2018-10-01 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
APC,1997-07-28~2019-08-09,0002080921,人手待辨,"今日持有人 0002080921 的申報由 2025-09-15 起,蓋不住成分期 1997-07-28~2019-08-09,它不可能是當時的持有人;它在成分期後才取得名稱(ARKO Petroleum Corp.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2025-09-15 晚過成分期結束 2019-08-09,當時它並不存在,故此不留它作錨,改用佔位錨"
ATI,1996-01-02~2015-07-02,0001018963,人手待辨,"今日持有人 0001018963 的申報由 1996-07-17 起,蓋不住成分期 1996-01-02~2015-07-02,它不可能是當時的持有人;它在成分期後才取得名稱(ATI INC);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 1996-07-17 落在成分期之內,可能是期中成立的繼承實體,排除不了,暫時保留原錨"
BBT,1997-12-04~2019-12-09,0001108134,人手待辨,"今日持有人 0001108134 的申報由 2000-03-10 起,蓋不住成分期 1997-12-04~2019-12-09,它不可能是當時的持有人;它在成分期後才取得名稱(Beacon Financial Corp);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2000-03-10 落在成分期之內,可能是期中成立的繼承實體,排除不了,暫時保留原錨"
CAM,2008-01-29~2016-04-04,佔位錨,佔位錨,"成分期 2008-01-29~2016-04-04 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
COL,2001-07-02~2018-11-27,佔位錨,佔位錨,"成分期 2001-07-02~2018-11-27 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
CSRA,2015-11-30~2018-04-04,佔位錨,佔位錨,"成分期 2015-11-30~2018-04-04 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
DD,1996-01-02~2017-09-01,0001666700,人手待辨,"今日持有人 0001666700 的申報由 2016-03-01 起,蓋不住成分期 1996-01-02~2017-09-01,它不可能是當時的持有人;它在成分期後才取得名稱(DuPont de Nemours, Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2016-03-01 落在成分期之內,可能是期中成立的繼承實體,排除不了,暫時保留原錨"
DOW,1996-01-02~2017-09-01,0001751788,人手待辨,"今日持有人 0001751788 的申報由 2018-09-07 起,蓋不住成分期 1996-01-02~2017-09-01,它不可能是當時的持有人;它在成分期後才取得名稱(DOW INC.、Dow Holdings Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2018-09-07 晚過成分期結束 2017-09-01,當時它並不存在,故此不留它作錨,改用佔位錨"
DXC,1996-01-02~2015-12-01,0001688568,人手待辨,"今日持有人 0001688568 的申報由 2016-11-02 起,蓋不住成分期 1996-01-02~2015-12-01,它不可能是當時的持有人;它在成分期後才取得名稱(DXC Technology Co、Everett SpinCo, Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2016-11-02 晚過成分期結束 2015-12-01,當時它並不存在,故此不留它作錨,改用佔位錨"
EA,2002-07-22~仍在名單上,佔位錨,佔位錨,"成分期仍未結束,但今日的代號→CIK 對照查無此代號"
EMC,1996-03-28~2016-09-07,佔位錨,佔位錨,"成分期 1996-03-28~2016-09-07 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
EQR,2001-12-03~仍在名單上,佔位錨,佔位錨,"成分期仍未結束,但今日的代號→CIK 對照查無此代號"
ESRX,2003-09-26~2018-12-21,佔位錨,佔位錨,"成分期 2003-09-26~2018-12-21 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
EVHC,2016-12-02~2018-10-11,佔位錨,佔位錨,"成分期 2016-12-02~2018-10-11 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
FB,2013-12-23~2022-06-09,佔位錨,佔位錨,"成分期 2013-12-23~2022-06-09 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
HOT,2000-11-17~2016-09-23,佔位錨,佔位錨,"成分期 2000-11-17~2016-09-23 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
INFO,2017-06-02~2022-03-02,佔位錨,佔位錨,"成分期 2017-06-02~2022-03-02 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
LB,1996-01-02~2021-08-03,0001995807,人手待辨,"今日持有人 0001995807 的申報由 2023-10-11 起,蓋不住成分期 1996-01-02~2021-08-03,它不可能是當時的持有人;它在成分期後才取得名稱(LandBridge Co LLC);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2023-10-11 晚過成分期結束 2021-08-03,當時它並不存在,故此不留它作錨,改用佔位錨"
