threshold,tilt,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
0.9,0.5,monthly,3.2226904043216456,0.13198767158713998,-0.3499494159383213,0.8683206106870229,0.9686671890596287,0.7350232504767109,235.86068702290078,1.1103261853195294,-0.05768202811003875,-0.0065320229091392346,run-ac773d8e775d70ec,560,524,2929,2015-01-02,2026-08-26,False,25.8976
0.9,0.5,quarterly,3.0229938353720387,0.1272776282343897,-0.3463943960712177,0.8795180722891566,1.534100885519621,0.6924754198909024,464.3433734939759,0.5051085858518616,-0.06239207146278902,-0.011242066261889505,run-9555edaf9e7601b1,188,166,2929,2015-01-02,2026-08-26,False,0.3059
0.9,0.75,monthly,3.1708354989980103,0.13078451765203236,-0.34276869567919854,0.8481481481481481,0.7426533810750797,0.7089137407852355,170.44814814814814,2.668694457036357,-0.05888518204514637,-0.007735176844246849,run-a16653bc0e3d8408,560,540,2929,2015-01-02,2026-08-26,False,0.3332
0.9,0.75,quarterly,2.4918822971064007,0.11362439433425231,-0.3435720860129249,0.8729281767955801,0.5764021942755669,0.5610081059373706,328.24309392265195,1.1947973913579357,-0.07604530536292642,-0.0248953001620269,run-f28a6c1ab3b25b1b,188,181,2929,2015-01-02,2026-08-26,False,0.3315
0.9,1.0,monthly,3.0955429239297887,0.12901299062292426,-0.3355806500231834,0.6534090909090909,1.689484807356016,0.6671290999215648,78.38636363636364,4.234177860195547,-0.06065670907425447,-0.00950670387335495,run-e2584bf81791059d,246,176,2929,2015-01-02,2026-08-26,False,0.4153
0.9,1.0,quarterly,2.004411665347463,0.09930610616015256,-0.34082271654343377,0.8166666666666667,0.609239200697273,0.4267715782061886,139.98333333333332,1.8782992749466594,-0.09036359353702617,-0.03921358833612665,run-a8c3994501e450d0,94,60,2929,2015-01-02,2026-08-26,False,0.4072
0.95,0.5,monthly,3.3343486244835567,0.13453321700704945,-0.3499494159383215,0.8761904761904762,0.9148804515084635,0.7508178050398523,284.60571428571427,0.9776751668347045,-0.055136482690129274,-0.003986477489229756,run-72afc1dc619d498b,560,525,2929,2015-01-02,2026-08-26,False,0.4114
0.95,0.5,quarterly,3.105498050822492,0.12924891988424125,-0.3463943960712176,0.8950617283950617,5.8004837750412195,0.7021446889907027,581.425925925926,0.388720795611046,-0.060420779812937475,-0.009270774612037957,run-9c01ad8b6b117ab3,188,162,2929,2015-01-02,2026-08-26,False,0.4088
0.95,0.75,monthly,3.3544650406504273,0.1349854415454983,-0.3427686956791981,0.8502772643253235,0.6988531080242325,0.7262581701099469,203.95563770794826,2.317600336376882,-0.05468425815168043,-0.003534252950780914,run-b1587d27a22f9caa,560,541,2929,2015-01-02,2026-08-26,False,0.5254
0.95,0.75,quarterly,2.65593560434795,0.11803343694683344,-0.3435720860129249,0.8674033149171271,0.8827472989953912,0.5811793328249586,416.1491712707182,0.9015898464031212,-0.07163626275034529,-0.020486257549445774,run-5b4095c3a7276398,188,181,2929,2015-01-02,2026-08-26,False,0.582
0.95,1.0,monthly,3.3473904750221815,0.13482662074718466,-0.3355806500231835,0.6183206106870229,1.8602237064004106,0.6857585920905754,93.41984732824427,3.6578637445617828,-0.05484307894999407,-0.0036930737490945553,run-98e9226464ce3176,192,131,2929,2015-01-02,2026-08-26,False,0.6673
0.95,1.0,quarterly,2.2254405045970285,0.10604298890197938,-0.34082271654343366,0.7674418604651163,1.0816987841329877,0.4587024935714763,184.97674418604652,1.406217290771324,-0.08362671079519934,-0.032476705594299826,run-a143e5a31993cd01,68,43,2929,2015-01-02,2026-08-26,False,0.4669
1.0,0.5,monthly,3.3003483354930205,0.13376449863643058,-0.3499494159383213,0.8407766990291262,4.725839312946822,0.7391249819480987,417.3922330097087,0.46722222184317885,-0.055905201060748144,-0.004755195859848627,run-9bc6b038991899bd,560,515,2929,2015-01-02,2026-08-26,False,0.6405
1.0,0.5,quarterly,3.2815560400942676,0.1333372336293175,-0.3463943960712177,0.9485294117647058,11.997024171610006,0.7298502039026361,931.6691176470588,0.20121658824718833,-0.05633246606786124,-0.0051824608669617245,run-4dc017bbc72720d2,188,136,2929,2015-01-02,2026-08-26,False,0.442
