日期,舊來源(yfinance),新來源(Cboe),絕對差,相對差
2015-01-02,17.790000915527344,17.79,9.155273446026513e-07,5.1463029650749885e-08
2015-01-05,19.920000076293945,19.92,7.629394360719743e-08,3.830017234688269e-09
2015-01-06,21.1200008392334,21.12,8.392333974427402e-07,3.973642822417625e-08
2015-01-07,19.309999465942383,19.31,5.340576159085231e-07,2.7657049750335636e-08
2015-01-08,17.010000228881836,17.01,2.2888183437430598e-07,1.345572200438187e-08
2015-01-09,17.549999237060547,17.55,7.629394538355427e-07,4.347233544172664e-08
2015-01-12,19.600000381469727,19.6,3.8146972514141453e-07,1.9462740699845313e-08
2015-01-13,20.559999465942383,20.56,5.340576159085231e-07,2.5975565650825475e-08
2015-01-14,21.479999542236328,21.48,4.5776367230132564e-07,2.1311158382532578e-08
2015-01-15,22.389999389648438,22.39,6.103515630684342e-07,2.7260008026200208e-08
2015-01-16,20.950000762939453,20.95,7.629394538355427e-07,3.6417156374771234e-08
2015-01-20,19.889999389648438,19.89,6.103515630684342e-07,3.068635403709896e-08
2015-01-21,18.850000381469727,18.85,3.8146972514141453e-07,2.023712028761622e-08
2015-01-22,16.399999618530273,16.4,3.8146972514141453e-07,2.3260349635032545e-08
2015-01-23,16.65999984741211,16.66,1.5258789076710855e-07,9.158937104720975e-09
2015-01-26,15.520000457763672,15.52,4.5776367230132564e-07,2.9495081108218365e-08
2015-01-27,17.219999313354492,17.22,6.866455066756316e-07,3.987488583365522e-08
2015-01-28,20.440000534057617,20.44,5.340576159085231e-07,2.6128062717936994e-08
2015-01-29,18.760000228881836,18.76,2.2888183437430598e-07,1.2200524071525993e-08
2015-01-30,20.969999313354492,20.97,6.866455066756316e-07,3.274418355552113e-08
2015-02-02,19.43000030517578,19.43,3.051757815342171e-07,1.5706421860061635e-08
2015-02-03,17.329999923706055,17.33,7.629394360719743e-08,4.4024203083136436e-09
2015-02-04,18.329999923706055,18.33,7.629394360719743e-08,4.16224462219048e-09
2015-02-05,16.850000381469727,16.85,3.8146972514141453e-07,2.263915231485242e-08
2015-02-06,17.290000915527344,17.29,9.155273446026513e-07,5.295126062026167e-08
2015-02-09,18.549999237060547,18.55,7.629394538355427e-07,4.112881321910173e-08
2015-02-10,17.229999542236328,17.23,4.5776367230132564e-07,2.6567828465647844e-08
2015-02-11,16.959999084472656,16.96,9.155273446026513e-07,5.398156804388283e-08
2015-02-12,15.34000015258789,15.34,1.5258789076710855e-07,9.947059273096985e-09
2015-02-13,14.6899995803833,14.69,4.196166987213701e-07,2.8564786297320042e-08
2015-02-17,15.800000190734863,15.8,1.9073486257070726e-07,1.2071826599252473e-08
2015-02-18,15.449999809265137,15.45,1.9073486257070726e-07,1.2345298700672241e-08
2015-02-19,15.289999961853027,15.29,3.814697180359872e-08,2.4948967886704694e-09
2015-02-20,14.300000190734863,14.3,1.9073486257070726e-07,1.3338102099766865e-08
2015-02-23,14.5600004196167,14.56,4.196166987213701e-07,2.881982737830283e-08
2015-02-24,13.6899995803833,13.69,4.196166987213701e-07,3.065133028365085e-08
2015-02-25,13.84000015258789,13.84,1.5258789076710855e-07,1.1025136494566924e-08
2015-02-26,13.90999984741211,13.91,1.5258789076710855e-07,1.0969654381088782e-08
2015-02-27,13.34000015258789,13.34,1.5258789076710855e-07,1.1438372490386164e-08
2015-03-02,13.039999961853027,13.04,3.814697180359872e-08,2.925381281839966e-09
2015-03-03,13.859999656677246,13.86,3.433227533378158e-07,2.4770762037675474e-08
2015-03-04,14.229999542236328,14.23,4.5776367230132564e-07,3.216891686768005e-08
2015-03-05,14.039999961853027,14.04,3.814697180359872e-08,2.7170207911143043e-09
2015-03-06,15.199999809265137,15.2,1.9073486257070726e-07,1.2548346379218052e-08
2015-03-09,15.0600004196167,15.06,4.196166987213701e-07,2.7862993826666173e-08
2015-03-10,16.690000534057617,16.69,5.340576159085231e-07,3.199865780823224e-08
2015-03-11,16.8700008392334,16.87,8.392333974427402e-07,4.974708688164335e-08
2015-03-12,15.420000076293945,15.42,7.629394538355427e-08,4.947726654090317e-09
2015-03-13,16.0,16.0,0.0,0.0
2015-03-16,15.609999656677246,15.61,3.433227533378158e-07,2.1993770716769876e-08
2015-03-17,15.65999984741211,15.66,1.5258789076710855e-07,9.74379899450155e-09
2015-03-18,13.970000267028809,13.97,2.6702880795426154e-07,1.911444544381918e-08
2015-03-19,14.069999694824219,14.07,3.051757815342171e-07,2.168982147501246e-08
2015-03-20,13.020000457763672,13.02,4.5776367230132564e-07,3.515849894063303e-08
2015-03-23,13.40999984741211,13.41,1.5258789076710855e-07,1.1378664616208425e-08
2015-03-24,13.619999885559082,13.62,1.1444091718715299e-07,8.402416897851197e-09
2015-03-25,15.4399995803833,15.44,4.196166987213701e-07,2.71772480651164e-08
2015-03-26,15.800000190734863,15.8,1.9073486257070726e-07,1.2071826599252473e-08
2015-03-27,15.069999694824219,15.07,3.051757815342171e-07,2.0250549947856304e-08
2015-03-30,14.510000228881836,14.51,2.2888183615066282e-07,1.5774075295676326e-08
2015-03-31,15.289999961853027,15.29,3.814697180359872e-08,2.4948967886704694e-09
2015-04-01,15.109999656677246,15.11,3.433227533378158e-07,2.2721559307653482e-08
2015-04-02,14.670000076293945,14.67,7.629394538355427e-08,5.200677913208864e-09
2015-04-06,14.739999771118164,14.74,2.2888183615066282e-07,1.5527940278475325e-08
2015-04-07,14.779999732971191,14.78,2.6702880795426154e-07,1.8066902082452292e-08
2015-04-08,13.979999542236328,13.98,4.5776367230132564e-07,3.274418364023057e-08
2015-04-09,13.09000015258789,13.09,1.5258789076710855e-07,1.1656828799726327e-08
2015-04-10,12.579999923706055,12.58,7.629394538355427e-08,6.064701577603679e-09
2015-04-13,13.9399995803833,13.94,4.196166987213701e-07,3.010162922184479e-08
2015-04-14,13.670000076293945,13.67,7.629394538355427e-08,5.581122527999153e-09
2015-04-15,12.84000015258789,12.84,1.5258789076710855e-07,1.1883791974593909e-08
2015-04-16,12.600000381469727,12.6,3.8146972691777137e-07,3.0275374235605766e-08
2015-04-17,13.890000343322754,13.89,3.433227533378158e-07,2.4717260248511012e-08
2015-04-20,13.300000190734863,13.3,1.9073486257070726e-07,1.4340966904916158e-08
2015-04-21,13.25,13.25,0.0,0.0
2015-04-22,12.710000038146973,12.71,3.814697180359872e-08,3.001335302054041e-09
2015-04-23,12.479999542236328,12.48,4.5776367230132564e-07,3.667978277980751e-08
2015-04-24,12.289999961853027,12.29,3.814697180359872e-08,3.1039033296992054e-09
2015-04-27,13.119999885559082,13.12,1.1444091718715299e-07,8.72263095925144e-09
2015-04-28,12.40999984741211,12.41,1.5258789076710855e-07,1.2295559439424821e-08
2015-04-29,13.390000343322754,13.39,3.433227533378158e-07,2.5640234842041804e-08
2015-04-30,14.550000190734863,14.55,1.9073486257070726e-07,1.3108925090747645e-08
2015-05-01,12.699999809265137,12.7,1.9073486257070726e-07,1.501849334135886e-08
2015-05-04,12.850000381469727,12.85,3.8146972691777137e-07,2.968635919014195e-08
2015-05-05,14.3100004196167,14.31,4.196166987213701e-07,2.932331840788372e-08
2015-05-06,15.149999618530273,15.15,3.8146972691777137e-07,2.5179520562574005e-08
2015-05-07,15.130000114440918,15.13,1.1444091718715299e-07,7.563841131628557e-09
2015-05-08,12.859999656677246,12.86,3.433227533378158e-07,2.6696948872743842e-08
2015-05-11,13.850000381469727,13.85,3.8146972691777137e-07,2.754293981306669e-08
2015-05-12,13.859999656677246,13.86,3.433227533378158e-07,2.4770762037675474e-08
2015-05-13,13.760000228881836,13.76,2.2888183615066282e-07,1.6633854094729344e-08
2015-05-14,12.739999771118164,12.74,2.2888183615066282e-07,1.7965607555939094e-08
2015-05-15,12.380000114440918,12.38,1.1444091718715299e-07,9.244015842428056e-09
2015-05-18,12.729999542236328,12.73,4.5776367230132564e-07,3.595944137959557e-08
2015-05-19,12.850000381469727,12.85,3.8146972691777137e-07,2.968635919014195e-08
2015-05-20,12.880000114440918,12.88,1.1444091718715299e-07,8.885164298938404e-09
2015-05-21,12.109999656677246,12.11,3.433227533378158e-07,2.83503520289956e-08
2015-05-22,12.130000114440918,12.13,1.1444091718715299e-07,9.434535540598194e-09
2015-05-26,14.0600004196167,14.06,4.196166987213701e-07,2.984471452333069e-08
2015-05-27,13.270000457763672,13.27,4.5776367230132564e-07,3.449613085985306e-08
2015-05-28,13.3100004196167,13.31,4.196166987213701e-07,3.1526422651566995e-08
2015-05-29,13.84000015258789,13.84,1.5258789076710855e-07,1.1025136494566924e-08
2015-06-01,13.970000267028809,13.97,2.6702880795426154e-07,1.911444544381918e-08
2015-06-02,14.239999771118164,14.24,2.2888183615066282e-07,1.6073162909376253e-08
2015-06-03,13.65999984741211,13.66,1.5258789076710855e-07,1.1170416725591425e-08
2015-06-04,14.710000038146973,14.71,3.814697180359872e-08,2.593267960888742e-09
2015-06-05,14.210000038146973,14.21,3.814697180359872e-08,2.6845159536377593e-09
2015-06-08,15.289999961853027,15.29,3.814697180359872e-08,2.4948967886704694e-09
2015-06-09,14.470000267028809,14.47,2.6702880795426154e-07,1.8453960126228233e-08
2015-06-10,13.220000267028809,13.22,2.6702880795426154e-07,2.0198850420619257e-08
2015-06-11,12.850000381469727,12.85,3.8146972691777137e-07,2.968635919014195e-08
2015-06-12,13.779999732971191,13.78,2.6702880795426154e-07,1.9377998049981514e-08
2015-06-15,15.390000343322754,15.39,3.433227533378158e-07,2.2308170609416067e-08
2015-06-16,14.8100004196167,14.81,4.196166987213701e-07,2.8333334694951365e-08
2015-06-17,14.5,14.5,0.0,0.0
2015-06-18,13.1899995803833,13.19,4.196166987213701e-07,3.1813245797629966e-08
2015-06-19,13.960000038146973,13.96,3.814697180359872e-08,2.732591095942596e-09
2015-06-22,12.739999771118164,12.74,2.2888183615066282e-07,1.7965607555939094e-08
2015-06-23,12.109999656677246,12.11,3.433227533378158e-07,2.83503520289956e-08
2015-06-24,13.260000228881836,13.26,2.2888183615066282e-07,1.7261073318244094e-08
2015-06-25,14.010000228881836,14.01,2.2888183615066282e-07,1.6337033005811043e-08
2015-06-26,14.020000457763672,14.02,4.5776367230132564e-07,3.265076015370854e-08
2015-06-29,18.850000381469727,18.85,3.8146972514141453e-07,2.023712028761622e-08
2015-06-30,18.229999542236328,18.23,4.5776367230132564e-07,2.5110459890070323e-08
