signal,date,risk_on,in_bear,leader,spy_pct,leader_pct,n_cold_le10pct,fwd63_spy_pct,fwd63_leader_pct,fwd21_spy_pct,fwd21_leader_pct
P1,2001-09-20,False,True,XLU,0.99,74.01,8,22.507,-3.862,13.81,0.862
P1,2002-04-29,True,True,XLE,0.99,15.48,7,-16.247,-19.069,-0.439,-2.125
P1,2002-07-19,False,True,XLB,1.59,5.95,7,4.688,-2.738,12.747,4.49
P1,2003-01-21,False,False,XLU,1.59,0.79,7,3.627,2.53,-4.945,-7.124
P1,2004-03-11,True,False,XLE,1.39,3.37,9,2.228,4.228,3.521,4.573
P1,2004-08-06,True,False,XLU,0.79,52.58,8,9.827,12.049,5.233,3.177
P1,2005-01-04,True,False,XLY,1.39,3.97,8,0.114,-5.037,0.219,-2.586
P1,2005-04-15,True,False,XLE,1.98,0.79,8,7.776,13.784,2.007,-2.57
P1,2005-06-24,True,False,XLU,1.98,28.57,7,3.0,6.213,3.808,2.757
P1,2006-05-12,True,False,XLI,1.19,2.38,9,-0.463,-9.444,-4.62,-6.91
P1,2006-06-13,True,False,XLU,0.2,17.66,7,7.637,6.64,1.497,2.845
P1,2007-06-07,True,False,XLE,0.99,9.33,9,-1.65,5.965,2.251,7.234
P1,2007-07-27,True,False,XLE,1.19,7.34,9,5.383,11.436,0.158,-1.72
P1,2007-10-19,True,False,XLP,1.98,6.15,7,-14.171,-4.033,-3.251,4.703
P1,2008-10-07,False,True,XLP,1.19,2.38,9,-6.797,-2.838,-3.138,0.37
P1,2009-02-23,False,True,XLV,0.4,1.59,9,18.2,-0.642,8.662,-4.981
P1,2010-05-20,True,False,XLY,0.99,2.98,9,2.041,0.978,5.694,5.601
P1,2010-06-24,True,False,XLU,1.39,4.56,8,6.143,9.833,4.112,7.051
P1,2011-04-12,True,False,XLE,1.98,3.57,7,0.564,-0.012,2.324,-2.512
P1,2011-07-29,True,False,XLU,1.79,1.79,9,-1.664,6.452,-7.651,0.418
P1,2011-11-22,False,False,XLK,1.98,4.56,7,15.933,17.43,7.112,3.631
P1,2012-04-10,True,False,XLK,1.39,5.95,9,-1.737,-4.634,-0.444,-2.854
P1,2012-05-17,True,False,XLP,0.4,16.67,7,8.828,6.92,3.357,2.776
P1,2013-08-19,True,False,XLV,1.79,15.87,8,9.809,10.225,5.138,5.37
P1,2014-01-27,True,False,XLV,1.79,1.19,8,5.708,4.446,3.615,6.371
P1,2014-07-31,True,False,XLK,0.4,2.78,8,3.087,2.651,4.367,3.779
P1,2014-12-10,True,False,XLV,1.59,7.54,7,1.948,3.988,0.67,1.791
P1,2015-01-05,True,False,XLU,0.6,13.29,7,3.16,-4.007,1.371,2.944
P1,2015-06-29,True,False,XLY,0.99,8.33,8,-8.69,-5.274,1.399,3.16
P1,2015-07-27,True,False,XLF,0.6,5.56,8,0.283,-3.508,-7.561,-9.109
P1,2015-08-21,True,False,XLU,0.99,7.74,9,12.293,-1.067,4.069,-4.268
P1,2016-01-08,True,False,XLV,1.59,1.39,8,6.354,1.079,-3.42,-5.723
P1,2018-02-05,True,False,XLY,0.6,0.2,9,2.934,4.406,5.236,4.69
P1,2018-03-23,True,False,XLY,0.99,1.98,7,4.783,9.186,0.298,-0.413
P1,2018-10-11,True,True,XLV,0.2,1.59,8,-6.303,-3.763,0.152,2.247
P1,2018-12-17,True,True,XLU,1.98,7.14,9,10.234,5.639,3.627,-3.072
P1,2019-08-05,True,False,XLU,1.19,13.49,8,8.171,8.72,3.805,6.706
P1,2020-02-25,True,False,XLU,1.39,0.99,9,-3.273,-14.138,-20.114,-23.444
P1,2022-01-21,True,False,XLE,0.6,9.52,7,-1.63,22.201,0.146,10.448
P1,2022-02-23,True,True,XLE,1.79,48.21,7,-4.256,23.55,10.107,11.947
P1,2022-06-13,False,True,XLE,0.79,3.37,9,5.128,-4.785,1.951,-18.697
P1,2022-09-23,False,True,XLU,1.59,4.96,8,4.089,-1.323,3.379,-10.52
P1,2023-09-21,True,False,XLE,1.39,6.75,8,9.433,-4.951,-2.969,-0.1
P1,2025-04-04,False,False,XLP,1.39,8.93,9,27.683,7.074,14.506,6.305
P2,2001-10-31,False,True,XLP,7.94,1.98,2,5.644,0.832,6.614,3.462
P2,2003-01-21,False,False,XLU,1.59,0.79,7,3.627,2.53,-4.945,-7.124
P2,2005-01-06,True,False,XLY,34.52,1.19,2,-0.181,-4.123,1.009,-0.753
P2,2005-04-15,True,False,XLE,1.98,0.79,8,7.776,13.784,2.007,-2.57
P2,2005-08-17,True,False,XLE,16.87,1.19,3,1.512,1.668,1.594,12.537
P2,2005-10-05,True,False,XLE,2.98,0.4,7,7.446,9.853,2.187,4.855
P2,2006-05-17,True,False,XLI,0.99,0.2,7,2.201,-5.29,-1.096,-2.926
P2,2008-01-16,False,True,XLU,10.12,1.98,3,1.319,-2.151,-0.791,-4.325
P2,2008-07-08,False,True,XLE,57.74,0.6,1,-15.719,-30.995,0.361,-10.268
P2,2008-10-08,False,True,XLP,0.99,0.99,7,-7.786,-6.439,-8.037,-4.648
P2,2009-02-23,False,True,XLV,0.4,1.59,9,18.2,-0.642,8.662,-4.981
P2,2011-03-10,True,False,XLE,9.52,1.59,3,-0.085,1.541,3.133,9.136
P2,2011-07-29,True,False,XLU,1.79,1.79,9,-1.664,6.452,-7.651,0.418
P2,2011-11-23,False,False,XLK,0.4,0.4,9,18.637,20.592,9.1,6.446
P2,2014-01-27,True,False,XLV,1.79,1.19,8,5.708,4.446,3.615,6.371
P2,2014-08-01,True,False,XLK,0.4,1.79,6,5.109,4.302,4.412,3.932
P2,2015-08-24,True,False,XLU,0.2,0.99,9,7.695,-0.113,-1.167,-3.494
P2,2015-11-13,True,False,XLK,2.18,0.79,7,-3.939,-2.753,2.002,3.05
P2,2016-01-08,True,False,XLV,1.59,1.39,8,6.354,1.079,-3.42,-5.723
P2,2017-08-11,True,False,XLF,16.67,1.98,4,5.464,5.452,1.682,-0.642
P2,2018-02-05,True,False,XLY,0.6,0.2,9,2.934,4.406,5.236,4.69
P2,2018-03-23,True,False,XLY,0.99,1.98,7,4.783,9.186,0.298,-0.413
P2,2018-05-29,True,False,XLE,3.17,1.79,5,7.802,0.998,-0.0,1.602
P2,2018-10-11,True,True,XLV,0.2,1.59,8,-6.303,-3.763,0.152,2.247
P2,2018-12-21,True,True,XLU,0.4,1.39,9,18.118,10.701,11.115,0.335
P2,2019-03-08,True,False,XLI,2.98,0.99,6,5.589,5.014,4.987,4.615
P2,2020-02-25,True,False,XLU,1.39,0.99,9,-3.273,-14.138,-20.114,-23.444
P2,2020-03-12,False,True,XLU,9.92,1.39,4,17.85,4.795,7.428,5.197
P2,2021-09-10,True,False,XLK,0.99,1.39,5,4.924,9.964,-2.58,-3.702
