symbol,report_date,ttm_eps,prev_year_ttm_eps,yoy_growth
AXTI,1998-03-31,0.1,,
AXTI,1998-06-30,0.2,,
AXTI,1998-09-30,0.3,,
AXTI,1998-12-31,0.41,,
AXTI,1999-03-31,0.43,0.1,3.3
AXTI,1999-06-30,0.329,0.2,0.645
AXTI,1999-09-30,0.369,0.3,0.23
AXTI,1999-12-31,0.079,0.41,-0.8073
AXTI,2000-03-31,0.059,0.43,-0.8628
AXTI,2000-06-30,0.18,0.329,-0.4529
AXTI,2000-09-30,0.18,0.369,-0.5122
AXTI,2000-12-31,1.1773,0.079,13.9025
AXTI,2001-03-31,1.2973,0.059,20.9881
AXTI,2001-06-30,1.4073,0.18,6.8183
AXTI,2001-09-30,1.2073,0.18,5.7072
AXTI,2001-12-31,-0.23,1.1773,-1.1954
AXTI,2002-03-31,-0.61,1.2973,-1.4702
AXTI,2002-06-30,-2.24,1.4073,-2.5917
AXTI,2002-09-30,-3.46,1.2073,-3.8659
AXTI,2002-12-31,-3.63,-0.23,-14.7826
AXTI,2003-03-31,-3.66,-0.61,-5.0
AXTI,2003-06-30,-2.43,-2.24,-0.0848
AXTI,2003-09-30,-1.26,-3.46,0.6358
AXTI,2003-12-31,-0.56,-3.63,0.8457
AXTI,2004-03-31,-0.48,-3.66,0.8689
AXTI,2004-06-30,-0.48,-2.43,0.8025
AXTI,2004-09-30,-0.59,-1.26,0.5317
AXTI,2004-12-31,-0.62,-0.56,-0.1071
AXTI,2005-03-31,-0.71,-0.48,-0.4792
AXTI,2005-06-30,-0.68,-0.48,-0.4167
AXTI,2005-09-30,-0.56,-0.59,0.0508
AXTI,2005-12-31,-0.55,-0.62,0.1129
AXTI,2006-03-31,-0.45,-0.71,0.3662
AXTI,2006-06-30,-0.35,-0.68,0.4853
AXTI,2006-09-30,-0.23,-0.56,0.5893
AXTI,2006-12-31,0.01,-0.55,1.0182
AXTI,2007-03-31,0.15,-0.45,1.3333
AXTI,2007-06-30,0.23,-0.35,1.6571
AXTI,2007-09-30,0.24,-0.23,2.0435
AXTI,2007-12-31,0.17,0.01,16.0
AXTI,2008-03-31,0.19,0.15,0.2667
AXTI,2008-06-30,0.17,0.23,-0.2609
AXTI,2008-09-30,0.11,0.24,-0.5417
AXTI,2008-12-31,-0.03,0.17,-1.1765
AXTI,2009-03-31,-0.27,0.19,-2.4211
AXTI,2009-06-30,-0.33,0.17,-2.9412
AXTI,2009-09-30,-0.23,0.11,-3.0909
AXTI,2009-12-31,-0.06,-0.03,-1.0
AXTI,2010-03-31,0.2,-0.27,1.7407
AXTI,2010-06-30,0.41,-0.33,2.2424
AXTI,2010-09-30,0.51,-0.23,3.2174
AXTI,2010-12-31,0.57,-0.06,10.5
AXTI,2011-03-31,0.62,0.2,2.1
AXTI,2011-06-30,0.66,0.41,0.6098
AXTI,2011-09-30,0.69,0.51,0.3529
AXTI,2011-12-31,0.62,0.57,0.0877
AXTI,2012-03-31,0.54,0.62,-0.129
AXTI,2012-06-30,0.37,0.66,-0.4394
AXTI,2012-09-30,0.2,0.69,-0.7101
AXTI,2012-12-31,0.1,0.62,-0.8387
AXTI,2013-03-31,-0.03,0.54,-1.0556
AXTI,2013-06-30,-0.13,0.37,-1.3514
AXTI,2013-09-30,-0.23,0.2,-2.15
AXTI,2013-12-31,-0.25,0.1,-3.5
AXTI,2014-03-31,-0.23,-0.03,-6.6667
AXTI,2014-06-30,-0.16,-0.13,-0.2308
AXTI,2014-09-30,-0.07,-0.23,0.6957
AXTI,2014-12-31,-0.04,-0.25,0.84
AXTI,2015-03-31,-0.01,-0.23,0.9565
AXTI,2015-06-30,-0.0215,-0.16,0.8656
AXTI,2015-09-30,-0.0416,-0.07,0.4057
AXTI,2015-12-31,-0.0716,-0.04,-0.79
AXTI,2016-03-31,-0.0417,-0.01,-3.17
AXTI,2016-06-30,-0.0102,-0.0215,0.5256
AXTI,2016-09-30,0.0599,-0.0416,2.4399
AXTI,2016-12-31,0.1599,-0.0716,3.2332
AXTI,2017-03-31,0.18,-0.0417,5.3165
AXTI,2017-06-30,0.2,-0.0102,20.6078
AXTI,2017-09-30,0.24,0.0599,3.0067
AXTI,2017-12-31,0.26,0.1599,0.626
AXTI,2018-03-31,0.31,0.18,0.7222
AXTI,2018-06-30,0.36,0.2,0.8
AXTI,2018-09-30,0.3466,0.24,0.4442
AXTI,2018-12-31,0.2384,0.26,-0.0831
AXTI,2019-03-31,0.1392,0.31,-0.551
AXTI,2019-06-30,0.0743,0.36,-0.7936
AXTI,2019-09-30,-0.0462,0.3466,-1.1333
AXTI,2019-12-31,-0.0708,0.2384,-1.297
AXTI,2020-03-31,-0.0472,0.1392,-1.3391
AXTI,2020-06-30,-0.0745,0.0743,-2.0027
AXTI,2020-09-30,-0.0275,-0.0462,0.4048
AXTI,2020-12-31,0.0733,-0.0708,2.0353
AXTI,2021-03-31,0.158,-0.0472,4.3475
AXTI,2021-06-30,0.2518,-0.0745,4.3799
AXTI,2021-09-30,0.3167,-0.0275,12.5164
