Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-10-29 16:00:00-04:00,0.31,,
2026-07-30 16:00:00-04:00,0.07,0.19,163.89
2026-04-30 16:00:00-04:00,-0.05,-0.01,78.26
2026-02-19 16:00:00-05:00,-0.06,-0.05,13.79
2025-10-30 16:00:00-04:00,-0.12,-0.03,74.58
2025-07-31 16:00:00-04:00,-0.13,-0.15,-11.94
2025-05-01 16:00:00-04:00,-0.14,-0.19,-37.68
2025-02-20 16:00:00-05:00,-0.04,-0.1,-138.1
2024-10-31 16:00:00-04:00,-0.06,-0.05,16.67
2024-08-01 16:00:00-04:00,-0.05,-0.02,56.52
2024-05-02 16:00:00-04:00,-0.08,-0.03,61.54
2024-02-22 16:00:00-05:00,-0.13,-0.07,46.97
2023-11-02 16:00:00-04:00,-0.11,-0.12,-5.26
2023-08-03 16:00:00-04:00,-0.1,-0.1,-2.04
2023-04-27 16:00:00-04:00,-0.1,-0.06,41.18
2023-02-16 16:00:00-05:00,0.04,0.05,25.0
2022-10-27 16:00:00-04:00,0.12,0.16,36.17
2022-07-28 16:00:00-04:00,0.1,0.13,35.42
2022-04-28 16:00:00-04:00,0.09,0.07,-17.65
2022-02-16 16:00:00-05:00,0.07,0.07,-3.45
2021-10-27 16:00:00-04:00,0.11,0.09,-18.18
2021-07-27 16:00:00-04:00,0.07,0.1,42.86
2021-04-28 16:00:00-04:00,0.06,0.08,33.33
2021-02-18 16:00:00-05:00,0.03,0.05,66.67
2020-10-28 16:00:00-04:00,,0.02,
2020-07-22 16:00:00-04:00,-0.01,0.01,200.0
2020-04-22 17:00:00-04:00,-0.04,-0.01,75.0
2020-02-19 16:00:00-05:00,-0.07,-0.05,28.57
2019-10-30 16:00:00-04:00,-0.04,-0.02,50.0
2019-07-24 16:00:00-04:00,0.04,0.04,14.29
2019-04-24 16:00:00-04:00,-0.04,-0.03,25.0
2019-02-20 16:00:00-05:00,0.02,-0.03,-300.0
2018-10-31 16:00:00-04:00,0.1,0.1,
2018-07-25 16:00:00-04:00,0.08,0.1,25.0
2018-04-25 14:00:00-04:00,0.06,0.07,12.0
2018-02-21 16:00:00-05:00,0.08,0.08,-3.03
2017-10-25 16:00:00-04:00,0.09,0.12,35.78
2017-07-26 16:00:00-04:00,0.05,0.05,5.26
2017-04-26 16:00:00-04:00,0.01,0.02,199.85
2017-02-22 16:00:00-05:00,0.03,0.06,100.0
2016-10-26 16:00:00-04:00,0.03,0.07,110.02
2016-07-27 16:00:00-04:00,0.02,0.04,173.33
2016-05-02 16:00:00-04:00,-0.04,,100.0
2016-02-24 16:00:00-05:00,-0.02,-0.04,-100.0
2015-10-29 16:00:00-04:00,-0.02,,100.0
2015-07-30 16:00:00-04:00,-0.01,,100.0
2015-04-30 16:00:00-04:00,-0.04,-0.03,14.29
2015-02-23 16:00:00-05:00,-0.01,-0.01,33.33
2014-10-30 16:00:00-04:00,0.01,0.02,199.85
2014-07-31 16:00:00-04:00,-0.04,0.01,122.22
2014-04-30 16:00:00-04:00,-0.08,-0.04,56.24
2014-02-25 16:00:00-05:00,-0.07,-0.04,44.83
2013-10-30 16:00:00-04:00,-0.08,-0.07,9.68
2013-07-31 16:00:00-04:00,-0.05,-0.06,-12.51
2013-05-10 13:00:00-04:00,-0.07,-0.07,-7.14
2013-02-25 16:00:00-05:00,-0.01,-0.02,-66.67
2012-11-01 16:00:00-04:00,0.03,0.03,
2012-08-01 16:00:00-04:00,0.06,0.04,-28.57
2012-05-02 16:00:00-04:00,0.09,0.05,-41.86
2012-02-23 16:00:00-05:00,0.09,0.08,-11.11
2011-10-26 16:00:00-04:00,0.18,0.19,4.4
2011-07-27 16:00:00-04:00,0.14,0.21,46.52
2011-05-03 16:00:00-04:00,0.12,0.13,11.43
2011-02-23 16:00:00-05:00,0.17,0.15,-10.0
2010-10-28 16:00:00-04:00,0.14,0.17,21.43
2010-07-29 16:00:00-04:00,0.08,0.13,62.5
2010-04-28 16:00:00-04:00,0.04,0.08,128.57
2010-02-23 16:00:00-05:00,0.05,0.09,80.0
