Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-11-09 15:00:00-05:00,-0.06,,
2026-08-10 16:00:00-04:00,-0.08,-0.07,12.5
2026-05-11 16:00:00-04:00,-0.1,-0.18,-74.2
2026-03-02 16:00:00-05:00,-0.11,-0.06,43.95
2025-11-10 16:00:00-05:00,-0.13,-0.12,7.35
2025-08-11 16:00:00-04:00,-0.16,-0.18,-10.97
2025-05-12 16:00:00-04:00,-0.2,-0.2,-2.31
2025-03-03 16:00:00-05:00,-0.23,-0.5,-116.74
2024-11-12 07:00:00-05:00,-0.23,-0.24,-5.91
2024-08-08 07:00:00-04:00,-0.29,-0.34,-19.54
2024-05-09 07:00:00-04:00,-0.33,-0.47,-41.62
2024-02-29 16:00:00-05:00,-0.42,-0.64,-53.25
2023-11-09 16:00:00-05:00,-0.3,-0.45,-48.87
2023-08-09 16:00:00-04:00,-0.25,-0.35,-42.91
2023-05-09 16:00:00-04:00,-0.24,-0.33,-37.33
2023-03-01 16:00:00-05:00,-0.25,-0.37,-49.23
2022-11-08 17:00:00-05:00,-0.22,-0.3,-34.02
2022-08-09 16:00:00-04:00,-0.2,-0.31,-51.37
2022-05-09 16:00:00-04:00,-0.16,-0.27,-71.52
2022-03-01 16:00:00-05:00,-0.11,-0.31,-181.82
2021-11-09 16:00:00-05:00,-0.08,-0.19,-129.52
2021-08-05 16:00:00-04:00,-0.07,-0.18,-151.22
2021-06-22 06:00:00-04:00,-0.09,-0.12,-39.21
2021-02-25 08:00:00-05:00,-0.12,-0.07,40.87
2020-11-09 16:00:00-05:00,-0.07,-0.04,42.86
2020-08-06 09:00:00-04:00,-0.1,-0.03,66.95
2020-05-07 09:00:00-04:00,-0.11,-0.12,-8.36
2020-03-05 09:00:00-05:00,-0.06,-0.06,4.55
2019-11-08 16:00:00-05:00,-0.07,-0.08,-11.11
2019-08-06 08:00:00-04:00,-0.1,-0.08,21.53
2019-05-08 17:00:00-04:00,-0.1,-0.15,-47.25
2019-03-07 07:00:00-05:00,-0.06,-0.07,-16.67
2018-11-08 07:00:00-05:00,-0.08,-0.07,9.26
2018-08-09 07:00:00-04:00,-0.08,-0.08,-4.34
2018-05-09 07:00:00-04:00,-0.08,-0.07,12.5
2018-03-07 07:00:00-05:00,-0.07,-0.08,-6.67
2017-11-08 16:00:00-05:00,-0.04,-0.18,-414.29
2017-08-08 16:00:00-04:00,-0.06,-0.1,-66.67
2017-05-09 17:00:00-04:00,-0.07,-0.13,-94.99
2017-03-09 07:00:00-05:00,-0.06,-0.08,-35.67
2016-11-07 07:00:00-05:00,-0.04,-0.07,-55.56
2016-08-04 07:00:00-04:00,-0.06,-0.04,29.42
2016-05-10 07:00:00-04:00,-0.06,-0.05,16.67
