tier,ticker,n_quarters,n_with_est,oldest,newest,has_fwd_consensus,n_analysts_0q,error
mega,AAPL,100,88,2002-04-17,2026-10-29,True,28.0,
mega,MSFT,100,100,2002-01-17,2026-10-28,True,25.0,
mega,NVDA,100,67,2002-05-22,2026-11-17,True,42.0,
mega,AMZN,100,84,2002-04-23,2026-10-29,True,44.0,
mega,JPM,100,100,2002-01-16,2026-10-13,True,8.0,
mid,CROX,83,82,2006-05-04,2026-10-29,True,14.0,
mid,DKS,97,97,2002-11-25,2026-11-24,True,21.0,
mid,OLLI,45,45,2015-09-09,2026-09-02,True,15.0,
mid,SAIA,96,95,2003-01-24,2026-10-29,True,18.0,
mid,EXPO,100,100,2001-10-11,2026-10-29,True,4.0,
small,AXTI,100,97,2002-02-06,2026-10-29,True,5.0,
small,PLUG,100,100,2002-02-26,2026-11-09,True,9.0,
small,VUZI,50,50,2014-08-14,2026-11-12,True,1.0,
small,AMSC,100,100,2002-01-29,2026-11-04,True,4.0,
small,BBAI,20,20,2022-03-17,2026-11-02,True,2.0,
micro,GEVO,64,64,2011-03-29,2026-11-09,True,2.0,
micro,INVZ,22,22,2021-08-11,2026-11-11,True,2.0,
micro,MVIS,100,100,1999-11-15,2026-11-10,False,,
micro,SES,17,17,2022-11-09,2026-11-12,True,2.0,
micro,NNDM,20,19,2016-05-18,2026-11-05,False,,
reit,O,94,94,2000-04-27,2026-11-02,True,1.0,
reit,PLD,62,62,2011-07-28,2026-10-14,True,2.0,
reit,SPG,100,100,2001-11-08,2026-11-02,True,4.0,
sector_etf,XLK,0,0,,,False,,
sector_etf,XLF,0,0,,,False,,
sector_etf,XLE,0,0,,,False,,
sector_etf,XLV,0,0,,,False,,
sector_etf,SPY,0,0,,,False,,
