threshold,sector,leg,start,end,months,rel_change_pct
10%,XLB,trough_to_peak,1999-01-29,1999-05-06,3.19,27.13
10%,XLB,peak_to_trough,1999-05-06,1999-07-15,2.3,-12.22
10%,XLB,trough_to_peak,1999-07-15,1999-08-12,0.92,11.44
10%,XLB,peak_to_trough,1999-08-12,1999-11-29,3.58,-18.38
10%,XLB,trough_to_peak,1999-11-29,2000-01-06,1.25,19.17
10%,XLB,peak_to_trough,2000-01-06,2000-03-09,2.07,-28.08
10%,XLB,trough_to_peak,2000-03-09,2000-04-12,1.12,17.36
10%,XLB,peak_to_trough,2000-04-12,2000-09-27,5.52,-28.21
10%,XLB,trough_to_peak,2000-09-27,2001-01-05,3.29,40.84
10%,XLB,peak_to_trough,2001-01-05,2001-01-29,0.79,-12.0
10%,XLB,trough_to_peak,2001-01-29,2002-07-25,17.81,67.07
10%,XLB,peak_to_trough,2002-07-25,2003-07-15,11.66,-14.0
10%,XLB,trough_to_peak,2003-07-15,2005-03-09,19.81,27.39
10%,XLB,peak_to_trough,2005-03-09,2005-10-06,6.93,-15.36
10%,XLB,trough_to_peak,2005-10-06,2006-05-10,7.1,19.99
10%,XLB,peak_to_trough,2006-05-10,2006-10-04,4.83,-11.75
10%,XLB,trough_to_peak,2006-10-04,2008-06-23,20.63,43.83
10%,XLB,peak_to_trough,2008-06-23,2008-12-05,5.42,-24.97
10%,XLB,trough_to_peak,2008-12-05,2010-01-06,13.04,22.66
10%,XLB,peak_to_trough,2010-01-06,2010-06-07,4.99,-11.39
10%,XLB,trough_to_peak,2010-06-07,2011-04-05,9.92,15.15
10%,XLB,peak_to_trough,2011-04-05,2016-01-25,57.69,-34.85
10%,XLB,trough_to_peak,2016-01-25,2017-10-26,21.03,16.78
10%,XLB,peak_to_trough,2017-10-26,2020-03-18,28.71,-26.07
10%,XLB,trough_to_peak,2020-03-18,2021-05-17,13.96,25.04
10%,XLB,peak_to_trough,2021-05-17,2021-09-24,4.27,-14.24
10%,XLB,trough_to_peak,2021-09-24,2022-06-06,8.38,16.59
10%,XLB,peak_to_trough,2022-06-06,2022-09-26,3.68,-12.67
10%,XLB,trough_to_peak,2022-09-26,2023-01-13,3.58,14.0
10%,XLB,peak_to_trough,2023-01-13,2025-01-03,23.69,-32.41
10%,XLB,trough_to_peak,2025-01-03,2025-04-03,2.96,10.34
10%,XLB,peak_to_trough,2025-04-03,2025-11-03,7.03,-19.18
10%,XLB,trough_to_peak,2025-11-03,2026-02-13,3.35,25.8
10%,XLE,peak_to_trough,1998-12-22,1999-02-01,1.35,-11.73
10%,XLE,trough_to_peak,1999-02-01,1999-08-10,6.24,36.05
10%,XLE,peak_to_trough,1999-08-10,1999-11-05,2.86,-19.51
10%,XLE,trough_to_peak,1999-11-05,1999-11-17,0.39,10.44
10%,XLE,peak_to_trough,1999-11-17,2000-01-03,1.54,-10.76
10%,XLE,trough_to_peak,2000-01-03,2000-01-06,0.1,10.42
10%,XLE,peak_to_trough,2000-01-06,2000-02-09,1.12,-10.51
10%,XLE,trough_to_peak,2000-02-09,2000-03-07,0.89,15.47
10%,XLE,peak_to_trough,2000-03-07,2000-03-24,0.56,-12.34
10%,XLE,trough_to_peak,2000-03-24,2000-05-23,1.97,24.74
10%,XLE,peak_to_trough,2000-05-23,2000-07-25,2.07,-15.2
10%,XLE,trough_to_peak,2000-07-25,2000-10-12,2.6,34.05
10%,XLE,peak_to_trough,2000-10-12,2000-11-06,0.82,-14.33
10%,XLE,trough_to_peak,2000-11-06,2001-01-02,1.87,16.94
10%,XLE,peak_to_trough,2001-01-02,2001-01-18,0.53,-11.66
10%,XLE,trough_to_peak,2001-01-18,2001-03-20,2.0,23.36
10%,XLE,peak_to_trough,2001-03-20,2001-07-18,3.94,-15.43
10%,XLE,trough_to_peak,2001-07-18,2001-09-17,2.0,14.16
10%,XLE,peak_to_trough,2001-09-17,2001-09-26,0.3,-12.61
10%,XLE,trough_to_peak,2001-09-26,2001-10-10,0.46,11.28
10%,XLE,peak_to_trough,2001-10-10,2001-11-15,1.18,-17.84
10%,XLE,trough_to_peak,2001-11-15,2002-07-03,7.56,24.41
10%,XLE,peak_to_trough,2002-07-03,2002-08-01,0.95,-10.74
10%,XLE,trough_to_peak,2002-08-01,2002-10-07,2.2,11.51
10%,XLE,peak_to_trough,2002-10-07,2002-11-27,1.68,-11.77
10%,XLE,trough_to_peak,2002-11-27,2003-03-11,3.42,17.01
10%,XLE,peak_to_trough,2003-03-11,2003-10-30,7.66,-17.24
10%,XLE,trough_to_peak,2003-10-30,2004-10-25,11.86,42.58
10%,XLE,peak_to_trough,2004-10-25,2005-01-03,2.3,-10.4
10%,XLE,trough_to_peak,2005-01-03,2005-04-01,2.89,28.58
10%,XLE,peak_to_trough,2005-04-01,2005-05-18,1.54,-11.7
10%,XLE,trough_to_peak,2005-05-18,2005-09-21,4.14,34.64
10%,XLE,peak_to_trough,2005-09-21,2005-11-10,1.64,-14.36
10%,XLE,trough_to_peak,2005-11-10,2006-01-31,2.69,18.14
10%,XLE,peak_to_trough,2006-01-31,2006-03-10,1.25,-11.63
10%,XLE,trough_to_peak,2006-03-10,2006-04-21,1.38,13.86
10%,XLE,peak_to_trough,2006-04-21,2006-06-13,1.74,-10.09
10%,XLE,trough_to_peak,2006-06-13,2006-07-14,1.02,14.22
10%,XLE,peak_to_trough,2006-07-14,2006-10-03,2.66,-18.54
10%,XLE,trough_to_peak,2006-10-03,2006-12-01,1.94,13.46
10%,XLE,peak_to_trough,2006-12-01,2007-01-11,1.35,-12.41
10%,XLE,trough_to_peak,2007-01-11,2008-07-01,17.64,79.95
10%,XLE,peak_to_trough,2008-07-01,2008-08-11,1.35,-21.57
10%,XLE,trough_to_peak,2008-08-11,2008-08-21,0.33,10.09
10%,XLE,peak_to_trough,2008-08-21,2008-09-09,0.62,-14.1
10%,XLE,trough_to_peak,2008-09-09,2008-09-22,0.43,12.13
10%,XLE,peak_to_trough,2008-09-22,2008-10-16,0.79,-16.93
10%,XLE,trough_to_peak,2008-10-16,2008-11-26,1.35,19.82
10%,XLE,peak_to_trough,2008-11-26,2008-12-05,0.3,-12.56
10%,XLE,trough_to_peak,2008-12-05,2009-02-05,2.04,14.02
10%,XLE,peak_to_trough,2009-02-05,2010-06-01,15.8,-18.46
10%,XLE,trough_to_peak,2010-06-01,2011-03-30,9.92,27.89
10%,XLE,peak_to_trough,2011-03-30,2011-10-03,6.14,-14.9
10%,XLE,trough_to_peak,2011-10-03,2011-11-11,1.28,10.96
10%,XLE,peak_to_trough,2011-11-11,2012-06-25,7.46,-17.46
10%,XLE,trough_to_peak,2012-06-25,2012-09-14,2.66,10.11
10%,XLE,peak_to_trough,2012-09-14,2014-02-13,16.99,-11.16
10%,XLE,trough_to_peak,2014-02-13,2014-06-23,4.27,11.48
10%,XLE,peak_to_trough,2014-06-23,2016-01-20,18.92,-45.5
10%,XLE,trough_to_peak,2016-01-20,2016-12-13,10.78,23.07
10%,XLE,peak_to_trough,2016-12-13,2017-08-22,8.28,-25.36
10%,XLE,trough_to_peak,2017-08-22,2018-01-12,4.7,10.62
10%,XLE,peak_to_trough,2018-01-12,2018-03-15,2.04,-12.29
10%,XLE,trough_to_peak,2018-03-15,2018-05-17,2.07,18.82
10%,XLE,peak_to_trough,2018-05-17,2020-03-18,22.05,-63.54
10%,XLE,trough_to_peak,2020-03-18,2020-04-08,0.69,27.03
10%,XLE,peak_to_trough,2020-04-08,2020-04-16,0.26,-11.94
10%,XLE,trough_to_peak,2020-04-16,2020-06-08,1.74,31.85
10%,XLE,peak_to_trough,2020-06-08,2020-11-06,4.96,-41.83
10%,XLE,trough_to_peak,2020-11-06,2021-01-14,2.27,43.54
10%,XLE,peak_to_trough,2021-01-14,2021-02-02,0.62,-10.73
10%,XLE,trough_to_peak,2021-02-02,2021-03-08,1.12,32.47
10%,XLE,peak_to_trough,2021-03-08,2021-04-23,1.51,-17.32
10%,XLE,trough_to_peak,2021-04-23,2021-06-08,1.51,16.23
10%,XLE,peak_to_trough,2021-06-08,2021-08-20,2.4,-21.4
10%,XLE,trough_to_peak,2021-08-20,2021-10-12,1.74,26.81
10%,XLE,peak_to_trough,2021-10-12,2021-11-19,1.25,-10.37
10%,XLE,trough_to_peak,2021-11-19,2022-03-08,3.58,61.27
10%,XLE,peak_to_trough,2022-03-08,2022-03-16,0.26,-11.9
10%,XLE,trough_to_peak,2022-03-16,2022-06-10,2.83,39.57
10%,XLE,peak_to_trough,2022-06-10,2022-08-04,1.81,-23.45
10%,XLE,trough_to_peak,2022-08-04,2022-11-07,3.12,42.41
