cadence,side,granularity,lookback,skip_weeks,label,lookback_months_equiv,n_periods,cagr_pct,excess_cagr_pp,paired_t,hit_rate_pct,ann_turnover_x,ann_cost_drag_pp,vbt_cagr_pct,vbt_excess_cagr_pp,vbt_minus_hand_pp
month,reversal,week,1,0,R:w1-0,0.24,318,7.256,-1.178,-0.592,50.0,7.85,0.785,7.253,-1.182,-0.004
month,momentum,week,1,0,M:w1-0,0.24,318,9.146,0.711,0.452,54.09,7.87,0.787,9.138,0.704,-0.008
month,reversal,week,2,0,R:w2-0,0.48,318,8.352,-0.082,0.136,51.57,8.06,0.806,8.344,-0.09,-0.008
month,momentum,week,2,0,M:w2-0,0.48,318,7.266,-1.169,-0.641,47.17,8.15,0.815,7.263,-1.172,-0.003
month,reversal,week,3,0,R:w3-0,0.71,318,7.165,-1.269,-0.484,49.06,8.08,0.808,7.156,-1.278,-0.009
month,momentum,week,3,0,M:w3-0,0.71,318,6.233,-2.201,-1.215,49.37,8.16,0.816,6.23,-2.205,-0.004
month,reversal,week,4,0,R:w4-0,0.95,318,7.001,-1.433,-0.606,49.69,7.84,0.784,6.993,-1.441,-0.008
month,momentum,week,4,0,M:w4-0,0.95,318,6.953,-1.482,-0.81,46.86,8.14,0.814,6.954,-1.481,0.001
month,reversal,week,5,0,R:w5-0,1.19,318,6.31,-2.125,-0.975,50.0,7.07,0.707,6.302,-2.133,-0.008
month,momentum,week,5,0,M:w5-0,1.19,318,7.981,-0.453,-0.214,47.17,7.42,0.742,7.978,-0.457,-0.004
month,reversal,week,6,0,R:w6-0,1.43,318,8.706,0.271,0.403,52.52,6.75,0.675,8.693,0.259,-0.013
month,momentum,week,6,0,M:w6-0,1.43,318,6.482,-1.953,-1.046,46.23,6.7,0.67,6.478,-1.956,-0.004
month,reversal,week,7,0,R:w7-0,1.67,318,8.726,0.291,0.506,53.46,6.35,0.635,8.714,0.28,-0.011
month,momentum,week,7,0,M:w7-0,1.67,318,6.873,-1.561,-0.979,48.43,6.42,0.642,6.869,-1.566,-0.004
month,reversal,week,8,0,R:w8-0,1.9,318,9.114,0.68,0.707,53.46,5.97,0.597,9.103,0.669,-0.011
month,momentum,week,8,0,M:w8-0,1.9,318,7.528,-0.906,-0.611,47.8,6.06,0.606,7.523,-0.912,-0.005
month,reversal,week,9,0,R:w9-0,2.14,318,8.711,0.277,0.497,53.77,5.67,0.567,8.701,0.266,-0.01
month,momentum,week,9,0,M:w9-0,2.14,318,8.065,-0.369,-0.275,47.8,5.54,0.554,8.062,-0.373,-0.003
month,reversal,week,10,0,R:w10-0,2.38,318,8.905,0.47,0.6,52.2,5.44,0.544,8.893,0.459,-0.012
month,momentum,week,10,0,M:w10-0,2.38,318,7.864,-0.571,-0.375,50.31,5.26,0.526,7.858,-0.577,-0.006
month,reversal,week,11,0,R:w11-0,2.62,318,9.084,0.649,0.732,52.52,5.0,0.5,9.071,0.637,-0.012
month,momentum,week,11,0,M:w11-0,2.62,318,6.645,-1.79,-1.025,48.11,5.32,0.532,6.64,-1.794,-0.004
