combo,decide_month,holding_month,picks,spy_fill_w,score_top
RSI10-low,2000-05,2000-06,XLB|XLY|XLK,0.0,30.8419|41.6918|47.4543
RSI10-low,2000-06,2000-07,XLU|XLB|XLF,0.0,30.6589|30.9257|37.9617
RSI10-low,2000-07,2000-08,XLY|XLK|XLU,0.0,31.2897|37.8183|40.9146
RSI10-low,2000-08,2000-09,XLY|XLP|XLB,0.0,32.3713|38.9960|44.6819
RSI10-low,2000-09,2000-10,XLK|XLY|XLB,0.0,30.2286|40.4936|46.2965
RSI10-low,2000-10,2000-11,XLE|XLK|XLF,0.0,45.3910|50.0511|61.4255
RSI10-low,2000-11,2000-12,XLK|XLE|XLV,0.0,27.2033|29.2699|31.4995
RSI10-low,2000-12,2001-01,XLK|XLV|XLU,0.0,34.1210|46.8584|54.0661
RSI10-low,2001-01,2001-02,XLU|XLP|XLV,0.0,45.8361|52.0331|53.6087
RSI10-low,2001-02,2001-03,XLK|XLF|XLE,0.0,23.9476|36.4085|37.3747
RSI10-low,2001-03,2001-04,XLK|XLI|XLB,0.0,36.3654|38.3416|40.3615
RSI10-low,2001-04,2001-05,XLF|XLY|XLK,0.0,57.2847|59.2394|59.6813
RSI10-low,2001-05,2001-06,XLK|XLB|XLY,0.0,37.9833|46.0855|49.5567
RSI10-low,2001-06,2001-07,XLI|XLP|XLE,0.0,28.7419|28.9446|32.3092
RSI10-low,2001-07,2001-08,XLU|XLK|XLI,0.0,47.1305|47.5776|48.7881
RSI10-low,2001-08,2001-09,XLF|XLK|XLY,0.0,26.0385|31.6264|35.1359
RSI10-low,2001-09,2001-10,XLK|XLV|XLI,0.0,34.7896|38.0596|39.5059
RSI10-low,2001-10,2001-11,XLU|XLP|XLI,0.0,29.0546|38.6491|40.9906
RSI10-low,2001-11,2001-12,XLU|XLE|XLF,0.0,26.9045|41.7588|48.8072
RSI10-low,2001-12,2002-01,XLK|XLB|XLP,0.0,42.1223|46.7679|47.0126
RSI10-low,2002-01,2002-02,XLU|XLV|XLK,0.0,37.3489|43.8082|45.0237
RSI10-low,2002-02,2002-03,XLK|XLF|XLU,0.0,34.4303|54.4481|55.4248
RSI10-low,2002-03,2002-04,XLK|XLI|XLY,0.0,45.5210|47.1071|50.3350
RSI10-low,2002-04,2002-05,XLK|XLI|XLP,0.0,34.4296|36.6347|37.4110
RSI10-low,2002-05,2002-06,XLK|XLF|XLE,0.0,38.8747|42.4795|43.4886
RSI10-low,2002-06,2002-07,XLP|XLK|XLY,0.0,24.4246|35.3358|39.2030
RSI10-low,2002-07,2002-08,XLK|XLB|XLY,0.0,45.4245|46.8277|46.9729
RSI10-low,2002-08,2002-09,XLK|XLP|XLI,0.0,42.9901|45.4992|45.8962
RSI10-low,2002-09,2002-10,XLK|XLB|XLI,0.0,27.3145|30.9993|31.1491
RSI10-low,2002-10,2002-11,XLE|XLP|XLV,0.0,46.2634|47.6119|48.3143
RSI10-low,2002-11,2002-12,XLP|XLV|XLF,0.0,43.5689|52.7543|57.0368
RSI10-low,2002-12,2003-01,XLK|XLF|XLY,0.0,34.7806|40.2362|41.9089
RSI10-low,2003-01,2003-02,XLK|XLI|XLB,0.0,34.8238|36.1872|36.2741
RSI10-low,2003-02,2003-03,XLP|XLU|XLB,0.0,37.9844|40.8904|42.1359
RSI10-low,2003-03,2003-04,XLK|XLF|XLP,0.0,39.4045|44.1415|44.4695
RSI10-low,2003-04,2003-05,XLE|XLP|XLK,0.0,45.9047|52.4350|59.9972
RSI10-low,2003-05,2003-06,XLV|XLB|XLI,0.0,55.4417|63.6038|64.2466
RSI10-low,2003-06,2003-07,XLE|XLF|XLB,0.0,37.9264|43.3801|46.3419
RSI10-low,2003-07,2003-08,XLU|XLE|XLV,0.0,35.8698|41.2385|41.5316
RSI10-low,2003-08,2003-09,XLV|XLF|XLU,0.0,39.6575|49.5763|59.7597
RSI10-low,2003-09,2003-10,XLY|XLV|XLB,0.0,31.2695|35.6396|35.7134
RSI10-low,2003-10,2003-11,XLE|XLV|XLU,0.0,46.0545|48.9534|56.5949
RSI10-low,2003-11,2003-12,XLV|XLF|XLK,0.0,53.9455|56.4827|57.3100
RSI10-low,2003-12,2004-01,XLK|XLP|XLI,0.0,66.6683|72.5041|73.4471
RSI10-low,2004-01,2004-02,XLB|XLY|XLI,0.0,40.6601|44.2342|46.3458
RSI10-low,2004-02,2004-03,XLI|XLK|XLV,0.0,39.7296|40.4700|48.2339
RSI10-low,2004-03,2004-04,XLV|XLK|XLF,0.0,48.1084|51.0826|52.0616
RSI10-low,2004-04,2004-05,XLK|XLB|XLF,0.0,31.7553|31.8799|33.2921
RSI10-low,2004-05,2004-06,XLE|XLV|XLP,0.0,50.2095|55.4053|58.9656
RSI10-low,2004-06,2004-07,XLV|XLY|XLP,0.0,46.0257|47.7091|49.2439
RSI10-low,2004-07,2004-08,XLP|XLV|XLY,0.0,22.7800|37.6193|46.1960
RSI10-low,2004-08,2004-09,XLK|XLP|XLY,0.0,45.5935|53.2504|53.6508
RSI10-low,2004-09,2004-10,XLV|XLP|XLF,0.0,35.7701|40.2429|43.1918
RSI10-low,2004-10,2004-11,XLE|XLV|XLB,0.0,49.8504|54.0435|57.2528
RSI10-low,2004-11,2004-12,XLP|XLY|XLU,0.0,38.8542|52.1141|52.1212
RSI10-low,2004-12,2005-01,XLE|XLK|XLI,0.0,52.4622|55.9079|56.6176
RSI10-low,2005-01,2005-02,XLV|XLK|XLY,0.0,41.6646|42.0288|44.2285
RSI10-low,2005-02,2005-03,XLF|XLY|XLP,0.0,42.0804|42.1975|46.6738
RSI10-low,2005-03,2005-04,XLF|XLY|XLB,0.0,36.9802|44.6291|44.8061
RSI10-low,2005-04,2005-05,XLY|XLE|XLB,0.0,34.2448|42.1720|42.8532
RSI10-low,2005-05,2005-06,XLB|XLV|XLP,0.0,46.0277|50.0506|51.6133
RSI10-low,2005-06,2005-07,XLB|XLP|XLI,0.0,34.0602|34.1918|36.9514
RSI10-low,2005-07,2005-08,XLF|XLV|XLI,0.0,48.3935|58.0885|58.8903
RSI10-low,2005-08,2005-09,XLB|XLY|XLI,0.0,37.2372|40.7652|44.5965
RSI10-low,2005-09,2005-10,XLV|XLY|XLF,0.0,41.5894|46.1056|52.7079
RSI10-low,2005-10,2005-11,XLV|XLE|XLU,0.0,45.9340|51.2373|52.3438
RSI10-low,2005-11,2005-12,XLV|XLP|XLE,0.0,42.9290|48.7909|51.4229
