excess_cagr_pp_h1,paired_t_h1,excess_cagr_pp_h2,paired_t_h2,family,combo,direction,score,thresh,note,n_periods,cagr_pct,excess_cagr_pp,paired_t,excess_vs_ew9_pp,paired_t_vs_ew9,vol_ann_pct,maxdd_pct,avg_turnover,spy_fill_months,vbt_cagr_pct,vbt_excess_cagr_pp,vbt_minus_hand_pp,neighbourhood_mean_pp,peak_minus_neighbourhood_pp
0.453,0.261,-4.811,-1.728,rsi,RSI5-high,high,rsi5,,,314,6.35,-2.071,-1.046,-2.74,-1.675,16.699,-54.01,0.6391,0,6.348,-2.072,-0.001,-1.762,-0.309
0.934,0.617,-1.718,-0.649,rsi,RSI5-low,low,rsi5,,,314,8.092,-0.329,-0.129,-0.998,-0.553,16.395,-41.53,0.6614,0,8.083,-0.337,-0.008,-0.54,0.211
0.266,0.172,-3.33,-1.211,rsi,RSI7-high,high,rsi7,,,314,6.969,-1.452,-0.773,-2.121,-1.327,16.261,-57.78,0.6338,0,6.967,-1.454,-0.002,-1.562,0.11
0.265,0.285,-1.869,-0.672,rsi,RSI7-low,low,rsi7,,,314,7.67,-0.751,-0.349,-1.42,-0.775,16.856,-47.22,0.6274,0,7.661,-0.759,-0.008,-0.358,-0.393
0.422,0.201,-2.897,-1.144,rsi,RSI10-high,high,rsi10,,,314,7.259,-1.162,-0.664,-1.831,-1.169,15.657,-56.24,0.6062,0,7.256,-1.165,-0.003,-1.114,-0.048
2.029,1.136,-2.203,-0.893,rsi,RSI10-low,low,rsi10,,,314,8.426,0.005,0.1,-0.664,-0.303,16.471,-48.7,0.6136,0,8.417,-0.004,-0.009,-0.846,0.851
0.993,0.391,-2.613,-1.055,rsi,RSI14-high,high,rsi14,,,314,7.692,-0.729,-0.452,-1.398,-0.915,15.287,-52.39,0.5648,0,7.689,-0.732,-0.003,-1.041,0.312
1.036,0.595,-4.851,-1.842,rsi,RSI14-low,low,rsi14,,,314,6.63,-1.791,-0.989,-2.46,-1.519,16.664,-53.22,0.569,0,6.621,-1.8,-0.009,-1.154,-0.637
0.502,0.173,-3.126,-1.267,rsi,RSI21-high,high,rsi21,,,314,7.19,-1.231,-0.752,-1.9,-1.261,15.181,-51.59,0.5244,0,7.187,-1.234,-0.003,-0.996,-0.235
-0.407,0.004,-3.068,-1.151,rsi,RSI21-low,low,rsi21,,,314,6.745,-1.676,-0.864,-2.345,-1.346,17.507,-59.81,0.5074,0,6.733,-1.688,-0.012,-1.508,-0.168
1.468,0.549,-3.74,-1.497,rsi,RSI30-high,high,rsi30,,,314,7.392,-1.028,-0.646,-1.697,-1.154,14.987,-49.68,0.4713,0,7.388,-1.033,-0.004,-1.126,0.098
-0.363,0.027,-1.821,-0.605,rsi,RSI30-low,low,rsi30,,,314,7.364,-1.057,-0.44,-1.726,-0.904,17.618,-60.75,0.449,0,7.352,-1.069,-0.012,-1.524,0.467
1.046,0.408,-3.477,-1.375,rsi,RSI45-high,high,rsi45,,,314,7.302,-1.119,-0.692,-1.788,-1.19,15.015,-50.78,0.4183,0,7.297,-1.124,-0.005,-1.072,-0.047
-1.038,-0.318,-2.719,-0.789,rsi,RSI45-low,low,rsi45,,,314,6.582,-1.838,-0.817,-2.507,-1.297,18.181,-62.45,0.3938,0,6.571,-1.85,-0.011,-1.29,-0.548
1.034,0.392,-3.363,-1.339,rsi,RSI60-high,high,rsi60,,,314,7.351,-1.07,-0.679,-1.739,-1.159,14.897,-49.51,0.3737,0,7.347,-1.074,-0.004,-1.095,0.025
0.163,0.28,-2.226,-0.582,rsi,RSI60-low,low,rsi60,,,314,7.446,-0.975,-0.282,-1.644,-0.689,18.234,-57.78,0.3567,0,7.434,-0.987,-0.012,-1.407,0.432
-1.489,-0.559,-3.909,-1.524,ma_dist,MAD20-high,high,madist20,,,314,5.778,-2.643,-1.48,-3.312,-2.042,16.375,-61.26,0.6794,0,5.776,-2.645,-0.001,-2.115,-0.528
2.039,1.074,-2.825,-0.849,ma_dist,MAD20-low,low,madist20,,,314,8.13,-0.291,-0.006,-0.96,-0.375,17.033,-46.11,0.6699,0,8.123,-0.298,-0.007,-0.524,0.233
0.249,0.12,-3.595,-1.445,ma_dist,MAD50-high,high,madist50,,,314,6.833,-1.588,-0.939,-2.257,-1.481,15.474,-50.43,0.5287,0,6.831,-1.59,-0.002,-1.658,0.07
0.871,0.673,-2.541,-0.806,ma_dist,MAD50-low,low,madist50,,,314,7.663,-0.758,-0.159,-1.427,-0.558,18.166,-61.77,0.5212,0,7.652,-0.769,-0.01,-0.245,-0.513
0.872,0.312,-2.512,-0.961,ma_dist,MAD100-high,high,madist100,,,314,7.678,-0.743,-0.454,-1.412,-0.895,15.265,-45.21,0.3854,0,7.672,-0.749,-0.006,-0.798,0.055
1.497,0.996,-0.985,-0.13,ma_dist,MAD100-low,low,madist100,,,314,8.736,0.315,0.529,-0.354,0.212,18.637,-60.28,0.3694,0,8.724,0.303,-0.012,-0.222,0.537
1.563,0.555,-1.843,-0.643,ma_dist,MAD150-high,high,madist150,,,314,8.359,-0.062,-0.076,-0.731,-0.438,15.206,-43.87,0.2983,0,8.352,-0.069,-0.007,-0.405,0.343
1.135,0.857,-1.715,-0.395,ma_dist,MAD150-low,low,madist150,,,314,8.198,-0.223,0.242,-0.892,-0.097,18.943,-63.15,0.3121,0,8.188,-0.233,-0.01,-0.365,0.142
2.119,0.714,-3.159,-1.218,ma_dist,MAD200-high,high,madist200,,,314,8.01,-0.411,-0.295,-1.08,-0.689,14.81,-36.89,0.2675,0,8.004,-0.417,-0.006,-0.156,-0.255
0.006,0.373,-2.495,-0.659,ma_dist,MAD200-low,low,madist200,,,314,7.235,-1.186,-0.271,-1.855,-0.649,19.257,-63.55,0.2643,0,7.225,-1.196,-0.01,-0.842,-0.344
2.563,0.892,-2.772,-1.191,ma_dist,MAD250-high,high,madist250,,,314,8.426,0.005,-0.103,-0.664,-0.485,14.489,-38.92,0.2367,0,8.42,-0.001,-0.006,-0.203,0.208
