series,n_both,start_fwd,end_fwd,corr_level,corr_diff,corr_fwd_fwd1,corr_fwd_hp,mean_ey_lag,mean_ey_fwd,mean_premium_pp,pct_fwd_above_lag,cov_fwd_med,lowprec_med
MKT,327,1998-12-31,2026-02-28,0.47910001396052915,0.3986247646868845,0.939086871952146,0.9883234733165571,0.04731603268949345,0.06173329854111496,1.4417265851621504,0.926605504587156,0.988225020246794,0.0829271736433779
XLB,293,2001-09-30,2026-01-31,0.2872369422603519,0.10567577700295265,0.8420416474269488,0.9793846105903795,0.04516315551987853,0.07992417757682087,3.4761022056942323,0.8600682593856656,1.0,0.08076362597700745
XLE,293,2001-09-30,2026-01-31,0.33081040501362435,0.17859690229766978,0.8164740797189273,0.9963859268429287,0.05490173927852025,0.0731209731007866,1.8219233822266343,0.5972696245733788,0.9942917785985206,0.03657894900567635
XLF,293,2001-09-30,2026-01-31,0.2247057029459431,0.261514809488912,0.7743443543811968,0.9509552988328316,0.05362168802997894,0.06722899701781025,1.3607308987831304,0.7781569965870307,0.9644126880853766,0.0245107441748519
XLI,293,2001-09-30,2026-01-31,0.7400666628114024,0.6117146665690584,0.8608632758918818,0.9904637979628697,0.05497112815707233,0.06398695660012046,0.901582844304814,0.9078498293515358,1.0,0.0490090169326567
XLK,293,2001-09-30,2026-01-31,0.8586459585742119,0.6815881662626697,0.9360049058443096,0.9851886405944089,0.04213240217957105,0.05644852952312004,1.4316127343548983,0.9692832764505119,0.9958788187788566,0.06786354297098154
XLP,293,2001-09-30,2026-01-31,0.9332085923149059,0.7830295536924023,0.9450424360391763,0.9676899208398698,0.047242738375127664,0.052846114695043654,0.5603376319915994,0.9283276450511946,0.9939865083466876,0.0388568998450679
XLU,293,2001-09-30,2026-01-31,0.7270161467187745,0.3962306427157366,0.7368451164425152,0.9975755014756117,0.05672923373673949,0.06615528747404116,0.9426053737301667,0.8395904436860068,1.0,0.0700708377509756
XLV,293,2001-09-30,2026-01-31,0.9199033939330034,0.6547338156846575,0.9830650587602939,0.9964090417851778,0.045922939557052136,0.06423490187301942,1.8311962315967274,1.0,0.9967342834823726,0.016394410448423248
XLY,293,2001-09-30,2026-01-31,0.45152398688409173,0.3257931533190175,0.8345464059727467,0.8831323301305928,0.03640970364998765,0.04715722917739957,1.0747525527411907,0.8907849829351536,0.9930157832274096,0.2781434077465447
