month_end,series,n_members,total_mcap,ey_lag,n_lag,ey_fwd,n_fwd,cov_fwd,ey_fwd1,n_fwd1,cov_fwd1,ey_fwd_hp,n_fwd_hp,lowprec_mcap_share
1998-12-31,MKT,217,5304570588659.534,0.03473043120061946,215,0.04484966052376334,1,0.00844471809876883,0.04374859433187152,2,0.010448487397309919,0.04484966052376334,1,0.0
1999-01-31,MKT,217,5586564302503.419,0.03324337542492168,215,0.04925390168881361,2,0.02113812225289923,0.047306569047825896,3,0.02288030571494917,0.04925390168881361,2,0.0
1999-02-28,MKT,217,5441170131630.118,0.036111039231988,215,0.05149111284775146,2,0.020759995879536808,0.049047295944146654,3,0.022657954590654356,0.05149111284775146,2,0.0
1999-03-31,MKT,217,5683267232624.452,0.0352091775680386,216,0.05729615350172526,3,0.02096179268324442,0.05359080452642112,4,0.02267790275264479,0.05729615350172526,3,0.0
1999-04-30,MKT,217,5857457582302.689,0.03484141367153064,216,0.05570712285024064,3,0.021238336802457,0.0523384545330895,3,0.021238336802457,0.05570712285024064,3,0.0
1999-05-31,MKT,219,5729030104894.27,0.03399797091854384,219,0.0592535890568336,3,0.02080803234854882,0.056136764181565386,4,0.02081599218700054,0.0592535890568336,3,0.0
1999-06-30,MKT,222,6054802024545.55,0.03232506519432572,222,0.05929264271898917,3,0.019615486206200815,0.056180460806349544,4,0.019622904875991817,0.05929264271898917,3,0.0
1999-07-31,MKT,224,5876340891239.833,0.03343182741733103,224,0.06204764644631475,4,0.020099037849890724,0.05779052328065079,4,0.020099037849890724,0.06204764644631475,4,0.0
1999-08-31,MKT,224,5987482391546.691,0.034270301488085464,224,0.06836391668909009,4,0.018030512602685476,0.06611559547773402,4,0.018030512602685476,0.06836391668909009,4,0.0
1999-09-30,MKT,224,5768643477137.027,0.03573151576967538,224,0.06902902381620356,4,0.020070831814285088,0.06684335137323198,4,0.020070831814285088,0.06902902381620356,4,0.0
1999-10-31,MKT,227,6061449282241.717,0.034037071430840254,227,0.0658344125984857,5,0.021233466613737068,0.06365532240755196,5,0.021233466613737068,0.0658344125984857,5,0.0
1999-11-30,MKT,229,6077976596234.646,0.03587611885001986,229,0.07093097990697471,5,0.01965419955087767,0.06686445295114549,5,0.01965419955087767,0.07093097990697471,5,0.0
1999-12-31,MKT,230,7021991828540.77,0.03201382671218595,230,0.07635002412167652,6,0.015947028646357792,0.07167288158678548,6,0.015947028646357792,0.07635002412167652,6,0.0
2000-01-31,MKT,230,6586438622325.41,0.0343846527621693,230,0.07943325204969841,6,0.016814304398981832,0.07470377892786478,6,0.016814304398981832,0.07943325204969841,6,0.0
2000-02-29,MKT,230,6473983124655.881,0.037445962527644976,230,0.0921694377175578,6,0.014708120006618235,0.08675446669976615,6,0.014708120006618235,0.0921694377175578,6,0.0
