ticker,joined_on,left_on,candidate_cik,reason
AABA,1999-12-08,2017-06-19,,全文檢索在成分期內找不到印有此代號的 10-K/10-Q
ABC,2001-08-30,2023-08-30,,"全文檢索結果分散,最高票 0000351569 只佔 12/100 (12%),次高 0001174527 9 票——不足以認定"
ACS,2004-04-02,2010-02-08,,"全文檢索結果分散,最高票 0001089511 只佔 22/108 (20%),次高 0001089510 11 票——不足以認定"
ADS,2013-12-23,2020-06-22,,"全文檢索結果分散,最高票 0001604028 只佔 34/100 (34%),次高 0001655971 15 票——不足以認定"
AGN,1996-01-02,2020-05-12,,"全文檢索結果分散,最高票 0001578845 只佔 65/165 (39%),次高 0001620602 65 票——不足以認定"
AKS,2008-07-01,2011-12-19,,"全文檢索結果分散,最高票 0000918160 只佔 54/100 (54%),次高 0000879993 27 票——不足以認定"
ANRZQ,2011-06-02,2012-10-02,,全文檢索在成分期內找不到印有此代號的 10-K/10-Q
ARG,2009-09-09,2016-05-23,,"全文檢索結果分散,最高票 0000804212 只佔 42/102 (41%),次高 0001079297 21 票——不足以認定"
ARNC,1996-01-02,2020-04-06,,"全文檢索結果分散,最高票 0000004281 只佔 7/19 (37%),次高 0000936468 4 票——不足以認定"
ATGE,2009-06-09,2012-10-01,,全文檢索在成分期內找不到印有此代號的 10-K/10-Q
AVP,1996-01-02,2015-03-23,,"全文檢索結果分散,最高票 0001497918 只佔 20/100 (20%),次高 0000841543 16 票——不足以認定"
AYE,2000-12-11,2011-02-28,,"全文檢索結果分散,最高票 0000003673 只佔 21/100 (21%),次高 0000821127 8 票——不足以認定"
BCR,1996-01-02,2017-12-29,,"全文檢索結果分散,最高票 0000009892 只佔 17/100 (17%),次高 0000038067 13 票——不足以認定"
BDK,1996-01-02,2010-03-15,,"全文檢索結果分散,最高票 0001062515 只佔 12/50 (24%),次高 0000077360 11 票——不足以認定"
BEAM,1996-01-02,2014-05-01,,"全文檢索結果分散,最高票 0000789073 只佔 34/101 (34%),次高 0000065770 19 票——不足以認定"
BHGE,1996-01-02,2019-10-18,,"全文檢索結果分散,最高票 0001701605 只佔 18/49 (37%),次高 0000808362 16 票——不足以認定"
BIG,1998-01-20,2013-02-14,,"全文檢索結果分散,最高票 0000012779 只佔 12/101 (12%),次高 0000039047 11 票——不足以認定"
BJS,2002-05-15,2010-04-29,,"全文檢索結果分散,最高票 0000864328 只佔 15/49 (31%),次高 0000818969 5 票——不足以認定"
BK,1996-01-02,2026-05-21,,"全文檢索結果分散,最高票 0000002186 只佔 21/100 (21%),次高 0001618756 17 票——不足以認定"
BMC,1998-10-01,2013-09-11,,"全文檢索結果分散,最高票 0000215310 只佔 34/102 (33%),次高 0000835729 28 票——不足以認定"
BMS,1996-01-02,2014-12-05,,"全文檢索結果分散,最高票 0000014272 只佔 20/100 (20%),次高 0000765258 14 票——不足以認定"
BNI,1996-01-02,2010-02-16,,"全文檢索結果分散,最高票 0000066756 只佔 48/100 (48%),次高 0000934612 11 票——不足以認定"
BTUUQ,2006-11-20,2014-09-22,,全文檢索在成分期內找不到印有此代號的 10-K/10-Q
BXLT,2015-07-01,2016-06-03,,"全文檢索結果分散,最高票 0001620546 只佔 4/8 (50%),次高 0000010456 4 票——不足以認定"
CA,1996-01-02,2018-11-06,,"全文檢索結果分散,最高票 0000357294 只佔 12/100 (12%),次高 0001043509 11 票——不足以認定"
CBE,1996-01-02,2012-12-03,,"全文檢索結果分散,最高票 0001141982 只佔 53/100 (53%),次高 0001403548 21 票——不足以認定"
CCE,1998-10-08,2016-05-31,,"全文檢索結果分散,最高票 0000804055 只佔 22/100 (22%),次高 0001491675 21 票——不足以認定"
CEPH,2008-11-17,2011-10-14,,"全文檢索結果分散,最高票 0000873364 只佔 24/46 (52%),次高 0001362705 9 票——不足以認定"
CERN,2010-04-30,2022-06-08,,"全文檢索結果分散,最高票 0000804753 只佔 29/100 (29%),次高 0000793524 12 票——不足以認定"
CFN,2009-09-01,2015-03-17,,"全文檢索結果分散,最高票 0001175454 只佔 13/56 (23%),次高 0001000209 13 票——不足以認定"
CMA,1996-01-02,2024-06-24,,"全文檢索結果分散,最高票 0001308027 只佔 30/100 (30%),次高 0001339729 20 票——不足以認定"
CMCSK,2015-09-21,2015-12-14,,全文檢索在成分期內找不到印有此代號的 10-K/10-Q
COG,2008-06-23,2021-10-04,,"全文檢索結果分散,最高票 0000025793 只佔 26/101 (26%),次高 0001358071 19 票——不足以認定"
CTL,1999-03-25,2020-09-18,,"全文檢索結果分散,最高票 0001095651 只佔 23/100 (23%),次高 0001604464 10 票——不足以認定"
CVC,2010-12-20,2016-06-21,,"全文檢索結果分散,最高票 0000784681 只佔 23/123 (19%),次高 0001053112 23 票——不足以認定"
CVH,2005-08-30,2013-05-07,,"全文檢索結果分散,最高票 0001054833 只佔 48/96 (50%),次高 0001477294 13 票——不足以認定"
CXO,2016-02-22,2021-01-21,,"全文檢索結果分散,最高票 0001358071 只佔 43/89 (48%),次高 0000945764 6 票——不足以認定"
DAY,2024-02-01,2026-02-09,,"全文檢索結果分散,最高票 0000723612 只佔 17/107 (16%),次高 0000315189 4 票——不足以認定"
DF,2006-04-03,2013-05-24,,"全文檢索結果分散,最高票 0001407739 只佔 13/118 (11%),次高 0000781891 13 票——不足以認定"
DFS,2007-07-02,2025-05-19,,"全文檢索結果分散,最高票 0001393612 只佔 22/100 (22%),次高 0001571996 18 票——不足以認定"
DISH,2017-03-13,2023-06-20,,"全文檢索結果分散,最高票 0001042642 只佔 34/100 (34%),次高 0001001082 23 票——不足以認定"
DO,2009-02-26,2016-10-03,,"全文檢索結果分散,最高票 0000831001 只佔 7/104 (7%),次高 0001267130 7 票——不足以認定"
DRE,2017-07-26,2022-10-03,,"全文檢索結果分散,最高票 0001528760 只佔 20/119 (17%),次高 0000783280 13 票——不足以認定"
DTV,2006-12-04,2015-07-27,,"全文檢索結果分散,最高票 0001465112 只佔 20/100 (20%),次高 0001354513 18 票——不足以認定"
DWDP,2017-09-01,2019-06-03,,"全文檢索結果分散,最高票 0000030554 只佔 6/12 (50%),次高 0001666700 5 票——不足以認定"
EKDKQ,1996-01-02,2010-12-20,,全文檢索在成分期內找不到印有此代號的 10-K/10-Q
FI,2023-06-07,2025-11-11,,"全文檢索結果分散,最高票 0001666071 只佔 10/102 (10%),次高 0001173489 10 票——不足以認定"
FII,2003-04-16,2013-01-02,,"全文檢索結果分散,最高票 0000862831 只佔 38/100 (38%),次高 0001056288 29 票——不足以認定"
FL,1996-01-02,2019-08-09,,"全文檢索結果分散,最高票 0001144980 只佔 16/105 (15%),次高 0000920760 10 票——不足以認定"
FLT,2018-06-20,2024-03-25,,"全文檢索結果分散,最高票 0001175454 只佔 27/100 (27%),次高 0001342958 9 票——不足以認定"
FRC,2019-01-02,2023-05-04,,"全文檢索結果分散,最高票 0000887596 只佔 27/101 (27%),次高 0001341141 20 票——不足以認定"
FRX,2000-11-22,2014-07-01,,"全文檢索結果分散,最高票 0000038074 只佔 54/100 (54%),次高 0000891178 10 票——不足以認定"
GAS,1996-01-02,2016-07-01,,"全文檢索結果分散,最高票 0001103601 只佔 19/213 (9%),次高 0000104819 19 票——不足以認定"
GGP,2007-07-02,2018-08-28,,"全文檢索結果分散,最高票 0001496048 只佔 57/100 (57%),次高 0000895648 27 票——不足以認定"
GMCR,2014-03-24,2016-03-03,,"全文檢索結果分散,最高票 0000021344 只佔 4/12 (33%),次高 0001007019 2 票——不足以認定"
GPS,1996-01-02,2022-02-02,,"全文檢索結果分散,最高票 0000039911 只佔 18/100 (18%),次高 0000100591 16 票——不足以認定"
GR,1996-01-02,2012-07-27,,"全文檢索結果分散,最高票 0001005201 只佔 29/102 (28%),次高 0001088856 28 票——不足以認定"
HAR,2006-02-01,2017-03-13,,"全文檢索結果分散,最高票 0000800459 只佔 37/101 (37%),次高 0000936395 7 票——不足以認定"
HBI,2015-03-23,2021-12-20,,"全文檢索結果分散,最高票 0001359841 只佔 47/100 (47%),次高 0000764065 14 票——不足以認定"
HCP,2008-03-31,2019-11-05,,"全文檢索結果分散,最高票 0000765880 只佔 51/100 (51%),次高 0000927066 16 票——不足以認定"
HES,1996-01-02,2025-07-23,,"全文檢索結果分散,最高票 0000004447 只佔 40/100 (40%),次高 0000876343 21 票——不足以認定"
HFC,2018-06-18,2021-06-04,,"全文檢索結果分散,最高票 0001283140 只佔 20/103 (19%),次高 0000925528 19 票——不足以認定"
HOLX,2016-03-30,2026-04-09,,"全文檢索結果分散,最高票 0000859737 只佔 31/60 (52%),次高 0001511337 12 票——不足以認定"
HRS,1996-01-02,2019-06-01,,"全文檢索結果分散,最高票 0001124887 只佔 37/101 (37%),次高 0001329606 14 票——不足以認定"
HSH,1996-01-02,2012-06-29,,"全文檢索結果分散,最高票 0001262959 只佔 24/101 (24%),次高 0001310383 21 票——不足以認定"
IPG,1996-01-02,2025-11-28,,"全文檢索結果分散,最高票 0001111928 只佔 44/100 (44%),次高 0000051644 14 票——不足以認定"
JAVA,1996-01-02,2010-01-27,,"全文檢索結果分散,最高票 0000853273 只佔 34/100 (34%),次高 0001171838 12 票——不足以認定"
JCP,1996-01-02,2013-12-02,,"全文檢索結果分散,最高票 0000077227 只佔 51/450 (11%),次高 0000053456 48 票——不足以認定"
K,1996-01-02,2025-12-11,,"全文檢索結果分散,最高票 0000357294 只佔 38/100 (38%),次高 0000007332 3 票——不足以認定"
KG,2000-10-03,2010-12-20,,"全文檢索結果分散,最高票 0000896726 只佔 14/126 (11%),次高 0000867773 7 票——不足以認定"
LIFE,2008-11-24,2014-01-24,,"全文檢索結果分散,最高票 0001423739 只佔 2/100 (2%),次高 0001439968 2 票——不足以認定"
LLL,2004-12-01,2019-07-01,,"全文檢索結果分散,最高票 0001039101 只佔 67/159 (42%),次高 0001056239 55 票——不足以認定"
LM,2006-04-24,2016-12-02,,"全文檢索結果分散,最高票 0000704051 只佔 28/100 (28%),次高 0001640384 19 票——不足以認定"
LO,2008-06-11,2015-06-12,,"全文檢索結果分散,最高票 0001122904 只佔 15/101 (15%),次高 0000842694 10 票——不足以認定"
LSI,1996-01-02,2014-05-07,,"全文檢索結果分散,最高票 0000703360 只佔 47/100 (47%),次高 0000763532 38 票——不足以認定"
LXK,1999-08-13,2012-10-01,,"全文檢索結果分散,最高票 0000912061 只佔 17/35 (49%),次高 0001001288 17 票——不足以認定"
MDP,1996-01-02,2011-01-04,,"全文檢索結果分散,最高票 0001014507 只佔 10/101 (10%),次高 0001285785 10 票——不足以認定"
MHS,2003-08-20,2012-04-02,,"全文檢索結果分散,最高票 0001170650 只佔 28/100 (28%),次高 0001022080 16 票——不足以認定"
MI,2002-02-11,2011-07-06,,"全文檢索結果分散,最高票 0000871344 只佔 10/101 (10%),次高 0001166691 9 票——不足以認定"
MIL,1996-01-02,2010-07-15,,"全文檢索結果分散,最高票 0000037996 只佔 10/105 (10%),次高 0000716634 6 票——不足以認定"
MMI,2011-01-04,2012-05-22,,"全文檢索結果分散,最高票 0001481339 只佔 6/90 (7%),次高 0000024545 6 票——不足以認定"
MOLX,1999-12-01,2013-12-09,,"全文檢索結果分散,最高票 0000067472 只佔 22/41 (54%),次高 0000026058 15 票——不足以認定"
MON,2002-08-14,2018-06-07,,"全文檢索結果分散,最高票 0001046578 只佔 50/105 (48%),次高 0001048911 6 票——不足以認定"
MRO,1996-01-02,2024-11-26,,"全文檢索結果分散,最高票 0000703604 只佔 35/100 (35%),次高 0000920354 12 票——不足以認定"
MWV,1996-01-02,2015-07-02,,"全文檢索結果分散,最高票 0001159297 只佔 43/100 (43%),次高 0000311049 15 票——不足以認定"
MWW,2001-06-04,2011-12-19,,"全文檢索結果分散,最高票 0000051644 只佔 18/84 (21%),次高 0001278363 16 票——不足以認定"
MYL,2004-04-23,2020-11-17,,"全文檢索結果分散,最高票 0001434601 只佔 30/113 (27%),次高 0001464305 19 票——不足以認定"
NLSN,2013-07-09,2022-10-12,,"全文檢索結果分散,最高票 0001492633 只佔 30/52 (58%),次高 0001404912 14 票——不足以認定"
NSM,1996-01-02,2011-09-26,,"全文檢索結果分散,最高票 0000003952 只佔 24/100 (24%),次高 0000070530 11 票——不足以認定"
NYX,2007-10-25,2013-11-13,,"全文檢索結果分散,最高票 0001368007 只佔 51/100 (51%),次高 0001089044 18 票——不足以認定"
ODP,1999-06-24,2010-12-20,,"全文檢索結果分散,最高票 0000800240 只佔 19/93 (20%),次高 0001124024 13 票——不足以認定"
PBG,2001-05-14,2010-03-01,,"全文檢索結果分散,最高票 0001076405 只佔 52/100 (52%),次高 0001087835 41 票——不足以認定"
PCP,2007-06-01,2016-02-01,,"全文檢索結果分散,最高票 0001071739 只佔 22/100 (22%),次高 0001294632 11 票——不足以認定"
PDCO,2005-10-11,2018-03-19,,"全文檢索結果分散,最高票 0000891024 只佔 37/100 (37%),次高 0001338042 11 票——不足以認定"
PEAK,2019-11-05,2024-03-04,,"全文檢索結果分散,最高票 0001502377 只佔 23/100 (23%),次高 0001803498 16 票——不足以認定"
PGN,1996-01-02,2012-07-02,,"全文檢索結果分散,最高票 0001094093 只佔 77/228 (34%),次高 0000017797 68 票——不足以認定"
PKI,1996-01-02,2023-05-16,,"全文檢索結果分散,最高票 0000031791 只佔 46/100 (46%),次高 0001034760 24 票——不足以認定"
PTV,1999-11-05,2010-11-17,,"全文檢索結果分散,最高票 0000046989 只佔 25/102 (25%),次高 0001089976 13 票——不足以認定"
PX,1996-01-02,2018-10-31,,"全文檢索結果分散,最高票 0001022911 只佔 22/127 (17%),次高 0001421517 15 票——不足以認定"
QEP,2010-07-01,2015-07-01,,"全文檢索結果分散,最高票 0001108827 只佔 61/106 (58%),次高 0001576044 18 票——不足以認定"
RDC,1996-01-02,2014-08-19,,"全文檢索結果分散,最高票 0000869484 只佔 18/100 (18%),次高 0000085408 16 票——不足以認定"
RE,2017-06-19,2023-07-10,,"全文檢索結果分散,最高票 0001581091 只佔 11/106 (10%),次高 0001630472 8 票——不足以認定"
RRD,1996-01-02,2012-12-12,,"全文檢索結果分散,最高票 0000029669 只佔 53/100 (53%),次高 0001354371 10 票——不足以認定"
RSHCQ,1996-01-02,2011-07-01,,全文檢索在成分期內找不到印有此代號的 10-K/10-Q
RX,1996-11-04,2010-02-26,,"全文檢索結果分散,最高票 0000841543 只佔 38/100 (38%),次高 0001000736 32 票——不足以認定"
S,1996-01-02,2013-07-09,,"全文檢索結果分散,最高票 0000091576 只佔 3/112 (3%),次高 0000069970 2 票——不足以認定"
SATS,2026-03-23,2026-06-24,,"全文檢索結果分散,最高票 0001415404 只佔 9/17 (53%),次高 0002070457 2 票——不足以認定"
SEE,1998-04-01,2023-12-18,,"全文檢索結果分散,最高票 0000101830 只佔 6/100 (6%),次高 0001679420 4 票——不足以認定"
SHLD,2005-03-28,2012-09-05,,"全文檢索結果分散,最高票 0001310067 只佔 21/54 (39%),次高 0000899689 12 票——不足以認定"
SII,2006-10-02,2010-08-27,,"全文檢索結果分散,最高票 0000721083 只佔 28/85 (33%),次高 0001314772 13 票——不足以認定"
STJ,1996-01-02,2017-01-05,,"全文檢索結果分散,最高票 0000203077 只佔 58/100 (58%),次高 0000004281 12 票——不足以認定"
STR,2006-12-01,2010-07-01,,"全文檢索結果分散,最高票 0001473597 只佔 46/100 (46%),次高 0000751652 10 票——不足以認定"
SUNEQ,2007-05-31,2011-12-19,,全文檢索在成分期內找不到印有此代號的 10-K/10-Q
TEG,2007-02-22,2015-06-30,,"全文檢索結果分散,最高票 0000916863 只佔 31/112 (28%),次高 0001415286 18 票——不足以認定"
TIE,2007-10-29,2012-12-24,,"全文檢索結果分散,最高票 0001371534 只佔 36/100 (36%),次高 0000920371 33 票——不足以認定"
TIF,2000-06-21,2021-01-07,,"全文檢索結果分散,最高票 0001337226 只佔 21/101 (21%),次高 0000075679 16 票——不足以認定"
TMK,1996-01-02,2019-08-08,,"全文檢索結果分散,最高票 0001382702 只佔 44/107 (41%),次高 0000320335 15 票——不足以認定"
TSS,2008-01-02,2019-09-23,,"全文檢索結果分散,最高票 0001320760 只佔 47/100 (47%),次高 0001171662 29 票——不足以認定"
TWC,2009-03-30,2016-05-18,,"全文檢索結果分散,最高票 0001377013 只佔 41/100 (41%),次高 0001005757 41 票——不足以認定"
VAR,2007-02-12,2021-04-20,,"全文檢索結果分散,最高票 0001428042 只佔 22/100 (22%),次高 0001428040 18 票——不足以認定"
VIAC,2019-12-05,2022-02-17,,"全文檢索結果分散,最高票 0001527469 只佔 14/48 (29%),次高 0000813828 11 票——不足以認定"
WBA,1996-01-02,2025-08-28,,"全文檢索結果分散,最高票 0001618921 只佔 51/100 (51%),次高 0000084129 19 票——不足以認定"
WIN,2006-07-18,2015-04-07,,"全文檢索結果分散,最高票 0001397966 只佔 19/100 (19%),次高 0001175442 19 票——不足以認定"
WYND,2006-08-01,2018-05-31,,"全文檢索結果分散,最高票 0001101268 只佔 14/27 (52%),次高 0000947429 3 票——不足以認定"
X,1996-01-02,2014-07-02,,"全文檢索結果分散,最高票 0000811785 只佔 30/137 (22%),次高 0001355092 5 票——不足以認定"
XTO,2004-12-29,2010-06-28,,"全文檢索結果分散,最高票 0000868809 只佔 43/100 (43%),次高 0000862022 28 票——不足以認定"
