rank_date,trade_date,n_pool,n_q1,n_q5,r_q1,r_q5,r_pool,ls,to_q1,to_q5,to_pool,spy,xlk
2009-02-27,2009-03-02,236,48,47,0.17105557448691708,0.25364464565581724,0.2064398711986436,-0.08258907116890016,0.5,0.5,0.5,0.15637655716870036,0.17133269711009702
2009-03-31,2009-04-01,315,63,63,0.1756265841978891,0.2155760640767817,0.18769547694110167,-0.03994947987889261,0.26984126984126994,0.30189734267770485,0.25108300510077913,0.08425897045974984,0.08841865942311555
2009-04-30,2009-05-01,327,66,66,0.06255288138940698,0.09278252598469264,0.09614959483064459,-0.030229644595285654,0.11358512909584088,0.10156341772908377,0.08601131881965562,0.07827952989531095,0.038329558324283974
2009-05-29,2009-06-01,330,66,66,-0.018781470070132884,-0.03496733041573051,-0.024773952811171937,0.016185860345597627,0.049076335773035884,0.048876124885711976,0.05204549649395937,-0.020243072034968557,0.012273203217946893
2009-06-30,2009-07-01,337,68,68,0.08769546393749543,0.13575235461838006,0.12091572485574165,-0.04805689068088463,0.05213232057820941,0.06165590454548252,0.0496737836510316,0.0878371486131535,0.091853662807166
2009-07-31,2009-08-03,346,70,69,0.0021896444943665604,0.07401731507013491,0.021206271001647046,-0.07182767057576835,0.06489251726630335,0.055639163880874115,0.055159348591172754,-0.0023897694057080088,-0.018026827358686215
2009-08-31,2009-09-01,366,74,73,0.051361472852438986,0.04035891768227268,0.04620392564210294,0.011002555170166309,0.10297605396053501,0.0765180032659782,0.0640377519316501,0.03253947314177341,0.03646629831161485
2009-09-30,2009-10-01,370,74,74,0.005600017105967478,-0.015559658724613684,-0.007673502209801708,0.021159675830581162,0.04265373236753395,0.03800321599662888,0.036549017955466376,0.013110713713916367,0.023703339129001355
2009-10-30,2009-11-02,376,76,75,0.0663361472539611,0.06479524180846637,0.06813268673940144,0.0015409054454947335,0.045800129358858264,0.045757517870961675,0.041507824073490726,0.06690950055143552,0.06608749067715047
2009-11-30,2009-12-01,400,80,80,0.06042776275012228,0.05484678720562919,0.05671315320049705,0.005580975544493091,0.06928176329734032,0.07041850316239245,0.06751726572931852,0.023720848754505974,0.056722590761857816
2009-12-31,2010-01-04,410,82,82,-0.03371574713980125,-0.007492473836918643,-0.024562998029110474,-0.026223273302882606,0.08495263052553997,0.04040457298216487,0.038754278946080446,-0.03767751200401959,-0.0889558791430749
2010-01-29,2010-02-01,409,82,82,0.050435266220055446,0.03292316937826088,0.04525640748097294,0.017512096841794562,0.04084114127933981,0.04531851684624934,0.03125857376564319,0.02594884489222249,0.03632099818602863
2010-02-26,2010-03-01,413,83,83,0.06197896710057825,0.0752919388533137,0.06810738018358788,-0.01331297175273545,0.37651308949703,0.44507014668600753,0.03468474225790715,0.05715545779816167,0.05295493106733362
2010-03-31,2010-04-01,417,84,84,0.041288135337527454,0.07178379103952606,0.051816889148628406,-0.03049565570199861,0.12288213930896315,0.1386436821385156,0.032822778927561996,0.021647064070103417,0.02818688041500028
