L1,L2,a,b,k,p,theta,cagr,sharpe,maxdd,time_in_market,turnover_yr,death_pass
6,26,0,12,0.5,0.0,0.4,0.12148093691397688,0.4964693976123732,-0.5883007466239081,0.7292073832790446,3.392833876221498,True
6,26,0,12,0.5,0.0,0.5,0.149448800848466,0.5806244117265354,-0.5883007466239081,0.8228013029315961,2.9003257328990224,True
6,26,0,12,0.5,0.0,0.6,0.146628957257964,0.5693435951647561,-0.5883007466239081,0.8321389793702497,2.845602605863192,True
6,26,0,12,0.5,-5.0,0.4,0.12354096911626544,0.5021685840908133,-0.5883007466239081,0.740499457111835,3.1739413680781756,True
6,26,0,12,0.5,-5.0,0.5,0.14801047174748838,0.5737476184629595,-0.5883007466239081,0.8295331161780674,2.9003257328990224,True
6,26,0,12,0.5,-5.0,0.6,0.1455210521898227,0.5638335136614557,-0.5883007466239079,0.8412595005428881,2.8182410423452766,True
6,26,0,12,1.0,0.0,0.4,0.12216859449998729,0.4986520727896671,-0.588300746623908,0.7357220412595006,3.3381107491856676,True
6,26,0,12,1.0,0.0,0.5,0.14369795067180258,0.5565343697838259,-0.6115838944803933,0.8365906623235614,2.9003257328990224,True
6,26,0,12,1.0,0.0,0.6,0.14209858954718446,0.5491912784328128,-0.6115838944803931,0.8483170466883821,2.845602605863192,True
6,26,0,12,1.0,-5.0,0.4,0.12224874877631264,0.4955670292713668,-0.5883007466239081,0.7492942453854506,3.1739413680781756,True
6,26,0,12,1.0,-5.0,0.5,0.14428329733092005,0.5581653343528463,-0.6115838944803934,0.8410423452768729,2.845602605863192,True
6,26,0,12,1.0,-5.0,0.6,0.1430092963788152,0.5520775831448502,-0.6115838944803929,0.855157437567861,2.763517915309446,True
6,26,0,12,1.5,0.0,0.4,0.12529642008920883,0.5090662432126618,-0.5883007466239081,0.7517915309446254,3.0097719869706836,True
6,26,0,12,1.5,0.0,0.5,0.14369795067180258,0.5565343697838259,-0.6115838944803933,0.8365906623235614,2.9003257328990224,True
6,26,0,12,1.5,0.0,0.6,0.14208864061452364,0.5490614489373231,-0.6115838944803931,0.8504885993485342,2.845602605863192,True
6,26,0,12,1.5,-5.0,0.4,0.12447066348141522,0.5033321169876559,-0.588300746623908,0.7608034744842562,2.9550488599348532,True
6,26,0,12,1.5,-5.0,0.5,0.14428329733092005,0.5581653343528463,-0.6115838944803934,0.8410423452768729,2.845602605863192,True
6,26,0,12,1.5,-5.0,0.6,0.14299933951289812,0.5519471557640084,-0.6115838944803931,0.857328990228013,2.763517915309446,True
6,26,3,18,0.5,0.0,0.4,0.12659794582443218,0.5152455384129733,-0.588300746623908,0.7293159609120521,3.1739413680781756,True
6,26,3,18,0.5,0.0,0.5,0.1498396478117956,0.5836396511652312,-0.588300746623908,0.8180238870792617,3.119218241042345,True
6,26,3,18,0.5,0.0,0.6,0.14519512691871816,0.5655427690266871,-0.5883007466239079,0.8295331161780674,3.0644951140065144,True
6,26,3,18,0.5,-5.0,0.4,0.12990785284199524,0.5252841973969532,-0.588300746623908,0.7429967426710098,2.9550488599348532,True
6,26,3,18,0.5,-5.0,0.5,0.14966299337914268,0.580946491342893,-0.588300746623908,0.8271444082519,3.119218241042345,True
6,26,3,18,0.5,-5.0,0.6,0.14408860725767791,0.5600185634839417,-0.5883007466239081,0.8386536373507057,3.037133550488599,True
6,26,3,18,1.0,0.0,0.4,0.1226181665177084,0.49834681427127125,-0.5883007466239081,0.740499457111835,3.228664495114006,True
6,26,3,18,1.0,0.0,0.5,0.14664530463380498,0.568897617445654,-0.588300746623908,0.8295331161780674,2.9550488599348532,True
6,26,3,18,1.0,0.0,0.6,0.142013686577795,0.5510799626041396,-0.5883007466239081,0.8410423452768729,2.9003257328990224,True
6,26,3,18,1.0,-5.0,0.4,0.12393226803313473,0.49981292316309406,-0.588300746623908,0.7564603691639522,3.0644951140065144,True
6,26,3,18,1.0,-5.0,0.5,0.14849303905649758,0.5747441084937315,-0.5883007466239081,0.8363735070575461,2.9003257328990224,True
6,26,3,18,1.0,-5.0,0.6,0.14292432570799019,0.5539810917281385,-0.5883007466239081,0.8478827361563518,2.8182410423452766,True
6,26,3,18,1.5,0.0,0.4,0.12726250920977078,0.5148460841921471,-0.5883007466239081,0.7517915309446254,3.0097719869706836,True
6,26,3,18,1.5,0.0,0.5,0.14521666802396083,0.56350537433915,-0.5883007466239079,0.8319218241042345,2.9003257328990224,True
6,26,3,18,1.5,0.0,0.6,0.14059082062701278,0.5457338990536124,-0.5883007466239081,0.8434310532030401,2.845602605863192,True
6,26,3,18,1.5,-5.0,0.4,0.12767333213570287,0.513584171647421,-0.5883007466239081,0.7631921824104234,2.9550488599348532,True
6,26,3,18,1.5,-5.0,0.5,0.14706210030401978,0.5693581233847927,-0.5883007466239079,0.8387622149837134,2.845602605863192,True
6,26,3,18,1.5,-5.0,0.6,0.14150032516711764,0.5486381175253922,-0.5883007466239079,0.850271444082519,2.763517915309446,True
6,26,6,24,0.5,0.0,0.4,0.12065380045274643,0.49594809519026795,-0.5883007466239079,0.7198697068403909,3.0644951140065144,True
6,26,6,24,0.5,0.0,0.5,0.14806992071428615,0.5772441186488079,-0.588300746623908,0.8158523344191096,3.119218241042345,True
6,26,6,24,0.5,0.0,0.6,0.14757004199592627,0.5731323414310138,-0.5883007466239079,0.8320304017372421,3.0644951140065144,True
6,26,6,24,0.5,-5.0,0.4,0.12388536691670193,0.5060031423520457,-0.5883007466239079,0.7335504885993486,2.9550488599348532,True
6,26,6,24,0.5,-5.0,0.5,0.1498576671204792,0.5829010717956851,-0.5883007466239081,0.8226927252985885,3.1739413680781756,True
6,26,6,24,0.5,-5.0,0.6,0.14848511175136192,0.5760279460409404,-0.5883007466239079,0.8388707926167209,2.9824104234527686,True
6,26,6,24,1.0,0.0,0.4,0.11809771418932291,0.4818502676147754,-0.5883007466239081,0.7336590662323561,3.228664495114006,True
6,26,6,24,1.0,0.0,0.5,0.14861804794481404,0.5785826712051801,-0.5883007466239079,0.8226927252985885,3.119218241042345,True
