family,kind,base,direction,axis,label,excess_ew9_pp,neighbourhood_mean_pp,t_ew9
A,p,abs,低,12,A-p12-abs-低,-1.28,-0.804,-0.613
A,p,abs,低,24,A-p24-abs-低,-0.329,-0.592,-0.229
A,p,abs,低,36,A-p36-abs-低,-0.167,-0.085,-0.163
A,p,abs,低,48,A-p48-abs-低,0.242,-0.043,0.036
A,p,abs,低,60,A-p60-abs-低,-0.204,-0.18,-0.253
A,p,abs,低,84,A-p84-abs-低,-0.579,-0.352,-0.5
A,p,abs,低,120,A-p120-abs-低,-0.273,-0.426,-0.342
A,z,abs,低,12,A-z12-abs-低,-0.463,-1.002,-0.262
A,z,abs,低,24,A-z24-abs-低,-1.541,-0.678,-0.938
A,z,abs,低,36,A-z36-abs-低,-0.031,-0.592,-0.106
A,z,abs,低,48,A-z48-abs-低,-0.204,-0.166,-0.24
A,z,abs,低,60,A-z60-abs-低,-0.262,-0.423,-0.268
A,z,abs,低,84,A-z84-abs-低,-0.803,-0.482,-0.667
A,z,abs,低,120,A-z120-abs-低,-0.38,-0.592,-0.415
A,p,abs,高,12,A-p12-abs-高,-1.272,-1.031,-0.627
A,p,abs,高,24,A-p24-abs-高,-0.79,-0.901,-0.364
A,p,abs,高,36,A-p36-abs-高,-0.641,-0.055,-0.37
A,p,abs,高,48,A-p48-abs-高,1.266,0.655,0.78
A,p,abs,高,60,A-p60-abs-高,1.34,0.975,0.869
A,p,abs,高,84,A-p84-abs-高,0.318,0.369,0.154
A,p,abs,高,120,A-p120-abs-高,-0.552,-0.117,-0.382
A,z,abs,高,12,A-z12-abs-高,-1.529,-1.575,-0.801
A,z,abs,高,24,A-z24-abs-高,-1.62,-1.306,-0.917
A,z,abs,高,36,A-z36-abs-高,-0.768,-0.94,-0.463
A,z,abs,高,48,A-z48-abs-高,-0.433,-0.424,-0.301
A,z,abs,高,60,A-z60-abs-高,-0.072,0.089,-0.115
A,z,abs,高,84,A-z84-abs-高,0.772,0.224,0.421
A,z,abs,高,120,A-z120-abs-高,-0.027,0.372,-0.103
A,p,rel,低,12,A-p12-rel-低,-1.154,-0.875,-0.508
A,p,rel,低,24,A-p24-rel-低,-0.596,-0.266,-0.297
A,p,rel,低,36,A-p36-rel-低,0.953,0.506,0.604
A,p,rel,低,48,A-p48-rel-低,1.162,0.965,0.735
A,p,rel,低,60,A-p60-rel-低,0.779,0.85,0.473
A,p,rel,低,84,A-p84-rel-低,0.608,0.414,0.347
A,p,rel,低,120,A-p120-rel-低,-0.146,0.231,-0.272
