window,arm,direction,bar,rsi_kind,style,n_cells,best_params,best_exc_spy,best_t_spy,nb_med,fam_med_exc,fam_p10_exc,pct_positive,pct_t_gt2,med_pre13,med_post13,pct_pos_pre13,pct_pos_post13,med_h1,med_h2,nbr_min_exc,verdict
ey_lag全期,ey_lag,買便宜,1M,simple,乙,240,"E=40,X=65,H=3",1.8153,1.46,331.0,0.5877,-0.4435,0.7875,0.0,2.8193,-1.9477,0.9958,0.0,2.7591,-1.7801,1.1405,平原
ey_lag全期,ey_lag,買便宜,1M,simple,甲,9,"N=2,H=2",2.3779,1.51,331.0,0.4533,-0.8352,0.6667,0.0,0.9521,-0.5144,0.7778,0.3333,0.5978,-0.3723,0.4533,平原
ey_lag全期,ey_lag,買便宜,1M,wilder,乙,240,"E=20,X=80,H=1",2.1085,1.46,331.0,0.7322,-1.5898,0.6583,0.0,2.6346,-1.751,0.9083,0.0458,2.5923,-1.6366,1.6138,平原
ey_lag全期,ey_lag,買便宜,1M,wilder,甲,9,"N=1,H=2",4.1425,1.75,331.0,1.9567,0.4284,1.0,0.1111,4.3457,-0.7022,1.0,0.4444,4.2053,-0.4962,3.7248,平原
ey_lag全期,ey_lag,買便宜,3M,simple,乙,160,"E=25,X=75,H=1",1.3921,0.907,110.0,0.0663,-0.4778,0.5312,0.0,0.9575,-1.0452,0.9625,0.0938,0.72,-0.7227,0.7296,孤峰
ey_lag全期,ey_lag,買便宜,3M,simple,甲,6,"N=2,H=1",4.5307,2.085,110.0,2.3936,2.0945,1.0,0.1667,2.6905,2.5694,1.0,1.0,2.3832,2.8327,2.2871,平原
ey_lag全期,ey_lag,買便宜,3M,wilder,乙,160,"E=10,X=90,H=2",1.7877,0.991,110.0,-0.1677,-1.7258,0.4062,0.0,0.7659,-1.3233,0.7875,0.1875,0.5494,-1.0566,0.2044,孤峰
ey_lag全期,ey_lag,買便宜,3M,wilder,甲,6,"N=1,H=1",3.9287,1.441,110.0,2.5548,1.7142,1.0,0.0,2.7656,2.0001,1.0,1.0,2.4829,2.1639,2.6857,平原
ey_lag全期,ey_lag,買貴,1M,simple,乙,240,"E=5,X=95,H=3",0.9254,0.623,331.0,-2.1364,-3.5424,0.0167,0.0,-0.3298,-4.0442,0.3917,0.0,-0.4389,-3.8392,-1.3517,孤峰
ey_lag全期,ey_lag,買貴,1M,simple,甲,9,"N=2,H=3",-1.3524,-0.243,331.0,-3.4742,-5.4557,0.0,0.0,-0.8573,-6.0699,0.4444,0.0,-1.0737,-5.5888,-4.2204,無峰
ey_lag全期,ey_lag,買貴,1M,wilder,乙,240,"E=40,X=95,H=1",-0.2352,-0.158,331.0,-2.5142,-4.586,0.0,0.0,-1.5318,-3.2578,0.125,0.0,-1.5688,-3.1524,-0.7,無峰
ey_lag全期,ey_lag,買貴,1M,wilder,甲,9,"N=3,H=3",-1.1782,-0.528,331.0,-3.3822,-6.1455,0.0,0.0,-2.7723,-4.0227,0.1111,0.0,-2.697,-4.1058,-3.3697,無峰
ey_lag全期,ey_lag,買貴,3M,simple,乙,160,"E=35,X=55,H=2",-0.4005,-0.094,110.0,-1.7655,-2.7435,0.0,0.0,-1.1778,-2.6144,0.1875,0.0,-1.1559,-2.5385,-1.0062,無峰
ey_lag全期,ey_lag,買貴,3M,simple,甲,6,"N=2,H=2",0.7647,0.658,110.0,-0.9743,-3.8845,0.1667,0.0,0.7936,-3.6312,0.8333,0.0,0.6742,-3.3034,-1.5536,孤峰
ey_lag全期,ey_lag,買貴,3M,wilder,乙,160,"E=15,X=95,H=1",-0.3858,-0.183,110.0,-1.9916,-4.6199,0.0,0.0,-1.5152,-2.7527,0.1437,0.0,-1.434,-2.6833,-0.9267,無峰
ey_lag全期,ey_lag,買貴,3M,wilder,甲,6,"N=2,H=1",-1.2038,-0.295,110.0,-1.6461,-2.0696,0.0,0.0,0.4873,-3.6087,0.6667,0.0,0.5813,-3.5998,-2.0877,無峰
主窗,ey_fwd,買便宜,1M,simple,乙,240,"E=40,X=70,H=2",4.4634,2.805,277.0,2.2847,1.6324,1.0,0.2083,5.7912,0.1101,1.0,0.5208,4.4109,0.4469,3.7866,平原
主窗,ey_fwd,買便宜,1M,simple,甲,9,"N=1,H=2",8.3916,2.887,277.0,2.7024,-0.0324,0.7778,0.1111,2.7888,0.4923,1.0,0.6667,2.0445,0.9612,3.3544,平原
主窗,ey_fwd,買便宜,1M,wilder,乙,240,"E=5,X=90,H=3",7.6474,3.182,277.0,3.0162,1.6707,0.9917,0.4542,5.9856,1.0621,1.0,0.7333,4.1192,1.727,4.3044,平原
主窗,ey_fwd,買便宜,1M,wilder,甲,9,"N=1,H=2",9.2843,2.674,277.0,4.4272,2.3743,1.0,0.3333,4.433,4.2989,1.0,1.0,3.7692,5.1152,6.0344,平原
主窗,ey_fwd,買便宜,3M,simple,乙,160,"E=25,X=95,H=1",4.9328,2.244,92.0,3.6852,3.0959,1.0,0.0688,5.7258,2.3577,1.0,0.9875,4.6494,2.6949,3.8958,平原
主窗,ey_fwd,買便宜,3M,simple,甲,6,"N=1,H=2",7.9405,2.343,92.0,5.8903,4.3391,1.0,0.6667,11.0091,2.5777,1.0,0.8333,9.573,2.9836,6.6102,平原
主窗,ey_fwd,買便宜,3M,wilder,乙,160,"E=10,X=85,H=1",5.2329,1.715,92.0,2.6355,-0.713,0.8875,0.05,4.7883,1.2826,1.0,0.7438,2.6179,3.3188,-1.1504,孤峰
主窗,ey_fwd,買便宜,3M,wilder,甲,6,"N=1,H=2",8.982,2.196,92.0,7.0637,5.1774,1.0,0.8333,10.4349,4.874,1.0,1.0,8.7635,5.3199,7.9992,平原
主窗,ey_fwd,買貴,1M,simple,乙,240,"E=15,X=80,H=3",-0.908,-0.602,277.0,-3.8074,-5.9468,0.0,0.0,-2.4062,-4.7036,0.1458,0.0,-2.3933,-5.1691,-2.5796,無峰
主窗,ey_fwd,買貴,1M,simple,甲,9,"N=3,H=3",-3.137,-1.504,277.0,-6.284,-9.625,0.0,0.0,-3.6008,-8.3511,0.0,0.0,-3.2626,-9.3536,-5.2074,無峰
主窗,ey_fwd,買貴,1M,wilder,乙,240,"E=35,X=95,H=1",-1.6338,-1.744,277.0,-6.0962,-11.217,0.0,0.0,-6.005,-5.9564,0.0,0.0,-5.158,-6.6923,-2.4193,無峰
主窗,ey_fwd,買貴,1M,wilder,甲,9,"N=3,H=3",-4.0671,-2.333,277.0,-8.1817,-11.1261,0.0,0.0,-9.1029,-8.3316,0.0,0.0,-7.6358,-9.1246,-7.0612,無峰
主窗,ey_fwd,買貴,3M,simple,乙,160,"E=35,X=90,H=1",-3.0536,-2.384,92.0,-4.857,-6.3308,0.0,0.0,-6.2943,-3.643,0.0,0.0,-5.4431,-3.9294,-3.287,無峰
主窗,ey_fwd,買貴,3M,simple,甲,6,"N=1,H=2",-5.5577,-1.594,92.0,-6.6768,-7.3739,0.0,0.0,-2.5512,-9.8861,0.0,0.0,-3.1203,-9.6941,-6.7998,無峰
主窗,ey_fwd,買貴,3M,wilder,乙,160,"E=25,X=95,H=1",-1.5679,-1.764,92.0,-4.156,-7.4011,0.0,0.0,-5.1408,-3.6664,0.0,0.0,-4.3014,-4.0073,-1.9859,無峰
主窗,ey_fwd,買貴,3M,wilder,甲,6,"N=3,H=2",-4.9872,-2.669,92.0,-7.0911,-11.8544,0.0,0.0,-4.767,-9.3499,0.0,0.0,-4.9742,-9.3841,-6.6769,無峰
主窗,ey_fwd1,買便宜,1M,simple,乙,240,"E=5,X=85,H=1",2.4755,1.32,277.0,1.6286,1.0642,1.0,0.0,2.4138,0.8784,1.0,0.9458,2.6024,0.564,2.1171,平原
主窗,ey_fwd1,買便宜,1M,simple,甲,9,"N=2,H=2",2.1248,1.168,277.0,1.1922,-1.6223,0.6667,0.0,0.8272,1.7031,0.5556,0.6667,0.1146,1.904,0.5998,平原
主窗,ey_fwd1,買便宜,1M,wilder,乙,240,"E=30,X=70,H=1",3.5458,2.185,277.0,1.1877,-2.1025,0.7958,0.0167,2.8022,-0.0723,0.8667,0.475,2.5323,-0.2061,2.6057,平原
主窗,ey_fwd1,買便宜,1M,wilder,甲,9,"N=1,H=2",7.0452,2.431,277.0,2.0752,0.7374,1.0,0.2222,3.5293,2.1304,1.0,0.7778,2.2406,2.009,2.1277,平原
主窗,ey_fwd1,買便宜,3M,simple,乙,160,"E=10,X=60,H=1",2.7877,1.403,92.0,1.0638,0.0814,0.9062,0.0,1.6121,0.6286,0.8938,0.7,1.1526,0.7289,1.2551,平原
主窗,ey_fwd1,買便宜,3M,simple,甲,6,"N=1,H=2",2.4689,1.152,92.0,1.3592,-0.4999,0.8333,0.0,1.0675,0.6568,0.6667,0.8333,1.0856,0.4222,2.0083,平原
主窗,ey_fwd1,買便宜,3M,wilder,乙,160,"E=30,X=55,H=2",3.2075,1.642,92.0,0.098,-3.8945,0.525,0.0,2.1353,-1.3599,0.675,0.2188,0.4215,-1.2643,0.8115,孤峰
主窗,ey_fwd1,買便宜,3M,wilder,甲,6,"N=1,H=2",9.3316,2.821,92.0,3.0747,1.4035,1.0,0.3333,3.8452,3.0093,1.0,0.8333,3.4651,3.2221,5.8343,平原
主窗,ey_fwd1,買貴,1M,simple,乙,240,"E=5,X=70,H=3",-0.3721,-0.238,277.0,-1.6231,-2.7614,0.0,0.0,1.1372,-3.7504,0.8042,0.0,0.4317,-3.8441,-0.9006,無峰
主窗,ey_fwd1,買貴,1M,simple,甲,9,"N=1,H=3",-1.0639,-0.076,277.0,-2.8406,-6.3213,0.0,0.0,0.6833,-6.6928,0.6667,0.0,0.8998,-7.2474,-1.2664,無峰
主窗,ey_fwd1,買貴,1M,wilder,乙,240,"E=40,X=90,H=3",-0.0746,-0.083,277.0,-2.6791,-7.5033,0.0,0.0,-1.3375,-3.8967,0.2667,0.0,-1.4625,-4.0017,-1.2001,無峰
主窗,ey_fwd1,買貴,1M,wilder,甲,9,"N=3,H=3",-1.4138,-0.86,277.0,-4.0739,-6.4062,0.0,0.0,-1.7414,-4.2157,0.1111,0.0,-2.1886,-4.8565,-2.0544,無峰
主窗,ey_fwd1,買貴,3M,simple,乙,160,"E=15,X=70,H=2",-0.224,-0.146,92.0,-2.3173,-4.191,0.0,0.0,0.4647,-4.055,0.6125,0.0,0.1816,-4.4036,-3.4235,無峰
主窗,ey_fwd1,買貴,3M,simple,甲,6,"N=3,H=2",-2.8371,-1.518,92.0,-4.0459,-5.4657,0.0,0.0,0.4429,-7.3125,0.6667,0.0,-0.5476,-7.4342,-4.1042,無峰
主窗,ey_fwd1,買貴,3M,wilder,乙,160,"E=30,X=80,H=2",-0.7827,-0.647,92.0,-2.4272,-9.4458,0.0,0.0,-0.4153,-4.0807,0.4375,0.0,-0.5771,-4.4555,-1.9299,無峰
主窗,ey_fwd1,買貴,3M,wilder,甲,6,"N=3,H=2",-2.4246,-1.349,92.0,-3.7645,-5.0168,0.0,0.0,0.0267,-6.1345,0.5,0.0,-0.7475,-6.8366,-2.817,無峰
主窗,ey_fwd_hp,買便宜,1M,simple,乙,240,"E=15,X=90,H=1",4.6359,2.472,277.0,2.2172,1.0197,1.0,0.1042,4.655,0.4525,1.0,0.6375,3.4872,0.793,4.345,平原
主窗,ey_fwd_hp,買便宜,1M,simple,甲,9,"N=1,H=2",5.1359,1.998,277.0,2.8478,-0.3552,0.6667,0.0,3.8393,1.5462,1.0,0.6667,2.9859,2.2572,3.5193,平原
主窗,ey_fwd_hp,買便宜,1M,wilder,乙,240,"E=5,X=90,H=1",7.0481,3.193,277.0,1.9721,0.7883,0.95,0.1333,4.3742,0.0161,0.9917,0.5042,2.9294,1.331,2.5284,平原
主窗,ey_fwd_hp,買便宜,1M,wilder,甲,9,"N=1,H=2",6.7498,2.234,277.0,3.2607,1.7598,1.0,0.2222,4.4461,3.1642,0.8889,0.8889,3.5773,3.7584,5.0463,平原
主窗,ey_fwd_hp,買便宜,3M,simple,乙,160,"E=25,X=90,H=1",3.1082,1.455,92.0,1.0087,-0.6227,0.8,0.0,2.9705,-0.3432,0.9875,0.3937,2.1794,-0.0622,1.646,平原
主窗,ey_fwd_hp,買便宜,3M,simple,甲,6,"N=1,H=2",6.6366,2.106,92.0,3.0824,1.961,1.0,0.1667,7.9162,-0.2354,1.0,0.5,7.5617,0.0036,4.5996,平原
主窗,ey_fwd_hp,買便宜,3M,wilder,乙,160,"E=30,X=65,H=2",4.2703,1.733,92.0,0.7181,-4.4833,0.6875,0.0,3.2935,-1.4344,0.9,0.275,1.3609,-0.2128,-0.3518,孤峰
主窗,ey_fwd_hp,買便宜,3M,wilder,甲,6,"N=2,H=2",5.8565,1.995,92.0,5.0199,3.82,1.0,0.0,8.0908,2.75,1.0,1.0,6.4867,3.2572,3.3718,平原
主窗,ey_fwd_hp,買貴,1M,simple,乙,240,"E=30,X=85,H=3",-1.4132,-1.061,277.0,-3.5332,-5.3805,0.0,0.0,-1.0952,-5.3188,0.275,0.0,-1.1278,-5.9243,-1.7393,無峰
主窗,ey_fwd_hp,買貴,1M,simple,甲,9,"N=3,H=3",-1.4743,-0.813,277.0,-5.64,-7.4401,0.0,0.0,-3.5189,-7.3942,0.0,0.0,-3.256,-7.7267,-4.0113,無峰
主窗,ey_fwd_hp,買貴,1M,wilder,乙,240,"E=35,X=95,H=1",-1.1115,-1.214,277.0,-4.0993,-11.3098,0.0,0.0,-2.683,-5.3281,0.1292,0.0,-2.5788,-5.8421,-1.6703,無峰
主窗,ey_fwd_hp,買貴,1M,wilder,甲,9,"N=2,H=3",-4.1387,-2.009,277.0,-7.0132,-9.5651,0.0,0.0,-6.7012,-8.2028,0.0,0.0,-6.2107,-8.8882,-6.9684,無峰
主窗,ey_fwd_hp,買貴,3M,simple,乙,160,"E=35,X=70,H=2",-0.9307,-0.669,92.0,-2.864,-4.8324,0.0,0.0,-2.9615,-2.7475,0.0,0.0,-2.511,-3.022,-3.3032,無峰
主窗,ey_fwd_hp,買貴,3M,simple,甲,6,"N=3,H=1",-4.2415,-2.47,92.0,-4.8982,-6.1925,0.0,0.0,-2.5316,-6.8669,0.0,0.0,-3.4735,-6.0377,-5.4593,無峰
主窗,ey_fwd_hp,買貴,3M,wilder,乙,160,"E=40,X=95,H=1",-1.2986,-1.529,92.0,-3.2402,-6.9405,0.0,0.0,-3.513,-3.339,0.0125,0.0,-3.1008,-3.7058,-1.7636,無峰
主窗,ey_fwd_hp,買貴,3M,wilder,甲,6,"N=3,H=1",-4.2298,-2.514,92.0,-6.7288,-9.3315,0.0,0.0,-4.5427,-9.1148,0.0,0.0,-4.5103,-9.1427,-6.5412,無峰
主窗,ey_lag,買便宜,1M,simple,乙,240,"E=25,X=55,H=1",1.4665,0.944,277.0,0.0481,-0.9875,0.5167,0.0,2.522,-1.9477,0.95,0.0,1.5354,-1.6809,0.7725,孤峰
