arm,bar,rsi_kind,style,best_params,best_exc_spy,best_t_spy,nb_min,nb_med,drop_med,family_med_exc,family_p10_exc,pct_positive,pct_t_gt2,pct_pos_h1,pct_pos_h2,med_h1,med_h2,n_cells
mult,1D,simple,乙,"E=20,X=95,H=10",-0.479,-0.359,-1.635,-0.876,0.397,-3.919,-6.343,0.0,0.0,56.0,0.0,0.206,-7.944,400
mult,1D,wilder,乙,"E=5,X=95,H=10",1.98,1.185,0.387,0.762,1.218,-1.236,-3.648,15.5,0.0,91.2,0.8,2.881,-5.521,400
price,1D,simple,乙,"E=20,X=90,H=10",-0.266,-0.156,-1.37,-0.649,0.383,-2.935,-5.47,0.0,0.0,72.0,0.0,0.935,-6.7,400
price,1D,wilder,乙,"E=15,X=80,H=10",2.039,1.139,-0.264,-0.135,2.174,-1.237,-3.404,11.2,0.0,91.5,0.2,2.633,-5.35,400
mult,3D,simple,乙,"E=30,X=90,H=1",0.213,0.12,-0.994,-0.421,0.635,-1.997,-3.468,1.7,0.0,92.1,0.0,1.607,-6.068,240
mult,3D,wilder,乙,"E=30,X=85,H=3",1.787,1.175,0.281,0.997,0.79,-0.43,-2.323,31.2,0.0,89.2,1.7,2.484,-3.678,240
price,3D,simple,乙,"E=30,X=95,H=1",-0.716,-0.262,-1.646,-1.321,0.605,-3.017,-4.481,0.0,0.0,74.2,0.0,1.177,-7.748,240
price,3D,wilder,乙,"E=40,X=55,H=1",0.53,0.287,-0.421,-0.195,0.725,-1.96,-4.641,5.8,0.0,64.2,0.0,0.966,-4.748,240
mult,1W,simple,乙,"E=35,X=75,H=3",2.904,1.773,1.48,2.003,0.902,0.705,-0.368,75.6,0.0,94.4,15.6,2.764,-1.314,320
mult,1W,wilder,乙,"E=10,X=85,H=4",3.126,1.831,0.977,2.067,1.058,-0.688,-2.645,33.4,0.0,69.7,7.5,1.168,-2.637,320
price,1W,simple,乙,"E=5,X=60,H=1",3.56,1.473,2.401,3.095,0.465,0.406,-0.768,65.6,0.0,99.7,10.0,2.667,-2.324,320
price,1W,wilder,乙,"E=15,X=85,H=4",1.24,0.695,-0.354,-0.036,1.276,-1.158,-3.89,15.9,0.0,63.1,3.4,0.628,-2.981,320
mult,1M,simple,乙,"E=25,X=50,H=1",3.354,2.096,2.207,2.739,0.615,1.835,1.166,100.0,3.8,100.0,2.5,5.203,-1.797,240
mult,1M,wilder,乙,"E=15,X=60,H=3",3.769,2.174,2.364,2.58,1.189,1.77,0.777,98.8,7.5,99.6,19.2,4.043,-0.858,240
mult_raw,1M,simple,乙,"E=25,X=75,H=3",1.156,1.017,0.586,0.764,0.391,0.17,-0.831,60.0,0.0,99.6,0.0,2.585,-2.368,240
mult_raw,1M,wilder,乙,"E=20,X=80,H=1",2.186,1.593,0.712,1.809,0.376,0.844,-1.445,71.7,0.0,94.2,4.2,3.134,-1.597,240
price,1M,simple,乙,"E=40,X=65,H=3",1.106,0.718,0.121,0.555,0.551,-2.256,-3.845,9.2,0.0,29.6,1.2,-1.225,-3.616,240
price,1M,wilder,乙,"E=30,X=95,H=1",1.923,1.487,0.674,0.938,0.985,-2.488,-5.703,13.8,0.0,32.5,3.8,-1.004,-3.724,240
mult,3M,simple,乙,"E=35,X=50,H=2",3.701,1.975,1.997,2.154,1.547,1.515,0.697,100.0,0.6,100.0,34.4,3.19,-0.396,160
mult,3M,wilder,乙,"E=25,X=50,H=1",3.025,1.464,1.181,1.237,1.788,0.749,-3.963,70.6,0.0,96.9,11.2,2.633,-1.525,160
mult_raw,3M,simple,乙,"E=10,X=65,H=1",1.767,0.961,1.113,1.468,0.299,0.56,0.068,91.2,0.0,100.0,2.5,2.792,-1.979,160
mult_raw,3M,wilder,乙,"E=25,X=50,H=1",2.398,1.252,1.055,1.83,0.568,0.246,-2.489,59.4,0.0,100.0,8.8,2.176,-2.078,160
price,3M,simple,乙,"E=40,X=65,H=1",0.492,0.36,-1.617,-0.59,1.083,-2.864,-4.392,0.6,0.0,67.5,2.5,0.768,-6.461,160
price,3M,wilder,乙,"E=30,X=95,H=1",1.621,0.869,-0.167,1.275,0.346,-3.061,-7.473,10.0,0.0,43.8,8.8,-0.432,-5.763,160
mult,1D,simple,甲,"N=1,H=5",2.682,1.128,-1.396,0.495,2.188,-2.47,-11.384,33.3,0.0,66.7,0.0,2.46,-8.671,15
mult,1D,wilder,甲,"N=1,H=5",2.911,1.189,-0.5,-0.166,3.077,-0.753,-7.372,20.0,0.0,80.0,0.0,2.06,-6.524,15
price,1D,simple,甲,"N=1,H=5",1.451,0.805,-0.733,-0.487,1.938,-2.317,-11.733,6.7,0.0,80.0,0.0,2.325,-10.202,15
price,1D,wilder,甲,"N=1,H=5",0.868,0.669,-2.298,-0.85,1.717,-1.893,-7.655,13.3,0.0,73.3,0.0,1.72,-7.963,15
mult,3D,simple,甲,"N=1,H=1",0.321,0.406,-2.53,-1.685,2.006,-0.154,-1.63,33.3,0.0,100.0,0.0,2.111,-3.959,9
mult,3D,wilder,甲,"N=3,H=1",1.387,0.85,0.938,1.059,0.328,0.159,-2.077,66.7,0.0,100.0,11.1,2.574,-2.234,9
price,3D,simple,甲,"N=1,H=1",0.742,0.593,-1.31,-1.297,2.039,-1.31,-1.996,11.1,0.0,88.9,0.0,2.442,-4.788,9
price,3D,wilder,甲,"N=2,H=1",0.912,0.604,-0.468,-0.421,1.334,-0.468,-4.363,33.3,0.0,77.8,0.0,3.507,-4.616,9
mult,1W,simple,甲,"N=2,H=4",2.546,1.316,-0.392,1.78,0.766,-0.325,-1.59,41.7,0.0,83.3,16.7,1.09,-1.636,12
mult,1W,wilder,甲,"N=3,H=4",0.464,0.462,-1.602,-0.993,1.457,-1.502,-3.288,8.3,0.0,58.3,0.0,1.16,-3.275,12
price,1W,simple,甲,"N=2,H=4",2.459,1.305,-0.263,0.914,1.546,-0.107,-1.529,50.0,0.0,91.7,0.0,2.405,-2.63,12
price,1W,wilder,甲,"N=2,H=4",0.505,0.534,-2.276,-1.593,2.099,-1.485,-2.46,8.3,0.0,83.3,0.0,0.829,-3.447,12
mult,1M,simple,甲,"N=1,H=1",6.019,2.588,3.825,3.994,2.025,3.288,1.426,88.9,33.3,100.0,44.4,5.827,-0.318,9
mult,1M,wilder,甲,"N=1,H=2",5.192,2.159,3.592,4.137,1.056,3.341,1.885,100.0,33.3,100.0,44.4,6.351,-0.418,9
mult_raw,1M,simple,甲,"N=2,H=1",1.311,0.964,-1.09,0.14,1.171,0.14,-0.775,77.8,0.0,100.0,0.0,2.969,-3.071,9
mult_raw,1M,wilder,甲,"N=3,H=3",1.823,1.289,1.072,1.13,0.693,0.776,0.295,88.9,0.0,100.0,11.1,3.359,-2.136,9
