bar,rsi_kind,pair,sector,n,pearson,spearman,mean_abs_diff
1D,wilder,mult|price,XLB,6259,0.8963,0.8939,4.944
1D,wilder,mult|price,XLE,5728,0.9162,0.9143,3.964
1D,wilder,mult|price,XLF,6132,0.928,0.9275,3.522
1D,wilder,mult|price,XLI,6513,0.9274,0.9265,3.702
1D,wilder,mult|price,XLK,6278,0.9196,0.9184,4.205
1D,wilder,mult|price,XLP,6513,0.9159,0.915,4.318
1D,wilder,mult|price,XLU,6513,0.934,0.9333,3.294
1D,wilder,mult|price,XLV,6513,0.9347,0.9337,3.458
1D,wilder,mult|price,XLY,6320,0.9037,0.9015,4.782
1D,simple,mult|price,XLB,6259,0.9469,0.9547,2.604
1D,simple,mult|price,XLE,5728,0.9521,0.9572,2.325
1D,simple,mult|price,XLF,6132,0.9503,0.9553,2.405
1D,simple,mult|price,XLI,6513,0.9493,0.9548,2.455
1D,simple,mult|price,XLK,6278,0.947,0.9532,2.627
1D,simple,mult|price,XLP,6513,0.938,0.9449,2.987
1D,simple,mult|price,XLU,6513,0.9622,0.9662,1.966
1D,simple,mult|price,XLV,6513,0.9594,0.9637,2.116
1D,simple,mult|price,XLY,6320,0.9399,0.9481,2.923
3D,wilder,mult|price,XLB,2085,0.779,0.7735,11.273
3D,wilder,mult|price,XLE,1905,0.8064,0.8043,9.078
3D,wilder,mult|price,XLF,2042,0.8712,0.8702,7.313
3D,wilder,mult|price,XLI,2171,0.8677,0.8672,7.881
3D,wilder,mult|price,XLK,2091,0.837,0.8325,9.322
3D,wilder,mult|price,XLP,2171,0.8375,0.8319,9.684
3D,wilder,mult|price,XLU,2171,0.8563,0.8561,7.6
3D,wilder,mult|price,XLV,2171,0.8678,0.8659,7.483
3D,wilder,mult|price,XLY,2105,0.8068,0.8024,10.486
3D,simple,mult|price,XLB,2085,0.8499,0.8727,7.329
3D,simple,mult|price,XLE,1905,0.874,0.8892,6.238
3D,simple,mult|price,XLF,2042,0.8944,0.9017,5.576
3D,simple,mult|price,XLI,2171,0.8955,0.9034,5.572
3D,simple,mult|price,XLK,2091,0.8686,0.8813,6.991
3D,simple,mult|price,XLP,2171,0.8634,0.87,7.527
3D,simple,mult|price,XLU,2171,0.8984,0.9086,5.118
3D,simple,mult|price,XLV,2171,0.8967,0.9033,5.489
3D,simple,mult|price,XLY,2105,0.8643,0.8829,7.159
1W,wilder,mult|price,XLB,1297,0.6812,0.6764,15.307
1W,wilder,mult|price,XLE,1185,0.7463,0.7447,11.748
1W,wilder,mult|price,XLF,1270,0.8371,0.8354,9.301
1W,wilder,mult|price,XLI,1351,0.8206,0.8215,10.363
1W,wilder,mult|price,XLK,1299,0.8204,0.8145,11.491
1W,wilder,mult|price,XLP,1351,0.7915,0.788,12.25
1W,wilder,mult|price,XLU,1351,0.8138,0.8111,9.964
1W,wilder,mult|price,XLV,1351,0.8317,0.8286,9.617
1W,wilder,mult|price,XLY,1309,0.7482,0.7367,13.411
1W,simple,mult|price,XLB,1297,0.7709,0.7974,11.163
1W,simple,mult|price,XLE,1185,0.8242,0.8428,8.83
1W,simple,mult|price,XLF,1270,0.865,0.8762,7.341
1W,simple,mult|price,XLI,1351,0.8668,0.8768,7.606
1W,simple,mult|price,XLK,1299,0.8429,0.853,9.087
1W,simple,mult|price,XLP,1351,0.8166,0.8272,10.601
1W,simple,mult|price,XLU,1351,0.8457,0.8616,7.867
1W,simple,mult|price,XLV,1351,0.8727,0.8816,7.259
1W,simple,mult|price,XLY,1309,0.7968,0.8138,10.836
1M,wilder,mult|price,XLB,296,0.4345,0.3972,25.415
1M,wilder,mult|price,XLE,267,0.4009,0.4143,26.211
1M,wilder,mult|price,XLF,288,0.6421,0.653,20.439
1M,wilder,mult|price,XLI,310,0.6351,0.6307,20.329
1M,wilder,mult|price,XLK,296,0.6538,0.6475,20.707
1M,wilder,mult|price,XLP,310,0.7027,0.686,18.265
1M,wilder,mult|price,XLU,310,0.6238,0.6036,19.357
1M,wilder,mult|price,XLV,310,0.714,0.7041,17.91
1M,wilder,mult|price,XLY,299,0.5086,0.5067,23.798
1M,wilder,mult_raw|price,XLB,296,0.3912,0.3655,26.607
1M,wilder,mult_raw|price,XLE,267,0.4662,0.4901,24.509
1M,wilder,mult_raw|price,XLF,288,0.6521,0.6604,19.378
1M,wilder,mult_raw|price,XLI,310,0.6307,0.6343,21.268
1M,wilder,mult_raw|price,XLK,296,0.6608,0.6554,20.228
1M,wilder,mult_raw|price,XLP,310,0.6694,0.6547,19.486
1M,wilder,mult_raw|price,XLU,310,0.5879,0.5578,20.728
1M,wilder,mult_raw|price,XLV,310,0.6762,0.6729,18.984
1M,wilder,mult_raw|price,XLY,299,0.5391,0.5367,23.702
1M,wilder,mult_raw|mult,XLB,295,0.7011,0.7014,16.96
1M,wilder,mult_raw|mult,XLE,264,0.8109,0.8048,13.842
1M,wilder,mult_raw|mult,XLF,286,0.7716,0.7786,14.378
1M,wilder,mult_raw|mult,XLI,310,0.7902,0.7949,14.486
1M,wilder,mult_raw|mult,XLK,295,0.8595,0.87,11.07
1M,wilder,mult_raw|mult,XLP,310,0.8007,0.7983,13.774
1M,wilder,mult_raw|mult,XLU,310,0.7829,0.7843,13.553
1M,wilder,mult_raw|mult,XLV,310,0.7693,0.7642,14.515
1M,wilder,mult_raw|mult,XLY,298,0.7944,0.7941,14.232
1M,simple,mult|price,XLB,296,0.436,0.4204,28.069
1M,simple,mult|price,XLE,267,0.5388,0.572,24.108
1M,simple,mult|price,XLF,288,0.6437,0.6655,20.821
1M,simple,mult|price,XLI,310,0.6477,0.6649,20.672
1M,simple,mult|price,XLK,296,0.6891,0.7143,20.194
1M,simple,mult|price,XLP,310,0.6888,0.6874,19.341
1M,simple,mult|price,XLU,310,0.6824,0.7003,18.634
1M,simple,mult|price,XLV,310,0.7076,0.7184,18.023
1M,simple,mult|price,XLY,299,0.5383,0.5443,24.891
1M,simple,mult_raw|price,XLB,296,0.3962,0.4043,30.05
1M,simple,mult_raw|price,XLE,267,0.5751,0.6147,22.053
1M,simple,mult_raw|price,XLF,288,0.7064,0.7178,18.013
1M,simple,mult_raw|price,XLI,310,0.6133,0.6269,22.135
1M,simple,mult_raw|price,XLK,296,0.648,0.6701,20.938
1M,simple,mult_raw|price,XLP,310,0.6563,0.6573,20.879
1M,simple,mult_raw|price,XLU,310,0.6217,0.6302,20.331
1M,simple,mult_raw|price,XLV,310,0.6664,0.6982,19.48
1M,simple,mult_raw|price,XLY,299,0.5654,0.5693,24.791
1M,simple,mult_raw|mult,XLB,295,0.4462,0.4399,29.671
1M,simple,mult_raw|mult,XLE,264,0.6269,0.6219,22.602
1M,simple,mult_raw|mult,XLF,286,0.6643,0.6733,21.21
1M,simple,mult_raw|mult,XLI,310,0.6683,0.6626,20.994
1M,simple,mult_raw|mult,XLK,295,0.759,0.7408,17.383
1M,simple,mult_raw|mult,XLP,310,0.7148,0.6908,19.665
1M,simple,mult_raw|mult,XLU,310,0.665,0.6521,20.795
1M,simple,mult_raw|mult,XLV,310,0.6757,0.6737,20.462
1M,simple,mult_raw|mult,XLY,298,0.6412,0.6624,21.861
3M,wilder,mult|price,XLB,97,0.2708,0.198,30.458
3M,wilder,mult|price,XLE,84,0.0383,0.0607,37.998
3M,wilder,mult|price,XLF,92,0.421,0.4516,29.706
3M,wilder,mult|price,XLI,103,0.4984,0.523,26.638
3M,wilder,mult|price,XLK,98,0.6233,0.624,23.913
3M,wilder,mult|price,XLP,103,0.5297,0.4831,25.968
3M,wilder,mult|price,XLU,103,0.5014,0.4427,25.455
3M,wilder,mult|price,XLV,103,0.7129,0.7013,19.392
3M,wilder,mult|price,XLY,98,0.2667,0.3285,32.774
3M,wilder,mult_raw|price,XLB,97,0.1901,0.1502,33.47
3M,wilder,mult_raw|price,XLE,85,-0.0572,-0.0219,42.34
3M,wilder,mult_raw|price,XLF,96,0.3773,0.4298,31.849
3M,wilder,mult_raw|price,XLI,103,0.4796,0.4809,27.05
3M,wilder,mult_raw|price,XLK,97,0.5408,0.576,28.257
3M,wilder,mult_raw|price,XLP,103,0.5331,0.4917,25.676
3M,wilder,mult_raw|price,XLU,103,0.4496,0.3952,27.36
3M,wilder,mult_raw|price,XLV,103,0.6637,0.6609,21.245
3M,wilder,mult_raw|price,XLY,98,0.2917,0.3664,34.269
3M,wilder,mult_raw|mult,XLB,96,0.9006,0.9086,8.376
3M,wilder,mult_raw|mult,XLE,84,0.9281,0.8902,8.106
3M,wilder,mult_raw|mult,XLF,92,0.9221,0.9179,6.167
3M,wilder,mult_raw|mult,XLI,103,0.8719,0.8697,8.604
3M,wilder,mult_raw|mult,XLK,97,0.8786,0.851,10.531
3M,wilder,mult_raw|mult,XLP,103,0.9009,0.8976,8.243
3M,wilder,mult_raw|mult,XLU,103,0.8738,0.8692,8.922
3M,wilder,mult_raw|mult,XLV,103,0.9007,0.9015,8.33
3M,wilder,mult_raw|mult,XLY,97,0.9436,0.9369,7.354
3M,simple,mult|price,XLB,97,0.3749,0.3612,32.052
3M,simple,mult|price,XLE,84,0.1615,0.1214,39.161
3M,simple,mult|price,XLF,92,0.5203,0.547,29.117
3M,simple,mult|price,XLI,103,0.5181,0.5307,28.6
3M,simple,mult|price,XLK,98,0.5499,0.5282,27.305
3M,simple,mult|price,XLP,103,0.5224,0.4884,27.041
3M,simple,mult|price,XLU,103,0.5026,0.5095,27.22
3M,simple,mult|price,XLV,103,0.6245,0.6288,22.245
3M,simple,mult|price,XLY,98,0.4336,0.4633,30.39
3M,simple,mult_raw|price,XLB,97,0.3286,0.289,33.963
3M,simple,mult_raw|price,XLE,85,0.1084,0.0875,41.704
3M,simple,mult_raw|price,XLF,96,0.4443,0.4493,31.829
3M,simple,mult_raw|price,XLI,103,0.4826,0.4877,29.944
3M,simple,mult_raw|price,XLK,97,0.5171,0.4837,30.101
3M,simple,mult_raw|price,XLP,103,0.4823,0.4572,28.032
3M,simple,mult_raw|price,XLU,103,0.4945,0.4767,28.977
3M,simple,mult_raw|price,XLV,103,0.5526,0.5312,26.012
3M,simple,mult_raw|price,XLY,98,0.4669,0.52,28.695
3M,simple,mult_raw|mult,XLB,96,0.8827,0.8558,9.186
3M,simple,mult_raw|mult,XLE,84,0.9483,0.9388,6.494
3M,simple,mult_raw|mult,XLF,92,0.9174,0.9085,7.556
3M,simple,mult_raw|mult,XLI,103,0.8848,0.8741,10.858
3M,simple,mult_raw|mult,XLK,97,0.7894,0.8054,13.699
3M,simple,mult_raw|mult,XLP,103,0.8481,0.8392,11.264
3M,simple,mult_raw|mult,XLU,103,0.8388,0.8315,10.555
3M,simple,mult_raw|mult,XLV,103,0.8776,0.8676,10.368
3M,simple,mult_raw|mult,XLY,97,0.8132,0.7862,12.948
