版本,臂,分期,成本bp,年化,最大回撤,年換手
A版 攤薄股數,D1 只做多(A版 攤薄股數),全期,0.0,0.17146,-0.4241,3.784
A版 攤薄股數,D1 只做多(A版 攤薄股數),全期,15.0,0.16484,-0.4247,3.784
A版 攤薄股數,D1 只做多(A版 攤薄股數),全期,25.0,0.16044,-0.4251,3.784
A版 攤薄股數,D1 只做多(A版 攤薄股數),全期,50.0,0.14951,-0.426,3.784
A版 攤薄股數,D10 只做多(A版 攤薄股數),全期,0.0,0.13707,-0.3897,3.721
A版 攤薄股數,D10 只做多(A版 攤薄股數),全期,15.0,0.13074,-0.3901,3.721
A版 攤薄股數,D10 只做多(A版 攤薄股數),全期,25.0,0.12654,-0.3903,3.721
A版 攤薄股數,D10 只做多(A版 攤薄股數),全期,50.0,0.1161,-0.3909,3.721
A版 攤薄股數,D1-D10 長短(A版 攤薄股數),全期,0.0,0.01248,-0.1642,3.752
A版 攤薄股數,D1-D10 長短(A版 攤薄股數),全期,15.0,0.0068,-0.1757,3.752
A版 攤薄股數,D1-D10 長短(A版 攤薄股數),全期,25.0,0.00303,-0.1847,3.752
A版 攤薄股數,D1-D10 長短(A版 攤薄股數),全期,50.0,-0.00635,-0.2199,3.752
A版 攤薄股數,同池等權,全期,0.0,0.14132,-0.3959,0.981
A版 攤薄股數,同池等權,全期,15.0,0.13964,-0.3959,0.981
A版 攤薄股數,同池等權,全期,25.0,0.13853,-0.396,0.981
A版 攤薄股數,同池等權,全期,50.0,0.13574,-0.396,0.981
A版 攤薄股數,SPY,全期,0.0,0.14123,-0.3372,0.0
A版 攤薄股數,SPY,全期,15.0,0.14123,-0.3372,0.0
A版 攤薄股數,SPY,全期,25.0,0.14123,-0.3372,0.0
A版 攤薄股數,SPY,全期,50.0,0.14123,-0.3372,0.0
A版 攤薄股數,XLK,全期,0.0,0.20162,-0.3356,0.0
A版 攤薄股數,XLK,全期,15.0,0.20162,-0.3356,0.0
A版 攤薄股數,XLK,全期,25.0,0.20162,-0.3356,0.0
A版 攤薄股數,XLK,全期,50.0,0.20162,-0.3356,0.0
A版 攤薄股數,D1 只做多(A版 攤薄股數),2010-2016,0.0,0.17071,-0.2388,3.77
A版 攤薄股數,D1 只做多(A版 攤薄股數),2010-2016,15.0,0.16411,-0.2426,3.77
A版 攤薄股數,D1 只做多(A版 攤薄股數),2010-2016,25.0,0.15973,-0.2452,3.77
