pid,role,symbol,base_year,data_basis,latest_fy_readable,revenue_latest,revenue_growth_yoy,revenue_growth_prior_yoy,revenue_accelerating,gross_margin,gross_margin_prior,gross_margin_direction,net_income_latest,net_income_positive,net_income_improving,cfo_latest,cfo_positive,diluted_shares_latest,dilution_yoy,dilution_prior_yoy,liabilities_over_assets,equity_latest,cash_latest,lt_debt_latest,net_debt,net_debt_over_equity,cash_over_annual_burn,price_used_for_mcap,cumulative_split_factor_after_base_year,split_factor_applied_to_shares,market_cap_at_base_year_end,ps_ratio,analyst_revision_direction,institutional_ownership_change
P01,winner,BE,2023,strict_filed,2022,1199125000,0.2334,0.224,True,0.1237,0.2032,-0.0795,-315086000,False,False,-191723000,False,185907000.0,0.0719,0.2503,0.8054,340777000,518366000.0,385556000.0,-132810000.0,-0.3897,2.7,14.800000190734863,1.0,1.0,2751423635.0,2.2945,NOT_AVAILABLE: no free source of point-in-time consensus history for these years,NOT_AVAILABLE: yfinance exposes only a current snapshot; historical 13F aggregation not built
P01,loser,PLUG,2023,strict_filed,2022,701440000,0.3963,-6.3878,True,-0.2771,-0.341,0.0639,-724008000,False,False,-828623000,False,579716708.0,0.0386,0.5733,0.2956,4060214000,690630000.0,9000000.0,-681630000.0,-0.1679,0.83,4.5,1.0,1.0,2608725186.0,3.7191,NOT_AVAILABLE: no free source of point-in-time consensus history for these years,NOT_AVAILABLE: yfinance exposes only a current snapshot; historical 13F aggregation not built
P02,winner,AMD,2015,strict_filed,2014,5506000000,0.0391,-0.0227,True,0.334,0.3733,-0.0393,-403000000,False,False,-98000000,False,768000000.0,0.0186,0.0175,,187000000,805000000.0,2025000000.0,1220000000.0,6.5241,8.21,2.869999885559082,1.0,1.0,2204159912.0,0.4003,NOT_AVAILABLE: no free source of point-in-time consensus history for these years,NOT_AVAILABLE: yfinance exposes only a current snapshot; historical 13F aggregation not built
P02,loser,INTC,2015,strict_filed,2014,55870000000,0.06,-0.0119,True,0.6374,0.598,0.0394,11704000000,True,True,20418000000,True,5056000000.0,-0.008,-0.0122,,55865000000,2561000000.0,12107000000.0,9546000000.0,0.1709,,34.45000076293945,1.0,1.0,174179203857.0,3.1176,NOT_AVAILABLE: no free source of point-in-time consensus history for these years,NOT_AVAILABLE: yfinance exposes only a current snapshot; historical 13F aggregation not built
P03,winner,ANF,2020,strict_filed,2020,3623073000,0.0092,0.0279,False,0.5937,0.6016,-0.0079,44960000,True,False,300685000,True,65778000.0,-0.0486,-0.0038,,1058810000,671267000.0,231963000.0,-439304000.0,-0.4149,,20.360000610351562,1.0,1.0,1339240120.0,0.3696,NOT_AVAILABLE: no free source of point-in-time consensus history for these years,NOT_AVAILABLE: yfinance exposes only a current snapshot; historical 13F aggregation not built
P03,loser,GAP,2020,strict_filed,2020,16383000000,-0.0119,0.0457,False,0.3744,0.3813,-0.0069,351000000,True,False,1411000000,True,378000000.0,-0.0258,-0.0202,,3316000000,1364000000.0,1249000000.0,-115000000.0,-0.0347,,20.190000534057617,1.0,1.0,7631820202.0,0.4658,NOT_AVAILABLE: no free source of point-in-time consensus history for these years,NOT_AVAILABLE: yfinance exposes only a current snapshot; historical 13F aggregation not built
P04,winner,AR,2020,strict_filed,2019,4408690000,0.065,0.1324,False,,,,-293136000,False,False,1103458000,True,306400000.0,-0.0305,-0.0008,0.5413,6970743000,28441000.0,3758868000.0,3730427000.0,0.5352,,5.449999809265137,1.0,1.0,1669879942.0,0.3788,NOT_AVAILABLE: no free source of point-in-time consensus history for these years,NOT_AVAILABLE: yfinance exposes only a current snapshot; historical 13F aggregation not built
P04,loser,CRK,2020,strict_filed,2019,768689000,2.0106,,,,,,96889000,True,True,451237000,True,187378000.0,11.7955,-0.6854,0.6731,1143022000,18532000.0,2500132000.0,2481600000.0,2.1711,,4.369999885559082,1.0,1.0,818841839.0,1.0652,NOT_AVAILABLE: no free source of point-in-time consensus history for these years,NOT_AVAILABLE: yfinance exposes only a current snapshot; historical 13F aggregation not built
P05,winner,BLDR,2011,period_public,2010,700343000,0.0331,,,0.1881,0.2101,-0.022,-95508000,False,False,-41720000,False,91676000.0,,,0.6136,159505000,103234000.0,163801000.0,60567000.0,0.3797,2.47,2.0399999618530273,1.0,1.0,187019037.0,0.267,NOT_AVAILABLE: no free source of point-in-time consensus history for these years,NOT_AVAILABLE: yfinance exposes only a current snapshot; historical 13F aggregation not built
P05,loser,BZH,2011,strict_filed,2011,742405000,-0.251,0.0304,False,0.0648,0.0844,-0.0196,-204859000,False,False,-178936000,False,,,,0.8997,198380000,,,,,,,0.2,0.2,,,NOT_AVAILABLE: no free source of point-in-time consensus history for these years,NOT_AVAILABLE: yfinance exposes only a current snapshot; historical 13F aggregation not built
