base_year,horizon_years,n_names,median_peak_multiple,share_ge_2x,n_ge_2x,share_ge_3x,n_ge_3x,share_ge_5x,n_ge_5x,share_ge_10x,n_ge_10x
2011,3,320,1.78,0.3156,101,0.0344,11,0.0063,2,0.0,0
2011,5,320,2.06,0.5344,171,0.1437,46,0.0156,5,0.0,0
2011,10,320,3.25,0.7781,249,0.5406,173,0.2906,93,0.0656,21
2012,3,329,1.67,0.2523,83,0.0334,11,0.003,1,0.0,0
2012,5,329,2.01,0.5046,166,0.1307,43,0.0243,8,0.003,1
2012,10,329,2.96,0.7599,250,0.4894,161,0.2219,73,0.0395,13
2013,3,334,1.35,0.0509,17,0.006,2,0.003,1,0.0,0
2013,5,334,1.66,0.2784,93,0.0539,18,0.009,3,0.003,1
2013,10,334,2.4,0.6048,202,0.3503,117,0.1138,38,0.021,7
2014,3,339,1.35,0.0737,25,0.0059,2,0.0029,1,0.0029,1
2014,5,339,1.53,0.2537,86,0.0531,18,0.0059,2,0.0029,1
2014,10,339,2.27,0.5752,195,0.3481,118,0.1209,41,0.0236,8
2015,3,351,1.52,0.1453,51,0.0171,6,0.0028,1,0.0,0
2015,5,351,1.73,0.3561,125,0.114,40,0.0228,8,0.0028,1
2015,10,351,2.58,0.6695,235,0.4046,142,0.1481,52,0.0342,12
2016,3,366,1.45,0.1366,50,0.0082,3,0.0,0,0.0,0
2016,5,366,1.77,0.4044,148,0.1776,65,0.0273,10,0.0027,1
2017,3,376,1.31,0.1064,40,0.0186,7,0.0027,1,0.0,0
2017,5,376,1.62,0.3112,117,0.0798,30,0.008,3,0.0027,1
2018,3,385,1.7,0.3351,129,0.0779,30,0.0104,4,0.0,0
2018,5,386,1.85,0.4404,170,0.1192,46,0.0285,11,0.0026,1
2019,3,399,1.46,0.1404,56,0.0175,7,0.0025,1,0.0,0
2019,5,399,1.68,0.3108,124,0.1003,40,0.015,6,0.0025,1
2020,3,410,1.41,0.0878,36,0.0244,10,0.0,0,0.0,0
2020,5,410,1.63,0.3171,130,0.1049,43,0.0195,8,0.0024,1
2021,3,418,1.2,0.0789,33,0.0215,9,0.0,0,0.0,0
2022,3,429,1.43,0.2051,88,0.0559,24,0.0233,10,0.0023,1
