metric,label,n_pairs_with_both,n_tied,n_differing,n_agreeing,hit_rate_of_differing,p_sign_test_two_sided
ps_ratio,price / sales at base-year end (lower is cheaper),9,0,9,7,0.78,0.18
market_cap_at_base_year_end,market cap at base-year end (smaller base),9,0,9,3,0.33,0.508
revenue_accel,revenue growth minus prior-year growth (acceleration),6,0,6,2,0.33,0.688
gross_margin_direction,gross margin direction YoY,6,0,6,2,0.33,0.688
net_debt_over_equity,net debt / equity (lower is better),6,0,6,4,0.67,0.688
revenue_latest,revenue scale at base-year end (smaller base),10,0,10,5,0.5,1.0
revenue_growth_yoy,"revenue growth, latest readable FY",9,0,9,5,0.56,1.0
dilution_yoy,share count growth (lower is better),9,0,9,4,0.44,1.0
liabilities_over_assets,liabilities / assets (lower is better),8,0,8,4,0.5,1.0
gross_margin,gross margin level,7,0,7,4,0.57,1.0
net_income_positive,profitable on net income,10,7,3,1,0.33,1.0
cfo_positive,operating cash flow positive,10,7,3,2,0.67,1.0
