arm,horizon,start_year,n_names,median_peak_multiple,n_ge_2x,share_ge_2x,n_ge_3x,share_ge_3x,n_ge_5x,share_ge_5x,n_ge_10x,share_ge_10x
A_best_month_in_year,3y,2009,531,2.647,411,0.774,206,0.3879,80,0.1507,17,0.032
A_best_month_in_year,3y,2010,543,2.132,329,0.6059,78,0.1436,19,0.035,3,0.0055
A_best_month_in_year,3y,2011,552,2.221,366,0.663,120,0.2174,35,0.0634,5,0.0091
A_best_month_in_year,3y,2012,566,2.185,347,0.6131,118,0.2085,29,0.0512,7,0.0124
A_best_month_in_year,3y,2013,579,1.867,235,0.4059,65,0.1123,15,0.0259,5,0.0086
A_best_month_in_year,3y,2014,591,1.75,185,0.313,45,0.0761,9,0.0152,4,0.0068
A_best_month_in_year,3y,2015,605,1.948,282,0.4661,78,0.1289,26,0.043,7,0.0116
A_best_month_in_year,3y,2016,618,2.073,343,0.555,100,0.1618,31,0.0502,10,0.0162
A_best_month_in_year,3y,2017,624,1.815,244,0.391,83,0.133,33,0.0529,14,0.0224
A_best_month_in_year,3y,2018,637,2.132,355,0.5573,142,0.2229,55,0.0863,24,0.0377
A_best_month_in_year,3y,2019,650,2.151,376,0.5785,157,0.2415,59,0.0908,19,0.0292
A_best_month_in_year,3y,2020,668,2.478,499,0.747,237,0.3548,93,0.1392,33,0.0494
A_best_month_in_year,3y,2021,692,1.731,255,0.3685,88,0.1272,22,0.0318,4,0.0058
A_best_month_in_year,3y,2022,695,2.033,358,0.5151,175,0.2518,78,0.1122,30,0.0432
A_best_month_in_year,3y,2023,699,2.011,352,0.5036,166,0.2375,100,0.1431,40,0.0572
A_best_month_in_year,5y,2009,531,3.72,486,0.9153,363,0.6836,172,0.3239,43,0.081
A_best_month_in_year,5y,2010,543,2.917,464,0.8545,255,0.4696,69,0.1271,11,0.0203
A_best_month_in_year,5y,2011,552,2.837,457,0.8279,238,0.4312,63,0.1141,9,0.0163
A_best_month_in_year,5y,2012,566,2.809,460,0.8127,241,0.4258,64,0.1131,11,0.0194
A_best_month_in_year,5y,2013,579,2.503,423,0.7306,198,0.342,55,0.095,13,0.0225
A_best_month_in_year,5y,2014,591,2.234,369,0.6244,140,0.2369,35,0.0592,9,0.0152
A_best_month_in_year,5y,2015,605,2.443,400,0.6612,192,0.3174,79,0.1306,20,0.0331
A_best_month_in_year,5y,2016,618,2.822,471,0.7621,277,0.4482,114,0.1845,34,0.055
A_best_month_in_year,5y,2017,624,2.506,431,0.6907,228,0.3654,88,0.141,29,0.0465
A_best_month_in_year,5y,2018,637,2.501,453,0.7111,214,0.3359,87,0.1366,29,0.0455
A_best_month_in_year,5y,2019,650,2.505,470,0.7231,247,0.38,104,0.16,26,0.04
A_best_month_in_year,5y,2020,668,3.222,572,0.8563,367,0.5494,175,0.262,58,0.0868
A_best_month_in_year,5y,2021,689,2.188,402,0.5835,215,0.312,88,0.1277,31,0.045
B_january_only,3y,2009,527,2.277,326,0.6186,138,0.2619,46,0.0873,10,0.019
B_january_only,3y,2010,532,1.734,174,0.3271,31,0.0583,7,0.0132,0,0.0
B_january_only,3y,2011,543,1.706,158,0.291,32,0.0589,7,0.0129,0,0.0
B_january_only,3y,2012,552,1.903,233,0.4221,54,0.0978,12,0.0217,2,0.0036
B_january_only,3y,2013,568,1.758,188,0.331,52,0.0915,9,0.0158,4,0.007
B_january_only,3y,2014,579,1.565,94,0.1623,17,0.0294,4,0.0069,2,0.0035
B_january_only,3y,2015,592,1.635,156,0.2635,29,0.049,9,0.0152,5,0.0084
B_january_only,3y,2016,605,1.91,263,0.4347,79,0.1306,22,0.0364,4,0.0066
B_january_only,3y,2017,618,1.647,175,0.2832,43,0.0696,13,0.021,5,0.0081
B_january_only,3y,2018,625,1.501,136,0.2176,52,0.0832,22,0.0352,11,0.0176
B_january_only,3y,2019,637,1.88,285,0.4474,105,0.1648,35,0.0549,14,0.022
B_january_only,3y,2020,650,1.777,236,0.3631,86,0.1323,31,0.0477,14,0.0215
B_january_only,3y,2021,672,1.565,155,0.2307,48,0.0714,9,0.0134,3,0.0045
B_january_only,3y,2022,693,1.454,161,0.2323,55,0.0794,18,0.026,4,0.0058
B_january_only,3y,2023,695,1.633,241,0.3468,117,0.1683,58,0.0835,23,0.0331
B_january_only,5y,2009,527,3.237,446,0.8463,295,0.5598,119,0.2258,27,0.0512
B_january_only,5y,2010,532,2.571,392,0.7368,187,0.3515,41,0.0771,5,0.0094
B_january_only,5y,2011,543,2.209,324,0.5967,128,0.2357,30,0.0552,3,0.0055
B_january_only,5y,2012,552,2.347,382,0.692,146,0.2645,33,0.0598,3,0.0054
B_january_only,5y,2013,568,2.346,368,0.6479,161,0.2835,39,0.0687,9,0.0158
B_january_only,5y,2014,579,2.024,301,0.5199,99,0.171,17,0.0294,5,0.0086
B_january_only,5y,2015,592,2.002,296,0.5,106,0.1791,26,0.0439,8,0.0135
B_january_only,5y,2016,605,2.413,402,0.6645,208,0.3438,82,0.1355,19,0.0314
B_january_only,5y,2017,618,2.287,365,0.5906,184,0.2977,73,0.1181,22,0.0356
B_january_only,5y,2018,625,1.926,287,0.4592,113,0.1808,40,0.064,17,0.0272
B_january_only,5y,2019,637,2.134,363,0.5699,165,0.259,57,0.0895,17,0.0267
B_january_only,5y,2020,650,2.155,370,0.5692,184,0.2831,67,0.1031,24,0.0369
B_january_only,5y,2021,672,2.035,347,0.5164,179,0.2664,60,0.0893,12,0.0179
C_best_month_clean,3y,2009,528,2.644,409,0.7746,204,0.3864,78,0.1477,17,0.0322
C_best_month_clean,3y,2010,540,2.131,326,0.6037,76,0.1407,16,0.0296,1,0.0019
C_best_month_clean,3y,2011,550,2.221,364,0.6618,119,0.2164,34,0.0618,2,0.0036
C_best_month_clean,3y,2012,561,2.173,342,0.6096,114,0.2032,26,0.0463,4,0.0071
